,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,75,60,210,272,208,56,135,162,73,65,128
1,Market Cap Growth,-71.07%,-77.93%,1.27%,382.55%,53.78%,-65.19%,84.93%,149.23%,-42.97%,-69.34%,-49.80%
2,Enterprise Value,117,50,194,231,139,-131,-80,-71,-204,-202,-185
3,Last Close Price,0.40,0.39,1.46,1.89,1.73,0.47,1.25,1.62,0.73,0.65,1.28
4,PE Ratio,-,-,-,-,-,-,-,-,-,-,3.71
5,PS Ratio,0.16,0.17,0.55,0.58,0.53,0.31,1.27,0.92,0.38,0.22,0.24
6,PB Ratio,0.39,0.38,1.10,1.14,0.69,0.15,0.31,0.32,0.14,0.13,0.24
7,P/TBV Ratio,0.38,0.38,1.10,1.13,0.69,0.15,0.31,0.32,0.14,0.13,0.24
8,P/FCF Ratio,-,-,-3.31,-,-1.75,-,-,-,-,-2.36,-
9,P/OCF Ratio,-,-,-3.96,-,-1.75,-,-,-,-,-2.95,-
10,EV/Sales Ratio,0.33,0.14,0.51,0.50,0.35,-,-,-,-,-,-
11,EV/FCF Ratio,-,-,-3.05,-,-1.18,-,-,-,-,-,-
12,Debt / Equity Ratio,0.37,0.37,0.29,0.13,0.10,0.08,0.07,0.05,0.04,0.02,0.01
13,Debt / FCF Ratio,-,-,-0.88,-,-0.26,-,-,-,-,-0.35,-
14,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-,-,9.23%
15,Earnings Yield,-115.93%,-145.49%,-40.85%,-41.03%,-56.37%,-220.82%,-88.60%,-36.17%,-52.47%,-22.22%,26.95%
16,FCF Yield,-,-30.22%,-22.63%,-57.11%,-310.52%,-51.32%,-55.75%,-64.83%,-42.38%,0.55%,
17,Buyback Yield / Dilution,-26.77%,-23.22%,-19.96%,-8.75%,-17.74%,-13.11%,-1.97%,-,-,-,-
18,Total Shareholder Return,-26.77%,-23.22%,-19.96%,-8.75%,-17.74%,-13.11%,-1.97%,-,-,-,-
