,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Operating Revenue,752.98,458.96,412.46,413.48,435.81,324.26,390.15,415.57,455.35,404.17,337.92,404.32
1,Other Revenue,-23.9,23.9,-,82.92,-23.1,23.1,-,45.44,-13.47,13.47,-,28.99
2,Revenue,729.09,482.85,412.46,496.4,412.71,347.36,390.15,461.02,441.89,417.64,337.92,433.31
3,Revenue Growth (YoY),76.66%,39.01%,5.72%,7.68%,-6.60%,-16.83%,15.46%,6.40%,-,-,-,-
4,Cost of Revenue,672.94,440.85,358.18,444.42,356.56,296.3,335.95,400.47,379.12,361.25,291.22,372.21
5,Gross Profit,56.15,42,54.27,51.98,56.15,51.06,54.2,60.55,62.77,56.39,46.7,61.09
6,"Selling, General & Admin",23.03,22.81,23.05,22.78,19.25,18.91,18.08,15.91,21.19,12.96,14.56,10.9
7,Research & Development,5.79,3.86,5.02,6.92,8.55,8.12,8.25,11.43,7.56,9.3,5.4,12.52
8,Other Operating Expenses,1.02,0.78,0.73,1.1,0.59,0.35,0.42,2.02,0.43,-0.29,-0.12,-0.43
9,Operating Expenses,34.53,41.5,32.83,31.97,32.27,27.73,29.73,30.84,29.89,21.21,21.75,22.02
10,Operating Income,21.61,0.5,21.45,20.01,23.88,23.33,24.47,29.71,32.87,35.18,24.95,39.07
11,Interest Expense,-1.39,-3.63,-1.21,-0.29,-0.26,-0.15,-0.12,-0.39,-0.44,-0.47,-0.31,-0.4
12,Interest & Investment Income,-,2.9,0.98,1.48,1.94,3.2,2.69,2.71,0.26,0.05,0.37,1.38
13,Other Non Operating Income (Expenses),0.05,0.21,-0.05,-0.97,0.7,-0.75,0.12,-7.41,1.2,-0.76,6.7,13.54
14,EBT Excluding Unusual Items,20.28,-0.01,21.16,20.22,26.26,25.63,27.16,24.62,33.89,34.01,31.71,53.6
15,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-0.04,0.04,-,-,-
