,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Revenue,162.67,245.3,261.76,157.1,343.09
1,Revenue Growth (YoY),-37.86%,56.14%,-23.70%,-,-
2,Cost of Revenue,57.36,116.29,64.7,89.39,74.65
3,Gross Profit,105.31,129.01,197.07,67.71,268.44
4,"Selling, General & Admin",147.17,134.29,104.05,82.74,68.05
5,Research & Development,55.81,82.13,72.62,66.49,52.18
6,Other Operating Expenses,0.69,-6.43,-12.28,-3.1,-5.5
7,Operating Expenses,203.43,214.01,164.25,147.12,114.94
8,Operating Income,-98.12,-85,32.82,-79.41,153.5
9,Interest Expense,-0.17,-0.09,-0.17,-0.47,-0.53
10,Interest & Investment Income,-,3.37,-,0.92,1.57
11,Earnings From Equity Investments,-,-,-,-,-9.36
12,Currency Exchange Gain (Loss),-,1.27,-,-2.07,-2.92
13,Other Non Operating Income (Expenses),-480.46,-503.76,-250.02,-388.14,-386.95
14,EBT Excluding Unusual Items,-578.75,-584.21,-217.38,-469.17,-244.69
15,Gain (Loss) on Sale of Investments,-,-,-,0.6,29.58
16,Gain (Loss) on Sale of Assets,-,-,0.77,-,-
17,Pretax Income,-578.75,-584.21,-216.6,-468.57,-215.11
18,Income Tax Expense,0.01,0.05,1.74,0.32,0.97
19,Earnings From Continuing Operations,-578.76,-584.26,-218.34,-468.89,-216.09
20,Earnings From Discontinued Operations,-,-,-,-,15.17
21,Net Income,-578.76,-584.26,-218.34,-468.89,-200.91
22,Net Income to Common,-578.76,-584.26,-218.34,-468.89,-200.91
23,Shares Outstanding (Basic),1058,737,737,-,-
24,Shares Outstanding (Diluted),1058,737,737,-,-
25,Shares Change (YoY),43.55%,-,-,-,-
26,EPS (Basic),-0.55,-0.79,-0.30,-,-
27,EPS (Diluted),-0.55,-0.79,-0.30,-,-
28,Free Cash Flow,-52.8,-111.19,133.1,-9.48,76.75
29,Free Cash Flow Per Share,-0.05,-0.15,0.18,-,-
30,Operating Margin,-60.32%,-34.65%,12.54%,-50.54%,44.74%
31,Profit Margin,-355.79%,-238.18%,-83.41%,-298.46%,-58.56%
32,Free Cash Flow Margin,-32.46%,-45.33%,50.85%,-6.03%,22.37%
33,EBITDA,-95.82,-84.46,34.4,-79.74,154.86
34,D&A For EBITDA,2.3,0.54,1.59,-0.33,1.36
35,EBIT,-98.12,-85,32.82,-79.41,153.5
36,Advertising Expenses,-,-,-,-,27.69
