,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Cash & Equivalents,385.88,144.32,202.8,40.25,-
1,Short-Term Investments,53.61,51.92,99.86,53.99,-
2,Trading Asset Securities,30.82,34.84,34.84,124.12,-
3,Cash & Short-Term Investments,470.32,231.09,337.5,218.36,-
4,Cash Growth,39.35%,5.83%,-,-,-
5,Accounts Receivable,31.41,57.98,23.38,40.02,-
6,Other Receivables,35.46,23.42,11.6,5.43,-
7,Receivables,86.83,81.4,34.98,45.46,-
8,Inventory,90.36,66.73,101.61,94.92,-
9,Prepaid Expenses,7.08,6.05,-,10.59,-
10,Other Current Assets,11.9,10.94,16.32,35.26,-
11,Total Current Assets,666.49,396.21,490.41,404.58,-
12,"Property, Plant & Equipment",13.92,5.64,6.95,10.44,-
13,Other Intangible Assets,4.05,5.29,4.42,4.47,-
14,Total Assets,684.46,407.14,501.78,419.49,-
15,Accounts Payable,36.05,24.55,36.45,17.69,-
16,Accrued Expenses,53.28,60.9,64.72,51.95,-
17,Short-Term Debt,20,-,-,20,-
18,Current Portion of Leases,3.27,3.15,5.89,6.83,-
19,Current Income Taxes Payable,0.98,0.98,1.38,1.34,-
20,Current Unearned Revenue,62.32,53.13,91.74,68.67,-
21,Other Current Liabilities,23.2,4375,3947,3555,-
22,Total Current Liabilities,199.11,4517,4147,3721,-
23,Long-Term Leases,7.89,0.31,0.31,2.74,-
24,Long-Term Unearned Revenue,20.62,19.74,-,-,-
25,Other Long-Term Liabilities,1.17,-,-,-,-
26,Total Liabilities,228.78,4537,4148,3724,-
27,Common Stock,0.49,0.14,0.14,0.14,-
28,Additional Paid-In Capital,860.4,-,-,-,-
29,Retained Earnings,-3947,-3369,-2784,-2566,-
30,Comprehensive Income & Other,3542,-761.83,-861.5,-738.69,-
31,Shareholders' Equity,455.68,-4130,-3646,-3305,-
32,Total Liabilities & Equity,684.46,407.14,501.78,419.49,-
33,Total Debt,31.17,3.46,6.2,29.57,-
34,Net Cash (Debt),439.15,227.63,331.3,188.78,-
35,Net Cash Growth,32.55%,20.58%,-,-,-
36,Net Cash Per Share,0.42,0.31,0.45,-,-
37,Filing Date Shares Outstanding,1502,626.46,736.7,736.7,-
38,Total Common Shares Outstanding,1502,736.7,736.7,736.7,-
39,Working Capital,467.38,-4121,-3657,-3317,-
40,Book Value Per Share,0.30,-5.61,-4.95,-4.49,-
41,Tangible Book Value,451.63,-4136,-3650,-3309,-
42,Tangible Book Value Per Share,0.30,-5.61,-4.95,-4.49,-
43,Machinery,-,13.06,12.36,12.22,-
44,Leasehold Improvements,-,0.82,0.79,0.79,-
