,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,"Selling, General & Admin",23.05,28.19,25.04,51.46,46.25,62.1,42.15,41.38,27.25,15.51
1,Research & Development,91.12,103.01,74.32,76.17,100.06,133.29,107.32,183.67,94.96,38.59
2,Other Operating Expenses,0.9,0.36,0.14,-0.43,0.72,-0.3,0.59,0.29,0.18,0.18
3,Operating Expenses,115.07,131.56,99.49,127.19,147.03,195.09,150.07,225.34,122.38,54.28
4,Operating Income,-115.07,-131.56,-99.49,-127.19,-147.03,-195.09,-150.07,-225.34,-122.38,-54.28
5,Interest Expense,-3.85,-4.15,-4.37,-3.04,-3.1,-2.18,-1.5,-1.27,-1.12,-1.03
6,Interest & Investment Income,0.48,0.62,2.39,0.79,2.41,3.22,4.34,3.65,0.11,0.44
7,Currency Exchange Gain (Loss),0.01,-0.14,0.08,0.19,-0.1,-2.62,-3.65,-43.41,2.88,5.97
8,Other Non Operating Income (Expenses),41.91,-2.05,-7,-8.05,2.42,8.41,2.1,-1.2,-34.14,-14.1
9,EBT Excluding Unusual Items,-76.52,-137.27,-108.39,-137.3,-145.4,-188.25,-148.78,-267.57,-154.65,-63
10,Gain (Loss) on Sale of Investments,3.32,-79.89,-10.13,-27.52,3.5,-18.79,-,-,-,0.31
11,Gain (Loss) on Sale of Assets,-0.04,0.28,-0.08,-0.62,-0.02,0.04,-0.13,0.08,-,-0.04
12,Asset Writedown,-,-,-,-,-,-,1.3,-,-,-
13,Other Unusual Items,-19.32,-,-,-13.47,-0.28,-,-,2.43,-19.42,4.2
14,Pretax Income,-92.56,-216.88,-118.6,-178.9,-142.2,-207.01,-147.6,-265.06,-174.07,-58.52
15,Earnings From Continuing Operations,-92.56,-216.88,-118.6,-178.9,-142.2,-207.01,-147.6,-265.06,-174.07,-58.52
16,Minority Interest in Earnings,0.04,0.17,0.49,1.12,1.87,0.08,0.31,0.03,0.05,0.17
17,Net Income,-92.52,-216.71,-118.11,-177.78,-140.33,-206.93,-147.3,-265.03,-174.02,-58.36
18,Net Income to Common,-92.52,-216.71,-118.11,-177.78,-140.33,-206.93,-147.3,-265.03,-174.02,-58.36
19,Shares Outstanding (Basic),515,515,515,515,515,515,515,507,381,381
20,Shares Outstanding (Diluted),515,515,515,515,515,515,515,507,381,381
21,Shares Change (YoY),-,-,-,-,-,1.56%,35.08%,32.99%,0.56%,-
22,EPS (Basic),-0.18,-0.42,-0.23,-0.35,-0.27,-0.40,-0.29,-0.52,-0.46,-0.15
23,EPS (Diluted),-0.18,-0.42,-0.23,-0.35,-0.27,-0.40,-0.29,-0.52,-0.46,-0.16
24,Free Cash Flow,-99.17,-81.75,-101.46,-88.57,-160.51,-196.5,-204.16,-,-52.45,-
25,Free Cash Flow Per Share,-0.19,-0.16,-0.20,-0.17,-0.31,-0.38,-0.40,-,-0.14,-
26,EBITDA,-84.69,-105.51,-73.32,-107.18,-123.94,-184.01,-140.32,-214.42,-116.29,-44.33
27,D&A For EBITDA,30.38,26.05,26.17,20.01,23.09,11.08,9.75,10.92,6.1,9.95
28,EBIT,-115.07,-131.56,-99.49,-127.19,-147.03,-195.09,-150.07,-225.34,-122.38,-54.28
