,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,2347,1981,2573,2398,2383,2743,8666,9890,5743,-,-
1,Market Cap Growth,-17.38%,-17.38%,7.99%,-12.57%,-72.51%,-72.27%,50.90%,-,-,-,-
2,Enterprise Value,2627,2287,2780,2475,2247,2454,8058,8949,5804,-,-
3,Last Close Price,4.56,3.85,5.00,4.66,4.63,5.33,16.84,19.22,11.16,-,-
4,Forward PE,-,77.98,77.98,77.98,77.98,77.98,77.98,-,-,-,-
5,PB Ratio,26.93,23.54,13.67,5.72,4.16,3.43,8.58,8.18,4.28,-,-
6,P/TBV Ratio,30.89,30.89,17.73,6.39,4.52,3.61,8.74,8.25,4.32,-,-
7,Debt / Equity Ratio,5.23,5.23,2.68,1.19,0.30,0.15,0.13,0.05,0.05,0.14,0.11
8,Earnings Yield,-14.16%,-16.77%,-14.34%,-13.33%,-15.09%,-14.83%,-5.02%,-5.01%,-9.08%,-,-
9,FCF Yield,-8.28%,-9.81%,-7.84%,-8.56%,-11.82%,-15.25%,-5.68%,-2.48%,-,-,-
10,Buyback Yield / Dilution,-,-,-,-,-,-1.56%,-35.08%,-32.99%,-0.56%,-,
11,Total Shareholder Return,-,-,-,-,-,-1.56%,-35.08%,-32.99%,-0.56%,-,
