,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,845.22,922.33,868.99,304.14,-,599.91,-
1,Cash & Short-Term Investments,845.22,922.33,868.99,304.14,-,599.91,500.04
2,Cash Growth,-,53.74%,73.79%,-,-,-,-
3,Accounts Receivable,183.58,188,173.76,166.54,-,158.71,-
4,Other Receivables,25.58,15.97,12.71,13.99,-,14.34,-
5,Receivables,209.16,203.97,186.47,180.53,-,173.05,-
6,Inventory,498.94,474.8,450.71,456.93,-,416.22,-
7,Prepaid Expenses,-,-,-,0.04,-,0.04,-
8,Other Current Assets,48.89,36.59,41.97,37.92,-,27.85,-
9,Total Current Assets,1602,1638,1548,979.56,-,1217,-
10,"Property, Plant & Equipment",381.69,365.95,346.51,341.18,-,316.11,-
11,Other Intangible Assets,66.12,66.18,66.6,67.01,-,67.85,-
12,Long-Term Deferred Tax Assets,26.48,26.56,28.35,26.81,-,27.9,-
13,Other Long-Term Assets,45.57,35.96,7.6,2.8,-,0.72,-
14,Total Assets,2122,2132,1997,1417,-,1630,-
15,Accounts Payable,466.26,516.1,342.86,550.15,-,818.06,-
16,Accrued Expenses,21.46,24.63,19.31,22.88,-,22.07,-
17,Short-Term Debt,0.02,0.32,4.1,17.16,-,6.4,-
18,Current Portion of Long-Term Debt,1.24,-,3.61,1.66,-,0,-
19,Current Portion of Leases,-,1.28,-,1.79,-,1.79,-
20,Current Income Taxes Payable,3.81,3.77,17.38,8.94,-,10.04,-
21,Current Unearned Revenue,10.45,6.01,6.13,6.39,-,5.08,-
22,Other Current Liabilities,44.96,22.28,22.69,16.56,-,36.18,-
23,Total Current Liabilities,548.2,574.38,416.09,625.54,-,899.62,-
24,Long-Term Debt,-,-,15.69,10.2,-,-,-
25,Long-Term Leases,0.5,0.71,1.43,2.02,-,2.68,-
26,Long-Term Unearned Revenue,94.34,95.8,97.27,97.86,-,85.99,-
27,Long-Term Deferred Tax Liabilities,27.29,27.06,29.1,29.53,-,29.5,-
28,Total Liabilities,670.33,697.96,559.57,765.15,-,1018,-
29,Common Stock,200,200,200,150,-,150,-
30,Additional Paid-In Capital,842.72,842.72,842.72,125,-,125,-
31,Retained Earnings,392.73,375.11,378.24,360.75,-,320.52,-
32,Comprehensive Income & Other,16.29,16.56,16.67,16.46,-,16.35,-
33,Shareholders' Equity,1452,1434,1438,652.21,-,611.87,566.4
34,Total Liabilities & Equity,2122,2132,1997,1417,-,1630,-
35,Total Debt,1.75,2.31,24.83,32.83,-,10.86,152.7
36,Net Cash (Debt),843.47,920.02,844.16,271.31,-,589.05,347.34
37,Net Cash Growth,-,56.19%,143.04%,-,-,-,-
38,Net Cash Per Share,4.60,2.40,4.22,1.81,-,3.60,2.32
39,Filing Date Shares Outstanding,200,200,200,200,149.99,150,150.03
40,Total Common Shares Outstanding,200,200,200,150,149.99,150,150.03
41,Working Capital,1054,1063,1132,354.02,-,317.46,-
42,Book Value Per Share,7.26,7.17,7.19,4.35,-,4.08,3.78
43,Tangible Book Value,1386,1368,1371,585.2,-,544.03,497.72
44,Tangible Book Value Per Share,6.93,6.84,6.86,3.90,-,3.63,3.32
45,Buildings,-,199.62,-,199.55,-,196.9,-
46,Machinery,-,266.52,-,256.92,-,254.28,-
47,Construction In Progress,-,89.39,-,58.68,-,25.78,-
