,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Market Capitalization,4384,5190,2748,3248,-,-,-,-
1,Enterprise Value,3541,4270,1904,2659,-,-,-,-
2,Last Close Price,21.92,25.90,13.71,16.08,-,-,-,-
3,PE Ratio,58.74,90.14,39.67,52.58,-,-,-,-
4,PS Ratio,2.35,2.97,1.61,1.85,-,-,-,-
5,PB Ratio,3.02,3.58,1.92,2.26,-,-,-,-
6,P/TBV Ratio,3.75,3.75,2.01,2.37,-,-,-,-
7,P/FCF Ratio,-,-,-24.17,-,-,-,-,-
8,P/OCF Ratio,-,-,-170.11,-,-,-,-,-
9,EV/Sales Ratio,2.07,2.45,1.12,1.52,-,-,-,-
10,EV/EBITDA Ratio,38.23,38.69,14.44,17.96,-,-,-,-
11,EV/EBIT Ratio,57.51,53.24,18.77,22.60,-,-,-,-
12,EV/FCF Ratio,-20.72,-,-16.75,-,-,-,-,-
13,Debt / Equity Ratio,0.00,0.00,0.00,0.02,0.05,-,0.02,0.27
14,Debt / EBITDA Ratio,0.02,0.02,0.02,0.26,0.26,-,0.06,0.70
15,Debt / FCF Ratio,-,-,-0.02,-,-,-,0.07,1.68
16,Asset Turnover,0.90,0.86,-,1.15,-,-,-,
17,Inventory Turnover,-,3.68,3.54,-,-,-,-,-
18,Quick Ratio,1.92,1.92,1.96,2.54,0.77,-,0.86,-
19,Current Ratio,2.92,2.92,2.85,3.72,1.57,-,1.35,-
20,Return on Equity (ROE),4.88%,6.26%,-,12.34%,-,10.16%,-,
21,Return on Assets (ROA),2.26%,2.41%,-,4.33%,-,-,-,
22,Return on Capital (ROIC),3.33%,3.43%,-,9.17%,-,13.46%,-,
23,Return on Capital Employed (ROCE),3.91%,5.10%,6.51%,7.44%,18.67%,-,11.35%,-
24,Earnings Yield,1.56%,1.50%,3.25%,2.52%,-,-,-,-
25,FCF Yield,-3.90%,-2.95%,-4.14%,-3.41%,-,-,-,-
26,Dividend Yield,0.47%,0.20%,-,-,-,-,-,-
27,Payout Ratio,38.39%,5.71%,109.55%,2.97%,-,0.26%,0.44%,2.41%
28,Buyback Yield / Dilution,-22.43%,-22.27%,-134.02%,-33.36%,-,-,-,-
29,Total Shareholder Return,-21.97%,-22.07%,-134.02%,-33.36%,-,-,-,-
