,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Other Revenue,-49.93,49.93,-,-,-53.72,53.72,-
1,Revenue,481.1,445.22,412.03,406.67,440.51,494.05,427.34
2,Revenue Growth (YoY),9.21%,-9.88%,-3.58%,-,-,-,-
3,Cost of Revenue,447.42,409.44,380.37,-,389.37,444.7,368.32
4,Gross Profit,33.68,35.78,31.67,37.45,51.15,49.35,59.02
5,"Selling, General & Admin",8.81,10.15,11.39,-,6.49,8.4,6.63
6,Research & Development,7.05,4.95,3.99,-,6.34,4.5,6.65
7,Other Operating Expenses,-1.79,0.01,-0.11,-,-2.32,1.33,-0.03
8,Operating Expenses,14.43,15.87,15.15,-,10.66,13.23,12.31
9,Operating Income,19.25,19.91,16.52,-,40.49,36.12,46.71
10,Interest Expense,-0.26,-1.19,-2.52,-1.14,-1.86,-1.44,-3.6
11,Interest & Investment Income,4.03,3.45,3.54,-,2.92,3.17,2.95
12,Currency Exchange Gain (Loss),1.28,-1.28,-,-,-4,4,-
13,Other Non Operating Income (Expenses),13.92,-13.39,12.83,-,-0.16,3.22,-3.1
14,EBT Excluding Unusual Items,38.22,7.5,30.36,25.02,37.39,45.07,42.97
15,Gain (Loss) on Sale of Investments,2.35,2.31,-6.6,-,1.9,-30.22,1.21
16,Gain (Loss) on Sale of Assets,-,0.07,-,-,-,-,-
17,Asset Writedown,0.12,2.1,-2.22,-,-1.1,4.57,-4.76
18,Other Unusual Items,-16.58,14.58,2,-,-0.27,0.27,-
19,Pretax Income,24.11,26.57,23.54,-,37.91,19.69,39.42
20,Income Tax Expense,6.49,4.1,6.06,-,8.59,4.73,9.01
21,Net Income to Company,17.62,22.47,17.49,-,29.32,14.96,30.41
22,Net Income,17.62,22.47,17.49,20.12,29.32,14.96,30.41
23,Net Income to Common,17.62,22.47,17.49,-,29.32,14.96,30.41
24,Net Income Growth,-39.91%,50.17%,-42.50%,-,-,-,-
25,Shares Outstanding (Basic),183,200,200,150,150,150,150
26,Shares Outstanding (Diluted),183,383,200,150,150,164,150
27,Shares Change (YoY),22.27%,134.02%,33.36%,-,-,-,-
28,EPS (Basic),0.10,0.11,0.09,-,0.20,0.10,0.20
29,EPS (Diluted),0.10,0.06,0.09,0.13,0.20,0.09,0.20
30,EPS Growth,-50.85%,-35.83%,-56.88%,-,-,-,-
31,Free Cash Flow,-62.47,54.07,-103.99,-40.74,-23.02,57,90.62
32,Free Cash Flow Per Share,-0.34,0.14,-0.52,-0.27,-0.15,0.35,0.60
33,Dividend Per Share,0.052,-,-,-,-,-,-
34,Gross Margin,7.00%,8.04%,7.69%,9.21%,11.61%,9.99%,13.81%
35,Operating Margin,4.00%,4.47%,4.01%,-,9.19%,7.31%,10.93%
36,Profit Margin,3.66%,5.05%,4.24%,-,6.66%,3.03%,7.12%
37,Free Cash Flow Margin,-12.98%,12.14%,-25.24%,-10.02%,-5.23%,11.54%,21.21%
38,EBITDA,26.76,27.53,24.02,32.03,48.25,43.7,54.47
39,EBITDA Margin,5.56%,6.18%,5.83%,7.88%,10.95%,8.85%,12.75%
40,D&A For EBITDA,7.51,7.63,7.51,7.51,7.76,7.58,7.76
41,EBIT,19.25,19.91,16.52,24.53,40.49,36.12,46.71
42,EBIT Margin,4.00%,4.47%,4.01%,6.03%,9.19%,7.31%,10.93%
43,Effective Tax Rate,26.93%,15.43%,25.73%,-,22.66%,24.02%,22.86%
44,Revenue as Reported,481.1,445.22,412.03,-,440.51,494.05,427.34
