,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Revenue,374481,354360,356618,410448,358998,387096,348952,424740,462576,514475,476274,509687,415229,471419,440847,516915,447358,364011,359096,442030,Upgrade
1,Revenue Growth (YoY),4.31%,-8.46%,2.20%,-3.36%,-22.39%,-24.76%,-26.73%,-16.67%,11.40%,9.13%,8.04%,-1.40%,-7.18%,29.51%,22.77%,16.94%,3.33%,-14.67%,-10.67%,-8.32%,Upgrade
2,Cost of Revenue,326422,304557,302305,343423,300142,313749,287150,349958,402101,444938,414213,440225,368761,406340,389343,430894,368466,302711,292832,334174,Upgrade
3,Gross Profit,48060,49803,54313,67026,58856,73347,61802,74783,60475,69537,62061,69462,46468,65079,51505,86021,78891,61300,66264,107856,Upgrade
4,"Selling, General & Admin",35625,35612,34833,31876,26800,30729,28397,33388,32868,31237,28854,30292,29454,33133,27253,30426,27690,23184,22920,30199,Upgrade
5,Operating Expenses,35625,35612,34833,31876,26800,30729,28397,33388,32868,31237,28854,30292,29454,33133,27253,30426,27690,23184,22920,30199,Upgrade
6,Operating Income,12435,14191,19480,35150,32057,42618,33405,41394,27607,38301,33207,39171,17015,31946,24252,55595,51201,38115,43344,77657,Upgrade
7,Interest Expense,-1152,-770.52,-717.82,-182.47,-560.31,-1798,-3222,-1641,-1773,-1138,-616.66,-5490,-1428,-,-1522,-3313,-1993,-2692,-2422,-2586,Upgrade
8,Interest & Investment Income,5513,5414,5895,5987,7580,8605,7457,5014,4108,3369,2184,1500,1782,7074,524.86,3794,290.24,1152,41.73,-,Upgrade
9,Currency Exchange Gain (Loss),672.34,-612.5,229.19,-123.49,-108.28,205.56,-67.19,58.97,-94.84,-95.63,91.66,30.22,79.7,-101.64,21.95,-159.2,12.38,-12.38,-,-56.67,Upgrade
10,Other Non Operating Income (Expenses),175.97,-4.85,1316,-8.5,41.92,-44.11,-240.58,-1440,-708.37,359.94,191.77,5206,-64.98,-4748,85.55,-209.71,18.16,595.38,-208.43,-6323,Upgrade
11,EBT Excluding Unusual Items,17644,18217,26203,40822,39010,49587,37332,43387,29140,40796,35057,40417,17383,34170,23362,55708,49529,37158,40755,68691,Upgrade
12,Pretax Income,17644,18217,26203,40822,39010,49587,37332,43387,29140,40796,35057,40417,17383,34170,23362,55708,49529,37158,40755,68691,Upgrade
13,Income Tax Expense,3612,5123,5241,7894,7829,11112,7495,10100,6398,8256,7033,8186,3477,6853,4697,11244,9928,7029,8653,14349,Upgrade
14,Net Income,14032,13094,20963,32928,31180,38475,29837,33287,22741,32541,28024,32231,13907,27317,18665,44464,39601,30129,32102,54342,Upgrade
15,Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,1492,1071,-2563,7468,4752,-1137,-3615,16950,Upgrade
16,Net Income to Common,14032,13094,20963,32928,31180,38475,29837,33287,22741,32541,28024,32231,12415,26245,21228,36996,34848,31266,35717,37393,Upgrade
17,Net Income Growth,-55.00%,-65.97%,-29.74%,-1.08%,37.11%,18.24%,6.47%,3.28%,63.53%,19.12%,50.14%,-27.51%,-64.88%,-9.33%,-41.86%,-18.18%,5.16%,-5.94%,86.42%,230.66%,Upgrade
18,Shares Outstanding (Basic),13,13,13,13,13,13,13,13,13,13,13,13,13,14,16,13,13,15,16,13,Upgrade
