,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Feb '25 Feb 27, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Market Capitalization,716050,872606,834108,953450,731449,744281,705784,821276,782779,834108,938051,917519,898271,1039427,979115,1112572,1154919,923935,922652,809727,846941,Upgrade
1,Market Cap Growth,17.24%,17.24%,18.18%,16.09%,-6.56%,-10.77%,-24.76%,-10.49%,-12.86%,-19.75%,-4.19%,-17.53%,-22.22%,12.50%,6.12%,37.40%,36.36%,52.54%,35.66%,32.84%,32.00%,Upgrade
2,Enterprise Value,305501,453367,411468,522774,354851,442942,439886,569234,567776,684360,799315,833216,864080,1138217,1033454,1124596,1235953,984108,989234,853019,948724,Upgrade
3,Last Close Price,55800.00,68000.00,65000.00,71559.86,54897.87,55860.99,52971.63,59148.58,56375.99,60072.77,67558.77,64170.84,62824.60,70902.04,66787.97,75891.45,78780.05,63024.04,61096.26,53618.55,56082.79,Upgrade
4,PE Ratio,8.84,10.77,8.50,7.72,5.52,5.61,5.68,6.94,6.71,7.22,8.92,9.28,9.75,10.73,8.21,8.95,8.32,6.64,6.71,5.83,6.81,Upgrade
5,PS Ratio,0.48,0.58,0.56,0.63,0.49,0.49,0.43,0.47,0.42,0.42,0.49,0.49,0.49,0.56,0.52,0.63,0.68,0.57,0.58,0.49,0.50,Upgrade
6,PB Ratio,0.85,1.03,1.00,1.12,0.88,0.93,0.92,1.08,1.08,1.20,1.40,1.39,1.42,1.67,1.61,1.90,2.04,1.74,1.78,1.63,1.83,Upgrade
7,P/TBV Ratio,1.03,1.03,1.00,1.12,0.88,0.93,0.92,1.08,1.08,1.20,1.40,1.39,1.42,1.67,1.61,1.90,2.04,1.74,1.78,1.63,1.83,Upgrade
8,P/FCF Ratio,15.03,-,6.74,-,4.11,4.71,4.45,6.07,4.39,3.74,3.24,4.37,7.99,10.46,-,-,21.78,18.30,7.40,-,4.96,Upgrade
9,P/OCF Ratio,11.24,11.24,5.79,5.11,3.78,4.01,3.94,5.05,3.60,3.23,2.96,3.96,7.45,9.64,-,-,9.85,7.50,5.74,-,3.55,Upgrade
10,EV/Sales Ratio,0.20,0.30,0.28,0.35,0.24,0.29,0.27,0.33,0.30,0.35,0.42,0.44,0.47,0.62,0.55,0.64,0.73,0.61,0.62,0.51,0.56,Upgrade
11,EV/EBITDA Ratio,2.72,4.03,3.06,3.17,1.98,2.36,2.37,3.12,3.09,3.77,4.67,5.08,5.53,6.58,5.00,5.33,5.41,4.02,4.01,3.36,4.02,Upgrade
12,EV/EBIT Ratio,3.76,5.58,4.08,4.04,2.48,2.96,3.03,4.05,4.04,4.95,6.26,6.87,7.69,8.84,6.34,6.65,6.57,4.68,4.72,3.95,4.77,Upgrade
13,EV/FCF Ratio,6.41,-,3.32,-,1.99,2.81,2.77,4.21,3.18,3.07,2.76,3.97,7.69,11.45,-,-,23.30,19.49,7.93,-,5.56,Upgrade
14,Debt / Equity Ratio,0.17,0.17,0.10,0.13,0.04,0.03,0.11,0.19,0.19,0.17,0.24,0.15,0.18,0.22,0.41,0.40,0.34,0.44,0.37,0.31,0.32,Upgrade
15,Debt / EBITDA Ratio,1.26,1.85,0.98,1.00,0.19,0.13,0.40,0.86,0.68,0.75,0.84,0.56,0.57,1.23,1.50,1.61,0.73,0.94,1.05,0.71,0.45,Upgrade
16,Debt / FCF Ratio,2.96,-,0.67,-,0.19,0.13,0.51,1.09,0.79,0.52,0.57,0.47,1.03,1.38,-,-,3.68,4.61,1.56,-,0.87,Upgrade
17,Asset Turnover,1.15,1.12,1.14,1.39,1.24,1.31,1.15,1.42,1.53,1.71,1.64,1.82,1.47,1.58,1.54,1.93,1.74,1.51,1.56,2.00,Upgrade,
18,Inventory Turnover,7.67,7.73,7.77,7.90,8.71,7.34,7.17,6.48,8.56,9.01,8.84,8.00,7.86,5.80,6.04,7.67,11.38,8.40,6.43,7.36,9.85,Upgrade
19,Quick Ratio,1.79,1.79,1.91,1.99,2.00,2.04,1.81,1.65,1.53,1.50,1.27,1.30,1.22,1.18,1.02,1.00,1.21,1.11,1.03,1.05,1.16,Upgrade
20,Current Ratio,2.17,2.17,2.32,2.39,2.43,2.52,2.24,2.07,1.89,1.84,1.64,1.72,1.65,1.72,1.52,1.47,1.51,1.46,1.49,1.58,1.54,Upgrade
21,Return on Equity (ROE),6.70%,6.23%,9.98%,16.19%,15.96%,20.21%,16.08%,18.73%,13.32%,19.53%,17.30%,20.52%,9.04%,18.30%,12.95%,32.35%,30.14%,23.75%,26.75%,49.16%,Upgrade,
22,Return on Assets (ROA),2.40%,2.81%,3.90%,7.42%,6.95%,8.99%,6.89%,8.67%,5.71%,7.94%,7.16%,8.77%,3.78%,6.70%,5.29%,12.96%,12.45%,9.86%,11.80%,22.01%,Upgrade,
