,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 6, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,180,185,248,272,244,372,396,456,632,-,-
1,Market Cap Growth,-32.06%,-32.06%,1.64%,-26.88%,-38.38%,-18.42%,-37.34%,-,-,-,-
2,Enterprise Value,593,587,645,635,526,582,616,637,980,-,-
3,Last Close Price,0.23,0.23,0.31,0.34,0.30,0.47,0.49,0.57,0.79,-,-
4,PE Ratio,9.52,9.77,11.19,6.07,8.69,-,31.44,-,35.02,-,-
5,PS Ratio,0.20,0.21,0.25,0.26,0.30,0.48,0.50,0.64,0.93,-,-
6,PB Ratio,0.88,0.90,1.23,1.46,1.36,2.63,2.62,3.50,4.59,-,-
7,P/TBV Ratio,0.90,0.90,1.23,1.46,1.36,2.63,2.62,3.50,4.59,-,-
8,P/FCF Ratio,5.02,5.15,12.88,-4.07,-,-,-494.38,-,-,-,-
9,P/OCF Ratio,5.07,5.07,12.51,-4.07,-,-,1528.96,-,-,-,-
10,EV/Sales Ratio,0.66,0.66,0.64,0.62,0.64,0.74,0.77,0.90,1.44,-,-
11,EV/EBITDA Ratio,9.43,10.31,11.40,9.50,12.39,17.61,20.91,-,32.79,-,-
12,EV/EBIT Ratio,10.60,10.49,11.61,9.97,13.39,-,23.32,-,39.93,-,-
13,EV/FCF Ratio,16.53,16.36,33.48,-9.49,-,-,-769.35,-,-,-,-
14,Debt / Equity Ratio,2.29,2.29,2.21,2.40,2.31,2.37,1.80,2.07,1.71,22.91,2.51
15,Debt / FCF Ratio,13.13,13.13,23.07,-6.70,-,-,-339.81,-,-,-61.87,-
16,Return on Capital Employed (ROCE),27.24%,27.24%,27.59%,33.43%,21.97%,-,17.48%,-,17.66%,-,40.19%
17,Earnings Yield,10.51%,10.23%,8.94%,16.48%,11.50%,3.00%,3.18%,4.22%,2.86%,-,-
18,FCF Yield,19.93%,19.41%,7.77%,-24.59%,-49.36%,-7.74%,-0.20%,-28.54%,-11.24%,-,-
19,Buyback Yield / Dilution,-,-,-,-,-,-2.09%,-33.33%,-30.60%,-,-,
20,Total Shareholder Return,-,-,-,-,-,-2.09%,-33.33%,-30.60%,-,-,
