,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,404.68,487.89,520.22,508.07,311.24,470.27,327.84,383.98,296.23,524.45
1,Revenue Growth (YoY),-22.21%,-3.97%,67.15%,8.04%,-5.06%,22.47%,10.67%,-26.78%,-16.54%,-
2,Cost of Revenue,348.84,416.43,462.1,430.59,274.69,402.86,292.95,322.2,264.82,431.32
3,Gross Profit,55.84,71.45,58.11,77.48,36.55,67.41,34.89,61.78,31.42,93.13
4,"Selling, General & Admin",31.13,37.22,33.8,38.02,36.59,38.05,38.5,35.55,33.24,25.97
5,Operating Expenses,31.13,40.21,33.8,38.11,36.59,37.38,38.5,35.41,33.24,26.92
6,Operating Income,24.72,31.24,24.31,39.37,-0.04,30.04,-3.61,26.37,-1.83,66.22
7,Interest Expense,-17.45,-15.97,-15.44,-10.67,-5.81,-5.29,-5.35,-6.31,-8.34,-8.9
8,Interest & Investment Income,-,0.09,-,0.06,-,-,-,0.15,0.98,1.01
9,Currency Exchange Gain (Loss),-,-0,-,-0.02,-,-0.06,-,-0.01,-,-0.01
10,Other Non Operating Income (Expenses),-3.42,0.63,1.08,0.58,-2.8,0.49,-0.42,-1.87,2.41,-8.78
11,EBT Excluding Unusual Items,3.85,15.99,9.94,29.32,-8.65,25.18,-9.38,18.34,-6.77,49.54
12,Other Unusual Items,2.3,-,-,12.18,-,-,0.56,12.66,-3.83,-
13,Pretax Income,6.14,15.99,9.94,41.5,-8.65,25.18,-8.82,31,-10.6,49.54
14,Income Tax Expense,1.87,1.35,2.41,4.19,0.6,4.75,-0.99,3.91,-1.56,9.17
15,Net Income,4.27,14.64,7.53,37.31,-9.25,20.42,-7.83,27.09,-9.04,40.37
16,Net Income to Common,4.27,14.64,7.53,37.31,-9.25,20.42,-7.83,27.09,-9.04,40.37
17,Net Income Growth,-43.25%,-60.76%,-,82.69%,-,-24.60%,-,-32.90%,-,-
18,Shares Outstanding (Basic),800,800,800,800,800,800,800,784,600,600
19,Shares Outstanding (Diluted),800,800,800,800,800,800,800,784,600,600
20,Shares Change (YoY),-,-,-,-,-,2.09%,33.33%,30.60%,-,-
21,EPS (Basic),0.01,0.02,0.01,0.05,-0.01,0.03,-0.01,0.03,-0.02,0.07
22,EPS (Diluted),0.01,0.02,0.01,0.05,-0.01,0.03,-0.01,0.03,-0.02,0.07
23,EPS Growth,-43.25%,-60.76%,-,82.69%,-,-26.15%,-,-48.62%,-,-
24,Free Cash Flow,19.6,16.27,2.99,-69.88,-50.56,21.78,-22.58,-107.56,36.51,-42.69
25,Free Cash Flow Per Share,0.02,0.02,0.00,-0.09,-0.06,0.03,-0.03,-0.14,0.06,-0.07
26,Operating Margin,6.11%,6.40%,4.67%,7.75%,-0.01%,6.39%,-1.10%,6.87%,-0.62%,12.63%
27,Profit Margin,1.06%,3.00%,1.45%,7.34%,-2.97%,4.34%,-2.39%,7.05%,-3.05%,7.70%
28,Free Cash Flow Margin,4.84%,3.34%,0.57%,-13.75%,-16.24%,4.63%,-6.89%,-28.01%,12.32%,-8.14%
29,EBITDA,25.18,31.75,24.79,42.08,0.42,32.63,-3.17,30.2,-0.31,69.48
30,D&A For EBITDA,0.46,0.51,0.48,2.71,0.46,2.6,0.44,3.83,1.51,3.27
31,EBIT,24.72,31.24,24.31,39.37,-0.04,30.04,-3.61,26.37,-1.83,66.22
