,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021"
0,Revenue,220.28,268.01,360.06,346.41,406.14,369.71,261.8
1,Revenue Growth (YoY),-38.82%,-22.63%,-11.35%,-6.30%,55.13%,-,-
2,Cost of Revenue,198.75,235.48,321.62,293.76,332.07,304.33,211.12
3,Gross Profit,21.53,32.53,38.45,52.65,74.07,65.38,50.69
4,"Selling, General & Admin",32.34,36.96,33.68,35.47,31.6,27.39,26.88
5,Operating Expenses,39.14,49.11,35.86,36.63,33.3,23.86,27.53
6,Operating Income,-17.61,-16.58,2.59,16.02,40.77,41.52,23.15
7,Interest Expense,-2,-2.02,-1.69,-1.58,-1.39,-1.07,-0.96
8,Interest & Investment Income,0.47,0.32,0.59,0.23,1.19,0.04,0.04
9,Currency Exchange Gain (Loss),-0.13,0.09,-0.32,-0.69,0.4,-0.06,0.13
10,Other Non Operating Income (Expenses),-,-0.18,0.27,-0.11,-4.74,-3.46,-1.69
11,EBT Excluding Unusual Items,-19.27,-18.37,1.44,13.88,36.23,36.96,20.66
12,Gain (Loss) on Sale of Investments,-,0.08,0.05,0.05,0.05,0.08,0.02
13,Gain (Loss) on Sale of Assets,-,-,-,-0,-0.25,-0,-0
14,Other Unusual Items,-,-,-,0.91,2.1,-,-
15,Pretax Income,-19.27,-18.3,1.49,14.84,38.13,37.04,20.68
16,Income Tax Expense,-1.05,-1.96,0.12,2.21,7.02,6.87,3.58
17,Net Income,-18.22,-16.34,1.37,12.63,31.11,30.16,17.1
18,Net Income to Common,-18.22,-16.34,1.37,12.63,31.11,30.16,17.1
19,Net Income Growth,-,-,-95.60%,-58.14%,81.98%,-,-
20,Shares Outstanding (Basic),625,625,625,625,503,500,500
21,Shares Outstanding (Diluted),625,625,625,625,503,500,500
22,Shares Change (YoY),-,0.05%,24.15%,24.93%,0.68%,-,-
23,EPS (Basic),-0.03,-0.03,0.00,0.02,0.06,0.06,0.03
24,EPS (Diluted),-0.03,-0.03,0.00,0.02,0.06,0.06,0.03
25,EPS Growth,-,-,-96.46%,-66.49%,80.75%,-,-
26,Free Cash Flow,-1.06,-9.27,-1.38,-17.53,-11.03,16.19,-51.11
27,Free Cash Flow Per Share,-0.00,-0.01,-0.00,-0.03,-0.02,0.03,-0.10
28,Operating Margin,-8.00%,-6.19%,0.72%,4.62%,10.04%,11.23%,8.84%
29,Profit Margin,-8.27%,-6.10%,0.38%,3.65%,7.66%,8.16%,6.53%
30,Free Cash Flow Margin,-0.48%,-3.46%,-0.38%,-5.06%,-2.72%,4.38%,-19.52%
31,EBITDA,-16.69,-15.57,3.36,16.98,41.07,41.8,23.47
32,D&A For EBITDA,0.92,1.01,0.77,0.96,0.3,0.28,0.32
33,EBIT,-17.61,-16.58,2.59,16.02,40.77,41.52,23.15
