,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021"
0,Market Capitalization,238,303,259,575,191,375,-,-
1,Market Cap Growth,-47.28%,-47.28%,36.07%,53.33%,-,-,-,-
2,Enterprise Value,295,360,319,617,184,441,-,-
3,Last Close Price,0.38,0.48,0.41,0.92,0.30,0.60,-,-
4,PE Ratio,-,-,-,41.09,4.36,6.12,-,-
5,PS Ratio,0.49,0.62,0.41,0.81,0.25,0.48,-,-
6,PB Ratio,1.35,1.72,1.34,2.74,0.91,1.91,-,-
7,P/TBV Ratio,1.72,1.72,1.34,2.74,0.91,1.91,-,-
8,EV/Sales Ratio,0.60,0.74,0.51,0.87,0.25,0.57,-,-
9,EV/EBITDA Ratio,-,-,-,30.33,3.18,5.32,-,-
10,EV/EBIT Ratio,-,-,-,33.16,3.25,5.35,-,-
11,Debt / Equity Ratio,0.39,0.39,0.35,0.34,0.34,0.50,1.08,-
12,Debt / FCF Ratio,-,-,-,-,-,-,-2.38,-
13,Return on Capital Employed (ROCE),-,-,-,8.54%,26.10%,39.96%,82.36%,-
14,Earnings Yield,-14.55%,-11.40%,-5.77%,2.43%,22.94%,16.34%,-,-
15,FCF Yield,-4.35%,-3.40%,-4.10%,-3.29%,-14.98%,1.38%,-,-
16,Buyback Yield / Dilution,-0.03%,-,-0.05%,-24.15%,-24.93%,-0.68%,-,-
17,Total Shareholder Return,-0.03%,-,-0.05%,-24.15%,-24.93%,-0.68%,-,-
