,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021"
0,Cash & Equivalents,10.46,10.69,12.77,28.51,103.57,17.17,-
1,Cash & Short-Term Investments,10.46,10.69,12.77,28.51,103.57,17.17,-
2,Cash Growth,-18.08%,-62.52%,-87.67%,66.10%,-,-,-
3,Accounts Receivable,344.59,373.34,396.98,243.28,242.12,210.25,-
4,Other Receivables,10.9,1.65,-,0.12,-,0.15,-
5,Receivables,355.49,375,396.98,243.4,242.12,210.4,-
6,Inventory,18.81,17.76,18.35,31.88,21.46,15.82,-
7,Prepaid Expenses,-,12.1,-,17.68,-,-,-
8,Other Current Assets,33.55,37.46,50.81,37.32,8.01,8.45,-
9,Total Current Assets,418.31,453.01,478.9,358.79,375.15,251.84,-
10,"Property, Plant & Equipment",10.66,12.53,13.55,14.52,16.29,5.07,-
11,Long-Term Investments,11.32,11.32,11.25,11.19,11.14,11.09,-
12,Long-Term Deferred Tax Assets,3.62,2.48,0.92,0.58,0.32,0.21,-
13,Other Long-Term Assets,1.59,1.42,2.71,2.66,2.58,2.08,-
14,Total Assets,445.5,480.76,507.33,387.73,405.48,270.28,-
15,Accounts Payable,144.54,184.56,193.05,67.45,64.17,64.68,-
16,Accrued Expenses,5.07,5,4.33,5.39,6.44,3.26,-
17,Short-Term Debt,60.73,59.89,62.81,61.04,85.75,80.02,-
18,Current Portion of Leases,2.98,2.56,2.59,2.23,3.09,2.58,-
19,Current Income Taxes Payable,0.14,0.35,0.23,9.87,10.43,9.66,-
20,Current Unearned Revenue,46.29,23.16,23.56,20.18,24.13,24.64,-
21,Other Current Liabilities,4.65,4.91,2.94,4,5.57,6.92,-
22,Total Current Liabilities,264.38,280.43,289.5,170.15,199.58,191.76,-
23,Long-Term Leases,4.35,5.58,6.88,7.3,8.55,0.67,-
24,Long-Term Unearned Revenue,0.89,0.89,0.83,1.13,0.97,0.9,-
25,Total Liabilities,269.62,286.9,297.2,178.58,209.1,193.33,-
26,Common Stock,6.25,6.25,6.25,6.25,6.25,-,-
27,Additional Paid-In Capital,102.23,102.23,102.23,102.23,102.23,15.06,-
28,Retained Earnings,84.93,103.15,119.49,118.12,105.49,78.38,-
29,Comprehensive Income & Other,-17.53,-17.77,-17.84,-17.44,-17.59,-16.49,-
30,Shareholders' Equity,175.88,193.86,210.13,209.16,196.39,76.96,-
31,Total Liabilities & Equity,445.5,480.76,507.33,387.73,405.48,270.28,-
32,Total Debt,68.06,68.03,72.27,70.56,97.39,83.27,-
33,Net Cash (Debt),-57.6,-57.35,-59.5,-42.05,6.18,-66.1,-
34,Net Cash Per Share,-0.09,-0.09,-0.10,-0.07,0.01,-0.13,-
35,Filing Date Shares Outstanding,625,625,625,625,625,500,500
36,Total Common Shares Outstanding,625,625,625,625,625,500,500
37,Working Capital,153.93,172.57,189.41,188.64,175.58,60.07,-
38,Book Value Per Share,0.28,0.31,0.34,0.33,0.31,0.15,-
39,Tangible Book Value,175.88,193.86,210.13,209.16,196.39,76.96,-
40,Tangible Book Value Per Share,0.28,0.31,0.34,0.33,0.31,0.15,-
41,Machinery,-,9.71,-,8.26,-,7.28,-
42,Leasehold Improvements,-,4.02,-,4.02,-,2.14,-
