,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+10 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+10 Quarters
0,Cash & Equivalents,11720479,12608478,9927638,7538438,8439698,7509777,8154348,5075204,8251732,8158629,6554006,7077288,8223693,9320563,7230699,7982653,7069700,7139766,6363158,5407066,Upgrade
1,Short-Term Investments,3955742,3150104,2605305,1570255,2390860,1738220,1166129,1766712,1649812,948071,581321,535762,531217,1230627,1215654,778631,788595,865918,523921,698430,Upgrade
2,Accounts Receivable,10691359,10859088,14055884,13604980,12193491,14118272,14908934,14196213,9668940,9002998,11137051,9088512,5261835,6020661,9341106,9707110,6775435,8446311,9311761,9341213,Upgrade
3,Other Receivables,965249,1074980,1078169,1037249,1091641,1199878,921062,924439,763517,476034,430572,429284,491946,324386,327138,341922,323403,342947,355858,363899,Upgrade
4,Inventory,1794690,2339138,2295021,1821473,2167404,2311274,2008340,1942693,2085774,2450209,1866191,1558201,1837762,2387232,1929778,1985595,1727999,2271113,2188241,2091966,Upgrade
5,Prepaid Expenses,103052,78596,67136,43087,75216,89499,73480,45115,75220,822013,1753490,1975548,1608342,60824,45493,47206,50945,38704,50642,38837,Upgrade
6,Other Current Assets,940843,1264273,2477196,2761816,2683646,2411981,2417199,2309688,2430085,2264092,2338531,368119,465383,174667,315353,125047,161115,111931,109792,166675,Upgrade
7,Total Current Assets,30171414,31374658,32506348,28377297,29041955,29378901,29649494,26260063,24925081,24122048,24661163,21032715,18420180,19518958,20405220,20968164,16897193,19216689,18903373,18108087,Upgrade
8,"Property, Plant & Equipment",44012625,42605684,41539298,37079601,35394390,31989816,30227312,29853293,30058907,30488438,31107549,31700371,32240291,32889170,33442754,34124249,34798527,35605480,36111948,36783152,Upgrade
9,Goodwill,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30092,30608,3799,34077,35811,Upgrade
10,Other Intangible Assets,51438,42528,42260,39032,39258,38105,38790,31519,31889,32377,33366,32968,34001,35398,35488,65122,66851,69077,71530,68833,Upgrade
