,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+10 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+10 Quarters
0,Revenue,8493462,6061160,9382192,6243103,6796193,5679491,8429299,7424375,7658299,6041684,7462748,7061388,3593969,5342485,7963484,7661011,7936498,6112182,7707697,7975357,Upgrade
1,Revenue Growth (YoY),24.97%,6.72%,11.30%,-15.91%,-11.26%,-5.99%,12.95%,5.14%,113.09%,13.09%,-6.29%,-7.83%,-54.72%,-12.59%,3.32%,-3.94%,-13.14%,-22.86%,-21.98%,-5.46%,Upgrade
2,"Selling, General & Admin",394002,168864,195274,116325,-84286,148742,207371,126483,-270571,386644,202264,115716,-395044,154315,239176,141914,421218,270846,435104,82303,Upgrade
3,Depreciation & Amortization,-,-,-,-,30831,-,-,-,34746,-,-,-,-,-,-,-,-,-,-,-,Upgrade
4,Other Operating Expenses,7953557,5764906,8647208,5866383,6386149,5372559,7959932,6745448,6990138,5339011,6533453,6034216,3923028,4499700,6813047,6785177,6249589,5564784,6381801,6955464,Upgrade
5,Total Operating Expenses,8347559,5933770,8842482,5982707,6332695,5521300,8167303,6871932,6754313,5725655,6735717,6149933,3527983,4654015,7052223,6927091,6670807,5835629,6816905,7037768,Upgrade
6,Operating Income,145903,127390,539710,260396,463498,158190,261996,552443,903986,316029,727031,911455,65986,688469,911262,733920,1265691,276553,890791,937589,Upgrade
7,Interest Expense,-117536,-95632,-87909,-80568,-173702,-133503,-125479,-132065,-122775,-118168,-142667,-53916,-109770,-130736,-133894,-135246,-160706,-191792,-212868,-243868,Upgrade
8,Interest Income,-,411265,-137486,98929,142635,138936,120578,110505,180101,95553,63157,60298,90292,119379,373852,72795,70977,145947,84329,82247,Upgrade
9,Net Interest Expense,-117536,315632,-225395,18361,-31067,5433,-4901,-21560,57326,-22615,-79510,6382,-19478,-11357,239958,-62450,-89729,-45845,-128540,-161621,Upgrade
10,Income (Loss) on Equity Investments,-,-,701.55,-,26809,-,13316,-,28003,-,25219,-,13864,7080,1543,-,37387,-,6737,-,Upgrade
11,Currency Exchange Gain (Loss),-,-,224425,-67881,13359,-,-78646,10619,82140,-,-,-6938,-17864,-,-,23404,-17777,-,118671,-134600,Upgrade
12,Other Non-Operating Income (Expenses),221362,104064,-32936,-2987,12577,-81723,196788,1587,-28163,-69506,-83416,-3162,-287942,-5297,-201093,-18298,-62188,-40958,45296,-27454,Upgrade
13,EBT Excluding Unusual Items,249729,547086,506505,207889,485176,81900,388553,543089,1043291,223907,589324,907738,-245434,678895,951670,676576,1133384,189750,932957,613914,Upgrade
14,Restructuring Charges,-,-,-59.06,-142.32,-56948,-,-5183,-2422,50594,-,-,-28452,-24939,-,-,-,-,-,-,-,Upgrade
15,Gain (Loss) on Sale of Investments,-,-,352.5,-,-,-,-,-,-,-,-,-,-5898,-,-,-,-42.99,-,-,-1.74,Upgrade
16,Gain (Loss) on Sale of Assets,-,-,-68445,70294,-339.28,-,2327,-,1099,-,-,38.59,305735,-,-,482.54,-1162,-,4300,135.76,Upgrade
17,Insurance Settlements,-,-,-,-,2482,-,-149321,149321,19647,-,-,-,-,-,-,-,-,-,-,-,Upgrade
18,Other Unusual Items,-,-,3763,24.19,605.82,-,2778,49.64,1493,-,-,554.48,1986,-,-,225.82,987.31,-,782.63,94.24,Upgrade
19,Pretax Income,249729,547086,442117,278065,430976,81900,239154,690037,1116124,223907,589324,879879,31451,678895,951670,677284,1133166,189750,938040,614142,Upgrade
20,Income Tax Expense,14807,93826,656.65,61768,31657,29518,57892,40059,154436,22627,2846,76397,12782,75573,87853,110939,-42459,65255,80514,109122,Upgrade
21,Earnings From Continuing Ops.,234922,453260,441460,216297,399319,52382,181262,649978,961688,201281,586478,803482,18669,603323,863816,566345,1175625,124495,857526,505020,Upgrade
22,Minority Interest in Earnings,-48775,-56910,-49695,61336,-103550,30276,-55329,-115976,-110692,-134427,-164810,-82142,-61662,-120014,-13874,-58049,-113323,-19227,-104174,-60927,Upgrade
23,Net Income,186147,396350,391766,277633,295770,82659,125933,534002,850996,66854,421668,721340,-42993,483309,849942,508296,1062302,105268,753352,444093,Upgrade
24,Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,153061,-,-,-,182155,-,-,-,190837,-,-,-,Upgrade
25,Net Income to Common,186147,396350,391766,277633,295770,82659,125933,534002,697935,66854,421668,721340,-225148,483309,849942,508296,871465,105268,753352,444093,Upgrade
26,Net Income Growth,-37.06%,379.50%,211.09%,-48.01%,-65.24%,23.64%,-70.13%,-25.97%,-,-86.17%,-50.39%,41.91%,-,359.12%,12.82%,14.46%,243.67%,-84.96%,9.14%,-46.66%,Upgrade
27,Shares Outstanding (Basic),2356,2345,2338,2342,2342,2362,2322,2342,2342,2305,2343,2342,2322,2346,2341,2342,2341,2339,2344,2342,Upgrade
28,Shares Outstanding (Diluted),2356,2345,2338,2342,2342,2362,2322,2342,2342,2305,2343,2342,2322,2346,2341,2342,2341,2339,2344,2342,Upgrade
29,Shares Change (YoY),0.62%,-0.69%,0.71%,-,-0.01%,2.45%,-0.88%,-,0.84%,-1.74%,0.05%,-,-0.81%,0.29%,-0.13%,-,-0.35%,-0.10%,0.20%,-,Upgrade
30,EPS (Basic),79.00,169.00,167.53,118.55,126.30,35.00,54.23,228.02,298.01,29.00,180.00,308.02,-96.95,206.00,363.00,217.05,372.22,45.00,321.33,189.63,Upgrade
31,EPS (Diluted),79.00,169.00,167.53,118.55,126.30,35.00,54.23,228.02,298.01,29.00,180.00,308.02,-96.95,206.00,363.00,217.05,372.22,45.00,321.33,189.63,Upgrade
32,EPS Growth,-37.45%,382.86%,208.91%,-48.01%,-57.62%,20.69%,-69.87%,-25.97%,-,-85.92%,-50.41%,41.91%,-,357.78%,12.97%,14.46%,377.88%,-84.95%,8.93%,-46.66%,Upgrade
