,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 12, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,141,124,82,84,67,99,136,110,102,88,175
1,Market Cap Growth,47.62%,47.62%,22.62%,-15.32%,-50.59%,-10.14%,33.86%,25.45%,-42.01%,-50.00%,-41.60%
2,Enterprise Value,341,-141,-30,-14,31,-18,15,-7,54,48,111
3,Last Close Price,0.18,0.15,0.10,0.10,0.08,0.12,0.17,0.14,0.13,0.11,0.22
4,PE Ratio,8.34,7.34,-,2.24,-1.31,-,25.96,5.64,6.23,-,-
5,PS Ratio,0.09,0.08,0.05,0.06,0.06,0.11,0.21,0.13,0.14,0.15,0.25
6,PB Ratio,0.55,0.36,0.36,0.35,0.31,0.50,0.51,0.42,0.38,0.38,0.71
7,P/TBV Ratio,0.49,0.49,0.36,0.35,0.31,0.51,0.51,0.42,0.38,0.38,0.71
8,P/FCF Ratio,-,-,0.43,1.03,-2.66,-,-,1.54,1.29,-8.91,-
9,P/OCF Ratio,-,-,0.43,0.99,-3.26,-,-,1.51,1.28,-9.24,-
10,EV/Sales Ratio,0.22,-,-,-,0.03,-,0.02,-,0.07,0.08,0.16
11,EV/EBITDA Ratio,13.13,-,-,-,-0.81,-,1.04,-,3.47,10.28,6.04
12,EV/EBIT Ratio,29.71,-,-,-,-0.60,-,9.81,-,29.74,-,-
13,EV/FCF Ratio,-,-,-,-,-1.23,-,-,-,0.69,-4.91,-
14,Debt / Equity Ratio,1.28,1.28,0.32,0.34,0.40,0.46,0.37,0.40,0.55,0.48,0.49
15,Debt / FCF Ratio,-,-,0.39,1.00,-3.49,-,-,1.45,1.86,-11.42,-
16,Return on Capital Employed (ROCE),1.49%,1.49%,-,15.65%,-17.87%,-,0.43%,-,0.45%,-,-
17,Earnings Yield,11.99%,13.62%,12.87%,44.60%,-76.09%,-60.69%,3.85%,17.74%,16.05%,-8.86%,0.18%
18,FCF Yield,-239.47%,-239.47%,231.48%,96.81%,-37.55%,-81.25%,2.36%,65.07%,77.26%,-11.22%,-22.69%
