,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,100.91,165.93,143.25,111.29,94.02,60.86,53.57,88.08,36.24,70.07
1,Revenue Growth (YoY),-29.56%,49.09%,52.36%,82.86%,75.53%,-30.90%,47.80%,25.71%,-30.95%,29.32%
2,Cost of Revenue,94.85,166.09,137.84,106.58,104.54,58.16,52.44,84.95,35.55,68.75
3,Gross Profit,6.05,-0.17,5.42,4.71,-10.52,2.7,1.12,3.14,0.69,1.31
4,"Selling, General & Admin",1.52,2.38,1.47,1.87,1.3,2.07,1.49,2.01,1.51,1.98
5,Operating Expenses,1.52,2.38,1.47,1.87,1.3,2.07,1.49,2.01,1.51,1.98
6,Operating Income,4.53,-2.54,3.95,2.85,-11.82,0.63,-0.37,1.13,-0.82,-0.67
7,Interest Expense,-0.25,-0.31,-0.34,-0.25,-0.17,-0.16,-0.19,-0.23,-0.31,-0.34
8,Interest & Investment Income,0.8,0.66,0.19,0.06,0.01,0.01,0.02,0.03,0.07,0.09
9,Currency Exchange Gain (Loss),0.25,-0.18,0.05,-0.19,0.23,-0.01,0.15,-0.43,0.52,-0.03
10,Other Non Operating Income (Expenses),0.06,0.37,0.1,0.03,0.04,0.81,0.14,2.34,0.13,0.05
11,EBT Excluding Unusual Items,5.39,-2.01,3.95,2.5,-11.71,1.28,-0.25,2.84,-0.41,-0.9
12,Gain (Loss) on Sale of Investments,-,-,-,-,-,0,0.01,0.01,-,-
13,Gain (Loss) on Sale of Assets,-,-,0.03,-,-,-,0.01,0.01,-,-
14,Other Unusual Items,-,0.02,-,0.1,0.4,-0.07,0.58,0.88,-,-
15,Pretax Income,5.39,-1.99,3.98,2.6,-11.31,1.21,0.34,3.73,-0.41,-0.9
16,Income Tax Expense,0.36,0.11,0.08,0.03,0.05,0.52,0.12,0.56,-0.01,0.11
17,Earnings From Continuing Operations,5.03,-2.11,3.9,2.57,-11.37,0.69,0.21,3.18,-0.4,-1.01
18,Minority Interest in Earnings,0,-,-,-,-,-,-,-,-,-
19,Net Income,5.04,-2.11,3.9,2.57,-11.37,0.69,0.21,3.18,-0.4,-1.01
20,Net Income to Common,5.04,-2.11,3.9,2.57,-11.37,0.69,0.21,3.18,-0.4,-1.01
21,Net Income Growth,29.22%,-,-,271.94%,-,-78.23%,-,-,-,-
22,Shares Outstanding (Basic),800,800,800,800,800,800,800,800,800,800
23,Shares Outstanding (Diluted),800,800,800,800,800,800,800,800,800,800
24,EPS (Basic),0.01,-0.00,0.00,0.00,-0.01,0.00,0.00,0.00,-0.00,-0.00
25,EPS (Diluted),0.01,-0.00,0.00,0.00,-0.01,0.00,0.00,0.00,-0.00,-0.00
26,EPS Growth,29.23%,-,-,271.99%,-,-78.24%,-,-,-,-
27,Free Cash Flow,-78.81,27.26,4.97,9.07,-13.41,-0.88,1.43,11.01,2.37,-4.15
28,Free Cash Flow Per Share,-0.10,0.03,0.01,0.01,-0.02,-0.00,0.00,0.01,0.00,-0.01
29,Operating Margin,4.49%,-1.53%,2.76%,2.56%,-12.57%,1.04%,-0.69%,1.28%,-2.26%,-0.95%
30,Profit Margin,4.99%,-1.27%,2.72%,2.31%,-12.09%,1.14%,0.40%,3.61%,-1.10%,-1.43%
31,Free Cash Flow Margin,-78.10%,16.43%,3.47%,8.15%,-14.26%,-1.44%,2.68%,12.50%,6.55%,-5.92%
32,EBITDA,5.65,-1.35,5.15,4.04,-10.67,1.75,0.73,2.31,0.34,0.51
33,D&A For EBITDA,1.12,1.19,1.2,1.19,1.15,1.11,1.1,1.18,1.16,1.18
34,EBIT,4.53,-2.54,3.95,2.85,-11.82,0.63,-0.37,1.13,-0.82,-0.67
