,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Market Capitalization,3381,8177,-,-,-
1,Enterprise Value,2504,7704,-,-,-
2,Last Close Price,4.06,9.82,-,-,-
3,PS Ratio,6.38,18.22,-,-,-
4,PB Ratio,3.52,8.46,-,-,-
5,P/TBV Ratio,8.52,8.52,-,-,-
6,EV/Sales Ratio,5.10,17.17,-,-,-
7,EV/EBITDA Ratio,22.55,166.84,-,-,-
8,EV/EBIT Ratio,31.33,187.76,-,-,-
9,Debt / Equity Ratio,0.16,0.16,0.16,-,2.34
10,Debt / EBITDA Ratio,1.42,3.37,3.37,-,4.48
11,Debt / FCF Ratio,6.54,-,-,-,27.09
12,Asset Turnover,0.32,-,-,-,
13,Quick Ratio,4.29,4.29,4.29,-,-
14,Current Ratio,4.66,4.66,4.66,-,-
15,Return on Equity (ROE),-31.63%,-,-,-,
16,Return on Assets (ROA),0.73%,-,-,-,
17,Return on Capital (ROIC),0.82%,-,-,-,
18,Return on Capital Employed (ROCE),7.85%,4.04%,3.67%,-,-
19,Earnings Yield,-3.60%,-2.60%,-,-,-
20,FCF Yield,0.71%,-0.46%,-,-,-
