,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,249,511,594,1497,818,1105,941,450,423,344,603,Upgrade
1,Market Cap Growth,-65.85%,-65.85%,-27.40%,35.50%,-13.04%,145.45%,122.22%,30.95%,-29.83%,-41.05%,15.69%,Upgrade
2,Enterprise Value,8022,8439,8550,9890,9433,9915,9644,8597,8570,8715,8903,Upgrade
3,Last Close Price,0.05,0.11,0.13,0.33,0.40,0.54,0.46,0.22,0.21,0.17,0.29,Upgrade
4,PE Ratio,-,-,-,-,1.35,1.16,1.19,2.58,-,-,-,Upgrade
5,PS Ratio,0.11,0.24,0.22,0.40,0.17,0.24,0.27,0.19,0.26,0.28,0.45,Upgrade
6,PB Ratio,0.17,0.34,0.31,0.36,0.50,0.69,0.83,0.67,1.28,0.76,0.98,Upgrade
7,P/TBV Ratio,0.35,0.35,0.31,0.49,0.51,0.70,0.86,0.71,1.43,0.82,1.04,Upgrade
8,P/FCF Ratio,-,-,-,3.34,2.50,3.36,8.87,2.89,1.95,2.54,3.81,Upgrade
9,P/OCF Ratio,-,-124.21,-,1.82,1.06,1.43,1.54,0.58,0.65,1.14,1.94,Upgrade
10,EV/Sales Ratio,3.84,4.04,3.17,2.65,1.95,2.11,2.77,3.68,5.35,7.07,6.66,Upgrade
11,EV/EBITDA Ratio,-,-,-,15.34,5.75,5.39,7.44,8.12,13.57,27.71,28.91,Upgrade
12,EV/EBIT Ratio,-,-,-,-,7.60,6.38,8.74,9.89,18.49,51.25,52.18,Upgrade
13,EV/FCF Ratio,-22.96,-,-,22.07,28.80,30.17,90.90,55.15,39.48,64.39,56.22,Upgrade
14,Debt / Equity Ratio,5.17,5.17,4.13,1.66,5.12,5.37,7.76,12.93,26.21,17.91,13.64,Upgrade
15,Debt / FCF Ratio,-,-,-,15.41,25.81,26.26,82.89,55.69,39.91,60.01,52.79,Upgrade
16,Return on Capital Employed (ROCE),-,-,-,-,61.29%,77.74%,71.31%,118.53%,119.72%,33.75%,25.61%,Upgrade
17,Earnings Yield,-470.32%,-228.81%,-138.38%,5.41%,74.15%,86.54%,84.16%,38.69%,-75.78%,-82.54%,-47.04%,Upgrade
18,FCF Yield,-140.48%,-68.34%,4.27%,29.94%,40.03%,29.75%,11.27%,34.64%,51.27%,39.39%,26.24%,Upgrade
19,Buyback Yield / Dilution,-43.11%,-16.14%,-95.39%,-93.85%,-,-,-,-,-,-,-,Upgrade
20,Total Shareholder Return,-43.11%,-16.14%,-95.39%,-93.85%,-,-,-,-,-,-,-,Upgrade
