,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,6196,4203,3366,3612,3075,3765,4119,3725,3784,3370,3824,Upgrade
1,Market Cap Growth,16.36%,16.36%,9.45%,-4.06%,-25.36%,1.06%,8.85%,10.53%,-1.03%,-24.00%,-16.89%,Upgrade
2,Enterprise Value,3527,1145,310,162,-258,-153,803,1277,1755,1315,1051,Upgrade
3,Last Close Price,2.86,1.94,1.54,1.65,1.40,1.71,1.82,1.64,1.62,1.44,1.54,Upgrade
4,PE Ratio,46.35,33.10,78.85,693.37,-,20.58,14.53,12.37,21.63,28.50,22.17,Upgrade
5,PS Ratio,17.36,12.39,6.55,7.81,6.68,5.52,5.29,3.65,4.07,4.49,4.18,Upgrade
6,PB Ratio,0.53,0.35,0.28,0.30,0.24,0.29,0.30,0.28,0.29,0.28,0.30,Upgrade
7,P/TBV Ratio,0.36,0.36,0.28,0.30,0.25,0.29,0.31,0.28,0.29,0.29,0.31,Upgrade
8,P/FCF Ratio,-,-,-,-,-,-,53.26,-,15.07,-,-,Upgrade
9,P/OCF Ratio,-,-,-,-,26.77,-,49.28,-,11.76,-,-,Upgrade
10,EV/Sales Ratio,10.40,3.38,0.60,0.35,-,-,1.03,1.25,1.89,1.75,1.15,Upgrade
11,EV/EBITDA Ratio,26.01,10.71,2.00,1.50,-,-,1.77,3.07,7.13,6.24,3.80,Upgrade
12,EV/EBIT Ratio,36.73,15.10,2.43,1.98,-,-,1.88,3.34,8.17,7.03,4.19,Upgrade
13,EV/FCF Ratio,-7.80,-,-,-,-,-,10.38,-,6.99,-,-,Upgrade
14,Debt / Equity Ratio,0.09,0.09,0.03,0.03,0.02,0.02,0.02,0.02,0.08,0.09,0.10,Upgrade
15,Debt / FCF Ratio,-,-,-,-,-,-,3.96,-,4.14,-,-,Upgrade
16,Return on Capital Employed (ROCE),0.59%,0.59%,0.96%,0.61%,0.82%,1.98%,2.77%,2.55%,1.46%,1.37%,1.70%,Upgrade
17,Earnings Yield,2.05%,3.02%,1.27%,0.14%,0.56%,4.86%,6.88%,8.08%,4.62%,3.51%,4.51%,Upgrade
18,FCF Yield,-7.29%,-10.73%,-8.95%,-6.86%,-2.99%,7.69%,1.88%,3.46%,6.63%,-21.90%,-14.88%,Upgrade
19,Dividend Yield,3.50%,-,-,-,-,-,-,3.35%,-,3.81%,-,Upgrade
20,Buyback Yield / Dilution,-4.22%,-4.30%,-4.15%,-0.34%,-,-,-,-,-0.03%,3.73%,5.42%,Upgrade
21,Total Shareholder Return,-0.73%,-4.30%,-4.15%,-0.34%,-,-,-,3.35%,-0.03%,7.54%,5.42%,Upgrade
