,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,3813,3526,3772,3966,3883,4446,3864,3712,3265,3654,Upgrade
1,Short-Term Investments,11.65,11.93,11.86,12.35,12.89,13.49,13.22,13.04,11.4,11.64,Upgrade
2,Trading Asset Securities,46.02,49.26,2.17,36.72,50.18,101.59,100.98,90.3,97.8,-,Upgrade
3,Cash & Short-Term Investments,3870,3587,3786,4015,3946,4561,3979,3815,3374,3666,Upgrade
4,Cash Growth,2.23%,-10.65%,-4.07%,-11.97%,-0.81%,19.56%,17.91%,4.07%,-22.54%,-26.24%,Upgrade
5,Accounts Receivable,1.15,0.53,0.62,0.34,13.74,0.36,0.15,0.05,2.29,1.04,Upgrade
6,Other Receivables,177.25,93.77,143.21,164.53,211.07,174.33,286.89,251.43,208.96,705.18,Upgrade
7,Receivables,178.4,94.3,143.83,164.87,224.81,174.7,287.04,251.48,211.25,706.21,Upgrade
8,Inventory,6371,6292,5840,5834,5985,6311,6064,5900,5689,5221,Upgrade
9,Prepaid Expenses,-,42.81,-,44.01,-,48.09,-,46.48,-,-,Upgrade
10,Restricted Cash,2752,-,-,-,-,-,-,-,-,-,Upgrade
11,Other Current Assets,-,447.02,-,-,-,-,-,912.76,843.37,928.28,Upgrade
12,Total Current Assets,13172,10463,9770,10058,10156,11095,10330,10926,10118,10521,Upgrade
13,"Property, Plant & Equipment",336.58,357.66,374.97,378.12,204.18,229.73,243.67,258.2,253.8,202.38,Upgrade
14,Long-Term Investments,433.62,472.2,466.61,475.6,464.71,491.08,650.84,599.3,526.16,585.49,Upgrade
15,Goodwill,33.29,33.29,33.29,33.29,33.29,33.29,33.29,33.29,33.29,33.29,Upgrade
16,Long-Term Deferred Tax Assets,-,-,-,-,-,-,-,37.94,34.97,35.5,Upgrade
17,Other Long-Term Assets,7281,7035,7514,7850,8541,8685,8492,8533,7683,8474,Upgrade
18,Total Assets,21257,18361,18158,18795,19400,20535,19749,20387,18649,19852,Upgrade
19,Accounts Payable,134.52,321.17,86.81,103.32,95.57,109.69,116.27,116.33,105.4,111.19,Upgrade
20,Accrued Expenses,-,163.63,-,162.88,-,170.95,-,172.01,-,-,Upgrade
21,Short-Term Debt,-,-,-,-,-,-,-,216.81,-,354.79,Upgrade
22,Current Portion of Long-Term Debt,1052,193.54,193.39,26.94,28.13,29.43,28.85,518.45,719.96,153.42,Upgrade
23,Current Portion of Leases,6.72,6.4,7,4.21,7.65,7.54,7.47,7.65,8.29,4.3,Upgrade
24,Current Income Taxes Payable,3640,3749,3703,3796,4003,4200,4016,4106,3524,3606,Upgrade
25,Current Unearned Revenue,2726,-,-,121.65,51.12,208.6,2.06,46.87,92,277.19,Upgrade
26,Other Current Liabilities,762.34,665.37,675.38,529.94,588.5,428.83,591.16,444.12,566.41,655.01,Upgrade
27,Total Current Liabilities,8322,5100,4665,4745,4774,5155,4762,5628,5016,5162,Upgrade
28,Long-Term Debt,-,182.27,206.77,215.51,252.78,264.9,288.17,284.5,288.83,785.3,Upgrade
29,Long-Term Leases,7.35,11.08,14.07,-,0.71,4.21,8.36,11.75,15.39,-,Upgrade
30,Long-Term Deferred Tax Liabilities,987.87,910.01,1023,1112,1149,1249,1226,1234,1220,1319,Upgrade
31,Other Long-Term Liabilities,16.26,15.09,14.43,15.54,18.82,23.19,20.55,12.54,12.51,14.17,Upgrade
32,Total Liabilities,9333,6218,5924,6089,6195,6696,6305,7171,6553,7280,Upgrade
33,Common Stock,1083,1026,1026,985.51,985.51,985.51,985.51,985.51,985.51,985.51,Upgrade
34,Additional Paid-In Capital,176.79,265.03,265.03,343.35,343.35,451.76,451.76,560.16,560.16,776.97,Upgrade
35,Retained Earnings,10023,9920,9896,9877,9891,9860,9622,9491,9321,9316,Upgrade
36,Comprehensive Income & Other,504.9,795.93,737.58,1183,1660,2204,2056,1852,916.44,1181,Upgrade
37,Total Common Equity,11788,12007,11925,12388,12880,13501,13115,12889,11784,12259,Upgrade
38,Minority Interest,135.57,136.61,309.25,318.24,324.49,337.49,328.97,327.73,312.75,312.39,Upgrade
39,Shareholders' Equity,11924,12143,12234,12707,13204,13838,13444,13216,12096,12572,Upgrade
40,Total Liabilities & Equity,21257,18361,18158,18795,19400,20535,19749,20387,18649,19852,Upgrade
41,Total Debt,1066,393.3,421.22,246.66,289.27,306.08,332.85,1039,1032,1298,Upgrade
42,Net Cash (Debt),2805,3194,3365,3768,3657,4255,3646,2776,2342,2368,Upgrade
43,Net Cash Growth,-16.65%,-15.24%,-8.00%,-11.43%,0.31%,53.29%,55.68%,17.22%,-22.87%,-33.14%,Upgrade
44,Net Cash Per Share,1.36,1.56,1.70,1.91,1.86,2.16,1.85,1.41,1.19,1.20,Upgrade
45,Filing Date Shares Outstanding,2166,2052,2052,1971,1971,1971,1971,1971,1971,1971,Upgrade
46,Total Common Shares Outstanding,2166,2052,2052,1971,1971,1971,1971,1971,1971,1971,Upgrade
47,Working Capital,4850,5364,5104,5313,5382,5940,5568,5298,5102,5359,Upgrade
48,Book Value Per Share,5.44,5.85,5.81,6.29,6.53,6.85,6.65,6.54,5.98,6.22,Upgrade
49,Tangible Book Value,11755,11973,11892,12355,12847,13468,13082,12855,11750,12226,Upgrade
50,Tangible Book Value Per Share,5.43,5.83,5.79,6.27,6.52,6.83,6.64,6.52,5.96,6.20,Upgrade
51,Land,-,849.29,-,874.28,-,735.14,-,710.71,-,583.79,Upgrade
52,Machinery,-,150.03,-,156.33,-,165.46,-,160.77,-,141.35,Upgrade
53,Construction In Progress,-,-,-,-,-,-,-,-,-,4.54,Upgrade
