,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Revenue,1867,2736,1468,2024,1058
1,Revenue Growth (YoY),27.14%,35.15%,38.73%,-,-
2,Cost of Revenue,1077,1461,763.52,1067,529.24
3,Gross Profit,789.95,1275,704.58,957.66,528.99
4,"Selling, General & Admin",235.69,412.75,352.58,622.07,317.73
5,Research & Development,850.05,1107,661.83,1092,557.95
6,Other Operating Expenses,-76.54,-62.49,-34.41,-33.18,-29.07
7,Operating Expenses,1034,1521,995.7,1730,846.86
8,Operating Income,-243.72,-246.3,-291.12,-771.94,-317.87
9,Interest Expense,-2.22,-186.42,-244.41,-349.4,-324.34
10,Interest & Investment Income,28.6,32.86,21.36,29.04,17.15
11,Earnings From Equity Investments,1.62,-0.23,-1.37,-2.48,-0.72
12,Currency Exchange Gain (Loss),1.89,-10.99,3.24,5.09,2.31
13,Other Non Operating Income (Expenses),-0.14,-0.44,-0.16,-0.1,-0.14
14,EBT Excluding Unusual Items,-213.98,-411.51,-512.47,-1090,-623.61
15,Gain (Loss) on Sale of Investments,21.17,-35.19,34.93,17.27,39.25
16,Gain (Loss) on Sale of Assets,31.55,-,-,-,-
17,Other Unusual Items,-2.35,-2.69,-3.9,-4.21,-3.99
18,Pretax Income,-163.61,-449.39,-481.44,-1077,-588.36
19,Income Tax Expense,4.92,-6.5,-3.76,-7.13,-4.54
20,Earnings From Continuing Operations,-168.53,-442.89,-477.68,-1070,-583.82
21,Minority Interest in Earnings,16.93,-9.76,21.61,-8.55,17.08
22,Net Income,-151.6,-452.65,-456.07,-1078,-566.74
23,Net Income to Common,-151.6,-452.65,-456.07,-1078,-566.74
24,Shares Outstanding (Basic),466,374,275,268,267
25,Shares Outstanding (Diluted),466,374,275,268,267
26,Shares Change (YoY),69.16%,39.91%,2.98%,-,-
27,EPS (Basic),-0.33,-1.21,-1.66,-4.03,-2.12
28,EPS (Diluted),-0.33,-1.21,-1.66,-4.03,-2.12
29,Free Cash Flow,-414.28,-164.57,-872.79,-433.34,-361.77
30,Free Cash Flow Per Share,-0.89,-0.44,-3.17,-1.62,-1.35
31,Operating Margin,-13.06%,-9.00%,-19.83%,-38.13%,-30.04%
32,Profit Margin,-8.12%,-16.54%,-31.07%,-53.26%,-53.56%
33,Free Cash Flow Margin,-22.19%,-6.01%,-59.45%,-21.41%,-34.19%
34,EBITDA,-224.36,-232.41,-268.12,-758.75,-297.52
35,D&A For EBITDA,19.37,13.88,23,13.19,20.35
36,EBIT,-243.72,-246.3,-291.12,-771.94,-317.87
