,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,1098,1201,1201,1567,1318,1186,1787,1816,1538,2695,3515
1,Market Cap Growth,-23.36%,-23.36%,-8.89%,32.10%,-26.23%,-34.68%,16.19%,-32.61%,-56.25%,-28.13%,-11.11%
2,Enterprise Value,5210,5330,5368,4219,4403,3997,4586,4444,4184,5246,6447
3,Last Close Price,0.75,0.82,0.82,1.07,0.90,0.81,1.22,1.24,1.05,1.84,2.40
4,PE Ratio,563.81,616.43,-,19.26,-,386.95,-,5.35,6.09,-14.03,-
5,PS Ratio,0.79,0.86,0.81,1.10,1.03,0.88,1.12,1.17,1.15,2.26,2.61
6,PB Ratio,0.11,0.10,0.10,0.13,0.11,0.09,0.14,0.14,0.12,0.24,0.31
7,P/TBV Ratio,0.12,0.12,0.12,0.15,0.13,0.11,0.16,0.16,0.14,0.27,0.35
8,P/FCF Ratio,5.15,-,2.85,2.91,14.78,-,10.11,7.63,10.67,-,-
9,P/OCF Ratio,3.23,3.23,1.68,2.02,4.34,-,4.24,3.30,4.43,-,8.15
10,EV/Sales Ratio,3.73,3.82,3.61,2.97,3.45,2.96,2.87,2.86,3.13,4.40,4.79
11,EV/EBITDA Ratio,9.03,33.22,26.43,20.11,32.20,33.93,18.60,11.67,15.92,23.14,17.81
12,EV/EBIT Ratio,36.90,-,-,-,-,-,-,20.76,30.24,35.34,26.33
13,EV/FCF Ratio,24.42,-,12.74,7.82,49.37,-,25.96,18.68,29.03,-,-
14,Debt / Equity Ratio,0.44,0.44,0.45,0.45,0.23,0.23,0.25,0.26,0.27,0.28,0.30
15,Debt / FCF Ratio,24.61,-,12.95,9.96,31.27,-,18.78,13.94,23.61,-,-
16,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,1.33%,0.88%,1.03%,1.67%
17,Earnings Yield,0.18%,0.16%,8.05%,5.19%,-2.10%,0.26%,9.85%,18.69%,16.43%,-7.13%,-2.66%
18,FCF Yield,19.43%,17.77%,35.09%,34.41%,6.77%,-10.61%,9.89%,13.10%,9.37%,-3.25%,-6.28%
19,Buyback Yield / Dilution,-,-,-,-,-,-,-,-,-,0.32%,
20,Total Shareholder Return,-,-,-,-,-,-,-,-,-,0.32%,
