,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,644.6,653.74,695.24,619.07,508.51,644.63,655.11,637.47,486.55,601.06
1,Revenue Growth (YoY),-7.28%,5.60%,36.72%,-3.96%,-22.38%,1.12%,34.64%,6.06%,-19.31%,4.67%
2,Cost of Revenue,282.54,262.38,301.17,249.22,220.26,241.03,268.34,238.93,203.7,202.71
3,Gross Profit,362.07,391.36,394.07,369.85,288.25,403.59,386.77,398.54,282.86,398.35
4,"Selling, General & Admin",408.45,457.35,416.11,421.63,392.07,432.02,295.18,312.12,252.76,293.16
5,Operating Expenses,408.45,457.35,416.11,421.63,392.07,432.02,295.18,312.12,252.76,293.16
6,Operating Income,-46.38,-65.98,-22.04,-51.78,-103.82,-28.43,91.6,86.43,30.1,105.19
7,Interest Expense,-93.51,-97.81,-84.13,-57.26,-58.4,-18.3,-9.6,-12.26,-13.09,-16.32
8,Interest & Investment Income,25.34,43.46,30.41,13.01,13.16,25.86,25.47,25.72,29.11,33.69
9,Earnings From Equity Investments,177.21,66.55,269.62,-5.29,206.61,93.76,171.79,134.36,111.74,-675.56
10,Currency Exchange Gain (Loss),-,0.68,-,7.01,-,-2.01,-,-5.56,-,1.95
11,Other Non Operating Income (Expenses),101.57,107.12,109.83,117.3,104.88,54.37,61.16,49.44,44.1,59.57
12,EBT Excluding Unusual Items,164.23,54.02,303.69,23,162.42,125.26,340.42,278.11,201.95,-491.49
13,Other Unusual Items,-,-,-,-,-,-17.85,-,-,15.32,-
14,Pretax Income,164.23,54.02,303.69,23,162.42,107.41,340.42,278.11,217.27,-491.49
15,Income Tax Expense,33.31,44.09,38.08,47.34,31.51,57.07,66.19,66.45,47.37,9.88
16,Earnings From Continuing Operations,130.92,9.94,265.61,-24.34,130.92,50.34,274.23,211.67,169.9,-501.38
17,Minority Interest in Earnings,-89.25,-49.79,-137.99,-27.98,-103.03,-75.61,-105.57,-98.1,-70.72,227.09
18,Net Income,41.67,-39.86,127.62,-52.33,27.88,-25.27,168.66,113.57,99.18,-274.29
19,Net Income to Common,41.67,-39.86,127.62,-52.33,27.88,-25.27,168.66,113.57,99.18,-274.29
20,Net Income Growth,-67.35%,-,357.69%,-,-83.47%,-,70.05%,-,-48.01%,-
21,Shares Outstanding (Basic),1464,1464,1464,1464,1464,1464,1464,1464,1464,1464
22,Shares Outstanding (Diluted),1464,1464,1464,1464,1464,1464,1464,1464,1464,1464
23,Shares Change (YoY),-,-,-,-,-,-,-,-,-,-0.32%
24,EPS (Basic),0.03,-0.03,0.09,-0.04,0.02,-0.02,0.12,0.08,0.07,-0.19
25,EPS (Diluted),0.03,-0.03,0.09,-0.04,0.02,-0.02,0.12,0.08,0.07,-0.19
26,EPS Growth,-67.35%,-,357.70%,-,-83.47%,-,70.05%,-,-48.01%,-
27,Free Cash Flow,-11.16,209.75,172.72,326.3,-247.41,139.92,4.04,193.79,-72.42,-7.45
28,Free Cash Flow Per Share,-0.01,0.14,0.12,0.22,-0.17,0.10,0.00,0.13,-0.05,-0.01
29,Operating Margin,-7.20%,-10.09%,-3.17%,-8.36%,-20.42%,-4.41%,13.98%,13.56%,6.19%,17.50%
30,Profit Margin,6.46%,-6.10%,18.36%,-8.45%,5.48%,-3.92%,25.75%,17.82%,20.38%,-45.63%
31,Free Cash Flow Margin,-1.73%,32.08%,24.84%,52.71%,-48.65%,21.71%,0.62%,30.40%,-14.88%,-1.24%
32,EBITDA,81.35,67.95,116.4,77.74,43.21,57.36,143.56,173.15,48.23,158.44
33,D&A For EBITDA,127.73,133.94,138.44,129.51,147.03,85.79,51.97,86.73,18.13,53.25
34,EBIT,-46.38,-65.98,-22.04,-51.78,-103.82,-28.43,91.6,86.43,30.1,105.19
