,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023"
0,Cash & Equivalents,864.05,865.67,693.21,759.05,1020,-,-,109.64
1,Trading Asset Securities,95.01,-,228.26,158.4,-,-,-,-
2,Cash & Short-Term Investments,959.06,865.67,921.48,917.46,1020,-,109.64,109.64
3,Cash Growth,-5.98%,-,740.46%,736.79%,-,-,-,-
4,Accounts Receivable,299.44,297.53,272.96,294.5,291.87,-,-,263.58
5,Other Receivables,1.01,0.8,5.68,1.93,1.09,-,-,2.06
6,Receivables,300.45,298.33,278.64,296.42,292.96,-,-,265.64
7,Inventory,220.73,197.19,167.48,161.76,156.04,-,-,152.18
8,Other Current Assets,34.21,32.35,21.48,21.75,11.51,-,-,5.01
9,Total Current Assets,1514,1394,1389,1397,1481,-,-,532.47
10,"Property, Plant & Equipment",713.42,627.73,509.98,474.57,417.62,-,-,350.49
11,Other Intangible Assets,61.06,56.46,56.9,59.57,14.46,-,-,15.05
12,Long-Term Deferred Tax Assets,6.56,5.87,5.35,5.23,4.5,-,-,5.12
13,Long-Term Deferred Charges,6.29,5.46,4.65,4.75,4.88,-,-,3.91
14,Other Long-Term Assets,37.99,28.62,74.19,19.83,35.61,-,-,1.9
15,Total Assets,2340,2118,2040,1961,1958,-,-,908.95
16,Accounts Payable,478.75,402.72,352.15,371,316.89,-,-,272.52
17,Accrued Expenses,15.68,16,12.84,14.32,11.45,-,-,12.73
18,Short-Term Debt,301.9,214.05,188.77,99.97,156.88,-,-,95.08
19,Current Portion of Long-Term Debt,-,-,3.44,-,3.87,-,-,0.41
20,Current Portion of Leases,3.8,3.78,-,3.7,-,-,-,5.88
21,Current Income Taxes Payable,3.7,2.43,2.29,1.15,3.23,-,-,0.72
22,Current Unearned Revenue,0.01,0.79,0.06,0.43,-,-,-,0
23,Other Current Liabilities,32.66,22.68,23.44,22.64,35.48,-,-,28.28
24,Total Current Liabilities,836.51,662.44,582.98,513.22,527.81,-,-,415.62
25,Long-Term Debt,-,-,-,-,-,-,-,9.6
26,Long-Term Leases,0.71,1.81,3.01,3.6,5.35,-,-,7.25
27,Long-Term Unearned Revenue,5.48,5.59,5.69,5.8,5.91,-,-,6.23
28,Long-Term Deferred Tax Liabilities,0.3,0.31,0.4,0.44,0.19,-,-,0.4
29,Other Long-Term Liabilities,-,0.19,0.19,0.19,0.19,-,-,0.38
30,Total Liabilities,842.99,670.34,592.27,523.25,539.46,-,-,439.48
31,Common Stock,134.62,134.62,134.62,134.62,134.62,-,-,100.97
32,Additional Paid-In Capital,1059,1055,1054,1053,1052,-,-,210.92
33,Retained Earnings,276.23,267.91,268.63,247.75,234.46,-,-,157.58
34,Comprehensive Income & Other,27.24,-10.19,-9.36,2.77,-2.85,-,-,-
35,Shareholders' Equity,1497,1447,1448,1438,1418,-,469.47,469.47
36,Total Liabilities & Equity,2340,2118,2040,1961,1958,-,-,908.95
37,Total Debt,306.41,219.64,195.22,107.27,166.11,-,118.23,118.23
38,Net Cash (Debt),652.65,646.03,726.26,810.19,853.93,-,-8.59,-8.59
39,Net Cash Growth,-23.57%,-,-,-,-,-,-,-
40,Net Cash Per Share,4.98,4.54,5.56,5.94,8.42,-,-0.08,-0.06
41,Filing Date Shares Outstanding,134.62,134.62,134.62,134.62,134.62,99.34,102.83,100.97
42,Total Common Shares Outstanding,134.62,134.62,134.62,134.62,134.62,99.34,102.83,100.97
43,Working Capital,677.95,731.1,806.09,884.17,952.73,-,-,116.85
44,Book Value Per Share,11.12,10.75,10.76,10.68,10.53,-,4.65,4.65
45,Tangible Book Value,1436,1391,1391,1379,1404,-,454.42,454.42
46,Tangible Book Value Per Share,10.66,10.33,10.33,10.24,10.43,-,4.50,4.50
47,Buildings,-,391.18,-,171.75,-,-,-,165.19
48,Machinery,-,450.54,-,375.61,-,-,-,347.24
49,Construction In Progress,-,12.86,-,133.01,-,-,-,4.61
