,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023"
0,Operating Revenue,337.62,196.87,204.2,144.52,235.34,181.82,184.2,159.13
1,Other Revenue,-49.37,49.37,-,76.81,-35.79,35.79,-,52.95
2,Revenue,288.26,246.24,204.2,221.33,199.55,217.61,184.2,212.09
3,Revenue Growth (YoY),44.45%,13.16%,10.85%,4.36%,-,-,-,-
4,Cost of Revenue,223.29,212.78,153.49,201.3,142.1,179.66,134.09,186.26
5,Gross Profit,64.96,33.46,50.71,20.02,57.45,37.95,50.11,25.83
6,"Selling, General & Admin",24.76,21.56,19.13,12.22,15.37,13.71,11.31,7.12
7,Research & Development,12.16,11.05,9.52,9.83,9.36,10.08,7.88,7.96
8,Other Operating Expenses,-9.73,-2.39,1.06,-0.23,-8.09,-1.37,-5.3,5.51
9,Operating Expenses,27.03,31.33,28.97,21.48,16.58,23.71,14.44,21.76
10,Operating Income,37.93,2.13,21.74,-1.45,40.86,14.24,35.67,4.07
11,Interest Expense,-1.79,-2.35,-,-1.46,-0.98,-1.29,-0.83,-2.81
12,Interest & Investment Income,3.78,4.66,4.46,3.16,0.87,0.52,0.45,-
13,Currency Exchange Gain (Loss),-3.13,3.13,-,4.31,-7.75,7.75,-,8.55
14,Other Non Operating Income (Expenses),10.65,-1.45,1.32,-6.92,6.57,3.36,-2.54,-10.09
15,EBT Excluding Unusual Items,47.45,6.13,27.52,-2.36,39.58,24.59,32.76,-0.29
16,Gain (Loss) on Sale of Investments,0.01,-0.4,-0.18,0.7,-0.08,-0.28,0.5,1.19
17,Gain (Loss) on Sale of Assets,-0.2,0.19,-0.19,0.28,-,-,-,-0.28
18,Asset Writedown,-23.91,8.59,-9.48,10.96,-11.17,6.44,-6.45,17.23
19,Other Unusual Items,-12.13,4.88,5.77,5.31,-,-,-,8.05
20,Pretax Income,11.21,19.39,23.44,14.88,28.32,30.75,26.81,25.9
21,Income Tax Expense,2.29,2.07,2.55,1.61,2.98,2.85,3.16,1.08
22,Net Income,8.92,17.33,20.88,13.27,25.34,27.9,23.65,24.82
23,Net Income to Common,8.92,17.33,20.88,13.27,25.34,27.9,23.65,24.82
24,Net Income Growth,-64.81%,-37.91%,-11.71%,-46.52%,-,-,-,-
25,Shares Outstanding (Basic),131,142,131,136,101,99,103,141
26,Shares Outstanding (Diluted),131,142,131,136,101,99,103,141
27,Shares Change (YoY),29.26%,43.34%,26.92%,-3.50%,-,-,-,-
28,EPS (Basic),0.07,0.12,0.16,0.10,0.25,0.28,0.23,0.18
29,EPS (Diluted),0.07,0.12,0.16,0.10,0.25,0.28,0.23,0.18
30,EPS Growth,-72.78%,-56.68%,-30.43%,-44.58%,-,-,-,-
31,Free Cash Flow,-2.44,-64.98,-68.41,-41.85,-65.33,6.42,35.05,-42.4
32,Free Cash Flow Per Share,-0.02,-0.46,-0.52,-0.31,-0.64,0.06,0.34,-0.30
33,Dividend Per Share,-,-,-,0.134,-,-,-,-
34,Gross Margin,22.54%,13.59%,24.83%,9.05%,28.79%,17.44%,27.20%,12.18%
35,Operating Margin,13.16%,0.87%,10.65%,-0.66%,20.48%,6.54%,19.37%,1.92%
36,Profit Margin,3.09%,7.04%,10.23%,6.00%,12.70%,12.82%,12.84%,11.70%
37,Free Cash Flow Margin,-0.85%,-26.39%,-33.50%,-18.91%,-32.74%,2.95%,19.03%,-19.99%
38,EBITDA,48.14,12.97,31.95,8.76,50.59,24.55,45.39,13.79
39,EBITDA Margin,16.70%,5.27%,15.65%,3.96%,25.35%,11.28%,24.64%,6.50%
40,D&A For EBITDA,10.21,10.84,10.21,10.21,9.72,10.3,9.72,9.72
41,EBIT,37.93,2.13,21.74,-1.45,40.86,14.24,35.67,4.07
42,EBIT Margin,13.16%,0.87%,10.65%,-0.66%,20.48%,6.54%,19.37%,1.92%
43,Effective Tax Rate,20.46%,10.65%,10.90%,10.82%,10.53%,9.26%,11.78%,4.18%
44,Revenue as Reported,288.26,246.24,204.2,221.33,199.55,217.61,184.2,212.09
