,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023"
0,Market Capitalization,5277,4273,4635,4142,4826,6606,-,-,-
1,Market Cap Growth,-35.32%,-35.32%,-,-,-,-,-,-,-
2,Enterprise Value,4625,3627,3909,3288,3972,6614,-,-,-
3,Last Close Price,39.20,31.74,34.43,30.63,35.68,48.84,-,-,-
4,PE Ratio,87.66,70.75,60.34,47.40,53.53,64.95,-,-,-
5,PS Ratio,5.51,4.45,5.32,4.92,5.87,8.12,-,-,-
6,PB Ratio,3.53,2.85,3.20,2.86,3.36,4.66,-,-,-
7,P/TBV Ratio,2.98,2.98,3.33,2.98,3.50,4.71,-,-,-
8,P/OCF Ratio,28.20,28.20,46.60,29.53,37.19,-,-,-,-
9,EV/Sales Ratio,4.82,3.78,4.49,3.90,4.83,8.13,-,-,-
10,EV/EBITDA Ratio,55.16,35.62,37.49,28.39,30.73,49.25,-,-,-
11,EV/EBIT Ratio,112.82,60.10,61.76,43.61,-,69.74,-,-,-
12,Debt / Equity Ratio,0.20,0.20,0.15,0.13,0.07,0.12,-,0.25,0.25
13,Debt / EBITDA Ratio,3.65,1.59,4.18,1.53,2.88,0.82,-,0.65,1.99
14,Debt / FCF Ratio,-,-,-,-,-,-,-,-16.09,-
15,Asset Turnover,0.52,0.47,0.41,-,-,-,-,-,
16,Inventory Turnover,4.20,4.27,4.67,3.73,-,-,-,-,-
17,Quick Ratio,1.51,1.51,1.76,2.06,2.37,2.49,-,-,0.90
18,Current Ratio,1.81,1.81,2.10,2.38,2.72,2.81,-,-,1.28
19,Return on Equity (ROE),2.42%,4.79%,5.79%,-,-,-,20.15%,-,
20,Return on Assets (ROA),4.25%,0.26%,2.72%,-,-,-,-,-,
21,Return on Capital (ROIC),5.46%,0.32%,3.41%,-,-,-,15.17%,-,
22,Return on Capital Employed (ROCE),2.73%,4.01%,4.35%,5.17%,-,6.63%,-,-,0.83%
23,Earnings Yield,1.14%,1.41%,1.66%,2.11%,1.87%,1.54%,-,-,-
24,FCF Yield,-3.37%,-4.16%,-5.19%,-4.08%,-1.36%,-1.00%,-,-,-
25,Dividend Yield,0.33%,-,-,-,0.38%,-,-,-,-
26,Payout Ratio,37.70%,21.79%,110.98%,4.16%,5.49%,5.66%,3.38%,3.41%,5.40%
27,Buyback Yield / Dilution,-21.46%,-29.26%,-43.34%,-26.92%,3.50%,-,-,-,-
28,Total Shareholder Return,-21.13%,-29.26%,-43.34%,-26.92%,3.88%,-,-,-,-
