,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,507.9,486.33,402.22,822.34,515.06,748.71,349.39,380.01,391.96,410.74,365.84,505.85,479.71,243.24,-,295.83,-,-,-
1,Trading Asset Securities,-,270.29,275.66,370,-,260,-,-,-,30.33,40.28,120.12,0.17,-,-,-,30.75,-,-,-
2,Cash & Short-Term Investments,778.19,778.19,761.99,772.22,822.34,775.06,748.71,349.39,380.01,422.29,451.01,485.95,506.02,479.71,243.24,326.58,326.58,-,-,305.94
3,Cash Growth,-5.37%,0.40%,1.77%,121.02%,116.40%,83.54%,66.01%,-28.10%,-24.90%,-11.97%,85.42%,48.80%,54.94%,-,-,6.75%,-,-,-,-
4,Accounts Receivable,-,532.81,510.69,512.28,468.68,453.6,407.27,395.85,429.89,361.55,270.1,231.98,261.52,239.78,228.83,-,226.03,-,-,-
5,Other Receivables,-,4.47,5.41,5.94,4.54,3.66,3.12,5.3,4.17,3.79,3.7,5.51,4.82,5.28,0.41,-,5.97,-,-,-
6,Receivables,-,537.28,516.1,518.22,473.22,457.26,410.39,401.15,434.05,365.34,273.8,237.49,266.34,245.06,231.74,-,232,-,-,-
7,Inventory,-,243.61,219.42,218.11,209.89,209,197.01,190.76,177.51,180.11,159.76,142.28,142.47,136.82,125.09,-,95.25,-,-,-
8,Prepaid Expenses,-,-,0.04,-,-,-,-,-,-,-,-,-,-,-,3.75,-,3.48,-,-,-
9,Other Current Assets,-,11.27,11.23,15.7,9.16,11.62,11.23,24.55,13.3,13.67,8.39,11.52,9.74,10.14,11.59,-,3.53,-,-,-
10,Total Current Assets,-,1570,1509,1524,1515,1453,1367,965.84,1005,981.42,892.97,877.25,924.57,871.73,615.41,-,660.84,-,-,-
11,"Property, Plant & Equipment",-,354.83,347.56,347.13,343.94,333.97,318,315.71,294.07,245.42,236.74,212.57,198.77,166.43,152.18,-,124.51,-,-,-
12,Long-Term Investments,-,154.56,154.52,154.49,154.43,136.87,136.87,136.84,136.79,121.73,121.73,121.73,121.73,68.58,68.61,-,68.63,-,-,-
13,Goodwill,-,-,-,-,-,-,-,-,-,-,-,0.56,0.56,0.56,0.56,-,0.56,-,-,-
14,Other Intangible Assets,-,17.56,18.83,18.96,20.27,12.49,12.24,12.19,12.76,13.48,14.19,14.21,12.7,10.14,10.51,-,11.11,-,-,-
15,Long-Term Accounts Receivable,-,-,4.08,-,2.26,-,1.85,-,1.98,-,2.42,-,2.68,-,2.13,-,1.69,-,-,-
