,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,4872,3882,3492,3335,3563,4737,5097,5715,5766,6137,5395,4876,3902,6646,5952,-,-,-,-,-,-
1,Market Cap Growth,-18.05%,-18.05%,-31.49%,-41.65%,-38.21%,-22.81%,-5.53%,17.19%,47.76%,-7.65%,-9.36%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4561,3571,3195,3024,3238,4412,4793,5376,5426,5724,4956,4405,3439,6183,5726,-,-,-,-,-,-
3,Last Close Price,51.37,40.67,36.40,34.76,36.84,48.99,52.76,59.43,59.68,63.52,55.84,50.47,40.13,68.35,61.21,-,-,-,-,-,-
4,PE Ratio,151.09,119.04,90.55,65.69,62.59,73.80,64.42,69.56,68.01,71.85,67.08,69.37,51.41,91.03,85.12,-,-,-,-,-,-
5,Forward PE,47.13,43.61,17.37,17.57,21.78,32.41,27.20,27.20,22.89,22.89,22.89,22.89,31.47,59.99,64.33,-,-,-,-,-,-
6,PS Ratio,6.18,4.87,4.63,4.53,5.04,6.84,7.22,8.05,8.23,8.77,8.34,8.55,7.04,13.06,12.29,-,-,-,-,-,-
7,PB Ratio,4.40,3.47,3.12,2.97,3.14,4.19,4.58,5.32,5.49,5.94,5.47,5.11,4.05,6.98,6.73,-,-,-,-,-,-
8,P/TBV Ratio,3.54,3.54,3.19,3.04,3.21,4.29,4.66,5.41,5.61,6.07,5.59,5.24,4.15,7.14,6.87,-,-,-,-,-,-
9,P/FCF Ratio,-,-,251.31,-631.79,-,-1418.56,-58.74,-,-,-,-,-,-,-176.32,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,37.97,51.68,-,69.86,-197.91,-,-19052.60,-,53.88,63.45,46.40,162.56,-,-,-,-,-,-,-
11,EV/Sales Ratio,5.72,4.48,4.24,4.10,4.58,6.37,6.79,7.57,7.75,8.18,7.66,7.72,6.21,12.15,11.83,-,-,-,-,-,-
12,EV/EBITDA Ratio,79.47,60.33,59.98,38.38,39.82,49.69,48.46,58.90,56.60,60.38,54.51,56.28,37.83,72.67,64.35,-,-,-,-,-,-
13,EV/EBIT Ratio,155.45,121.72,136.45,58.76,57.08,66.11,60.37,73.51,67.88,71.34,63.76,67.82,43.87,85.36,75.13,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,229.96,-572.90,-,-1321.11,-55.24,-,-,-,-,-,-,-164.03,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.41,0.41,0.41,0.41,0.40,0.40,0.40,0.41,0.00,0.01,-,0.00,0.01,0.01,0.01,0.02,0.07,0.07,-,-,0.14
16,Debt / EBITDA Ratio,8.04,8.55,5.98,9.41,7.97,14.78,2.48,7.50,0.03,0.07,-,0.05,0.08,0.17,0.09,0.08,0.68,0.57,-,-,2.28
17,Debt / FCF Ratio,-,-,33.20,-86.99,-,-136.44,-5.12,-,-,-,-,-,-,-0.25,-,-,-,-3.91,-,-,-
18,Asset Turnover,-,0.41,0.37,0.28,0.41,0.41,0.39,0.35,0.61,0.60,0.47,0.41,0.55,0.49,-,-,-,-,-,-,
19,Inventory Turnover,-,-,2.65,2.52,1.93,3.07,2.30,2.12,1.63,3.32,2.62,2.71,2.22,3.18,2.09,-,-,-,-,-,-
20,Quick Ratio,-,-,2.45,2.73,2.78,2.80,3.09,3.31,1.86,1.83,1.95,2.20,2.69,2.41,2.86,1.99,-,2.06,-,-,-
21,Current Ratio,-,-,2.93,3.22,3.28,3.27,3.64,3.91,2.40,2.25,2.43,2.71,3.26,2.89,3.44,2.59,-,2.44,-,-,-
