,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,249.32,225.79,177.3,144.38,187.95,203.1,154.05,128.99,203.61,212.64,139.13,128.58,142.98,130.26,128.44,83.54,121.63,113.79,96.94,74.54
1,Other Revenue,-,-12.17,12.17,-,18.17,-6.42,6.42,-,16.15,-11.74,11.74,-,23.82,-5.87,5.87,-,20.26,-10.96,9.66,5.48
2,Revenue,249.32,213.62,189.48,144.38,206.12,196.68,160.47,128.99,219.76,200.9,150.87,128.58,166.81,124.39,134.31,83.54,141.9,102.83,106.59,80.03
3,Revenue Growth (YoY),20.96%,8.61%,18.07%,11.93%,-6.21%,-2.10%,6.37%,0.32%,31.75%,61.51%,12.33%,53.91%,17.56%,20.96%,26.01%,4.40%,-,-,-,-
4,Cost of Revenue,-394.86,153.46,137.94,103.46,160.5,116.58,102.78,74.84,148.48,111.24,102.3,79.01,111.12,68.54,73.66,51.35,90.35,49.39,63.08,47.39
5,Gross Profit,644.18,60.15,51.54,40.92,45.62,80.1,57.7,54.15,71.28,89.66,48.57,49.57,55.69,55.85,60.66,32.2,51.55,53.44,43.52,32.63
6,"Selling, General & Admin",-74.22,28.2,23.65,22.36,25.57,27.92,27.99,23.79,33.75,31.07,20.03,20.64,26.64,23.39,19.04,14.73,21.71,17.61,17.71,14.51
7,Research & Development,-63.87,25.9,21.22,16.76,8.23,15.93,19.92,15.77,18.45,21.07,10.72,12.21,12.85,12.42,9.67,6.43,5.65,11.09,21.35,14.06
8,Other Operating Expenses,776.72,-5.71,1.24,-4.8,6.37,-5,0.65,0.45,2.61,0.95,0.36,0.67,3.79,0.05,-0.46,0.45,10.09,-5.86,-0.16,-0.32
9,Operating Expenses,637.7,47.88,48.24,33.64,45.06,39.78,49.13,36.85,58.07,55.59,33.19,31.99,44.97,34.56,31.84,20.59,37.05,24.9,40.16,28.46
10,Operating Income,6.48,12.27,3.3,7.28,0.56,40.32,8.56,17.29,13.21,34.07,15.37,17.58,10.71,21.29,28.82,11.61,14.5,28.54,3.36,4.17
11,Interest Expense,-11.07,-2.28,-5.32,-5.27,-5.21,-5.19,-1.04,-0,-0.29,-0.3,-0.39,-0.29,-0.48,-0.08,-0.34,-0.53,-0.78,-0.91,-1.1,-1.08
12,Interest & Investment Income,12.87,4.29,3.56,3.22,5.02,1.66,1.39,0.76,1.55,1.96,1.51,1.32,1.84,0.06,0.39,0.51,0.86,97.16,0.7,0.68
13,Earnings From Equity Investments,-,-,-0.06,0.06,-,-,-0.04,0.04,-,-,-,-,-,-,-,-,-,-,-,-
14,Currency Exchange Gain (Loss),-,-0.35,0.35,-,0.56,-1.13,1.13,-,3.31,-1.68,1.68,-,-1.07,0.48,-0.48,-,-3.52,-0.89,0.39,0.44
15,Other Non Operating Income (Expenses),0.61,-0.14,-0.35,0.2,-2.24,1.22,1.11,-1.13,-6.87,4.83,0.26,0.59,-0.97,0.18,0.55,0.1,0.27,-1.59,-0.15,-0.09
16,EBT Excluding Unusual Items,8.9,13.8,1.48,5.49,-1.31,36.88,11.11,16.96,10.91,38.88,18.44,19.21,10.03,21.94,28.94,11.7,11.33,122.31,3.2,4.12
17,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-0.21,0.06,0.16,-0.05,0.03,-,-,-,-,-,-,-
18,Gain (Loss) on Sale of Assets,0.07,0.15,-0.01,-0.22,-0.06,-0.04,-,0.01,-0.07,0,-0.01,-0.06,-0.02,0,-0,-,-0.14,-,-,-
19,Asset Writedown,-0.42,0.42,0.31,-0.31,10.19,-10.19,3.39,-3.39,6.66,-6.66,4.89,-4.89,2.79,-2.79,0.71,-0.71,5.36,-5.31,-0.05,-0.02
20,Other Unusual Items,-,-2.07,2.01,0.06,6.93,-0.55,0.55,-,1.05,0.02,-0.02,-,8.41,-0.18,0.18,-,9.84,0.23,0.02,-0.12
21,Pretax Income,8.55,12.3,3.8,5.02,15.75,26.1,15.05,13.59,18.34,32.31,23.45,14.21,21.24,18.97,29.83,10.99,26.39,117.24,3.17,3.98
22,Income Tax Expense,2.77,0.7,-6.94,0.53,3.59,2.12,-1.54,2.63,-9.07,5.06,4.03,2,-1.21,2.27,4.66,1.88,7.08,8.75,3.37,2.32
23,Earnings From Continuing Operations,5.77,11.6,10.74,4.49,12.15,23.99,16.59,10.96,27.4,27.25,19.43,12.21,22.45,16.7,25.17,9.11,19.31,108.48,-0.2,1.67
24,Minority Interest in Earnings,0.46,0.05,-0.18,-0.33,0.03,-0.14,0.13,0.46,-0.29,-0.36,-0.07,-0.15,-0.33,0.06,-0.2,0.04,-0.26,1.57,5.39,2.96
