,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,52.3,109.04,164.82,223.86,166.97,235.85,343.87,249.95,171.08,218.21,429.23,483.8,-,92.9,-,61.77,-,-,65.9
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,215,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,51.98,91.58,101,50,100.08,110.03,50.68,144.85,-,-,-,-,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,104.28,200.61,265.82,273.86,267.05,345.87,394.55,394.8,171.08,433.21,429.23,483.8,-,92.9,61.77,61.77,-,65.9,65.9
4,Cash Growth,-60.95%,-42.00%,-32.63%,-30.63%,56.09%,-20.16%,-8.08%,-18.40%,-,366.32%,594.89%,683.22%,-,40.98%,-6.26%,-,-,-,-
5,Accounts Receivable,426.95,347.2,288.47,296.38,309.27,298.15,279.38,327.31,404.71,394.19,428,450.05,-,404.79,-,446.75,-,-,259.93
6,Other Receivables,16.88,15.42,21.17,14.83,23.9,22.16,23.07,21.02,29.55,25.52,26.35,29.24,-,8.31,-,6.16,-,-,3.47
7,Receivables,443.83,362.62,309.64,311.21,333.18,320.3,302.45,348.32,434.26,419.72,454.35,479.28,-,413.1,-,452.92,-,-,263.4
8,Inventory,154.76,133.31,124.86,142.03,186.07,173.53,198.98,220.94,228.3,238.75,203.66,225.66,-,150.05,-,112.23,-,-,78.4
9,Other Current Assets,24.83,16.98,16.44,9.92,12.16,12.9,22.21,9.35,263.62,5.72,9.92,6.88,-,21.64,-,19.79,-,-,16.57
10,Total Current Assets,727.69,713.52,716.76,737.02,798.46,852.61,918.19,973.41,1097,1097,1097,1196,-,677.7,-,646.71,-,-,424.26
11,"Property, Plant & Equipment",808.68,794.68,773.14,750,645.98,614.11,575.44,570.48,512.02,511.15,506.62,509.53,-,432.02,-,417.17,-,-,391.87
12,Goodwill,1.62,1.65,1.64,1.64,1.66,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,114.21,114.49,114.93,115.97,116.79,73.25,73.52,66.66,67.1,67.54,67.26,65.29,-,70.71,-,70.89,-,-,7.77
14,Long-Term Deferred Tax Assets,13.07,12.21,11.47,12.37,9.08,8.64,8.87,9.31,11.1,11.13,11.16,10.77,-,8.23,-,6.99,-,-,2.88
15,Long-Term Deferred Charges,15.8,15.65,13.73,12.09,8.59,6.2,5.39,5.94,6.21,7.06,6.07,5.2,-,7.64,-,8.17,-,-,10.77
16,Other Long-Term Assets,64.89,41.13,23.97,15.29,57.47,77.25,40.19,25.87,19.57,13.96,9.2,20.78,-,18.63,-,12.3,-,-,9.78
17,Total Assets,1746,1693,1656,1644,1638,1632,1622,1652,1713,1708,1697,1807,-,1215,-,1162,-,-,847.33
18,Accounts Payable,272.39,239.6,198.14,185.02,176.65,143.81,147.8,180.79,204.97,208.09,178.84,230.09,-,153.53,-,182.14,-,-,101.14
19,Accrued Expenses,12.99,16.75,11.84,18.55,14.29,18.67,11.57,20.45,13.29,17.65,10.4,22.8,-,19.17,-,20.88,-,-,22.81
20,Short-Term Debt,32.52,-,-,-,-,12.01,12.01,12.01,62.17,96.81,171.68,239.83,-,210.69,-,175.06,-,-,128.94
21,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,2.42,-,2.87,8.04,-,17.97,-,6.28,-,-,-
22,Current Portion of Leases,2.88,2.59,3.25,3.29,2.01,2.26,1.95,2.97,-,2.73,-,4.15,-,1.95,-,-,-,-,-
23,Current Income Taxes Payable,13.77,2.39,39.53,4.26,38.05,6.78,43.11,11.1,52.13,15.13,51.65,15.42,-,11.66,-,12.57,-,-,9.71
24,Current Unearned Revenue,0.49,0.41,0.68,0.54,0.34,1.23,1.46,0.98,0.43,0.19,0.15,0.51,-,0.08,-,0.23,-,-,-
25,Other Current Liabilities,0.64,29.35,1.35,31.58,1.89,31.14,1.94,30.75,2.56,31.19,1.8,30.04,-,59.93,-,93.69,-,-,102.87
26,Total Current Liabilities,335.69,291.09,254.79,243.26,233.24,215.9,219.84,259.06,337.98,371.8,417.41,550.88,-,475,-,490.85,-,-,365.46
27,Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,28,-,41.15,-,53.95,-,-,-
28,Long-Term Leases,3.02,2.97,3.48,3.16,0.95,1.88,2.06,0.79,0.21,0.64,1.32,2,-,2.15,-,-,-,-,-
29,Long-Term Unearned Revenue,62.25,64.5,66.72,68.87,71.01,73.54,75.68,77.5,79.16,80.31,81.44,82.5,-,84.72,-,86.6,-,-,70
30,Long-Term Deferred Tax Liabilities,3.01,3.13,3.76,3.38,1.93,0.01,0.01,0.76,-,-,-,-,-,-,-,-,-,-,-
31,Total Liabilities,403.97,361.69,328.75,318.66,307.12,291.34,297.59,338.11,417.35,452.74,500.17,663.38,-,603.02,-,631.41,-,-,435.46
32,Common Stock,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,-,360,-,360,-,-,360
33,Additional Paid-In Capital,442.55,440.84,439.14,437.43,435.04,433.51,430.61,429.61,427.51,426.81,426.12,425.44,-,29.71,-,28.34,-,-,26.77
34,Retained Earnings,500.57,493.09,489.23,489.06,496.6,507.22,493.44,483.97,468.43,428.72,371.25,318.42,-,222.27,-,142.54,-,-,25.13
35,Comprehensive Income & Other,-1.13,-2.3,-1.49,-0.77,-0.75,-0.02,-0.04,-0.04,-0.03,-0.05,-0.07,-0.07,-,-0.07,-,-0.06,-,-,-0.03
36,Shareholders' Equity,1342,1332,1327,1326,1331,1341,1324,1314,1296,1255,1197,1144,-,611.91,530.82,530.82,-,411.86,411.86
37,Total Liabilities & Equity,1746,1693,1656,1644,1638,1632,1622,1652,1713,1708,1697,1807,-,1215,-,1162,-,-,847.33
38,Total Debt,38.42,5.56,6.73,6.45,2.96,16.15,16.02,15.77,64.8,100.18,175.88,282.02,-,273.92,235.29,235.29,-,128.94,128.94
39,Net Cash (Debt),65.86,195.05,259.09,267.41,264.09,329.73,378.54,379.03,106.28,333.03,253.35,201.78,-,-181.02,-173.52,-173.52,-,-63.05,-63.05
40,Net Cash Growth,-75.06%,-40.84%,-31.56%,-29.45%,148.49%,-0.99%,49.41%,87.85%,-,-,-,-,-,-,-,-,-,-,-
