,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q1 2020,Q4 2019
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,5588,6352,6256,5552,7236,6580,7012,7660,6580,6836,8380,8396,11796,-,-,-,-,-,-,-
1,Market Cap Growth,-3.47%,-3.47%,-10.78%,-27.52%,9.97%,-3.74%,-16.32%,-8.77%,-44.22%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,5522,6157,5997,5288,6972,6250,6634,7554,6474,6503,8127,8577,11977,-,-,-,-,-,-,-
3,Last Close Price,13.97,15.88,15.61,13.86,18.06,16.42,17.45,19.06,16.38,17.01,20.80,20.84,29.28,-,-,-,-,-,-,-
4,PE Ratio,400.10,454.80,394.21,351.57,-,136.41,71.14,53.85,35.45,32.57,40.59,44.37,67.07,-,-,-,-,-,-,-
5,PS Ratio,5.92,6.19,6.62,6.28,8.28,7.31,7.08,7.17,5.54,5.34,6.26,6.33,8.86,-,-,-,-,-,-,-
6,PB Ratio,4.16,4.73,4.70,4.18,5.46,4.94,5.23,5.79,5.01,5.28,6.67,7.01,10.31,-,-,-,-,-,-,-
7,P/TBV Ratio,5.18,5.18,5.15,4.59,5.99,5.43,5.53,6.13,5.28,5.56,7.05,7.43,10.94,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-105.43,-,-,52.61,34.88,62.50,135.52,221.23,-,-,-,-,-,-,-,-
9,P/OCF Ratio,85.21,-,50.81,35.30,47.17,30.88,25.52,25.48,19.64,32.03,46.86,47.31,121.35,-,-,-,-,-,-,-
10,EV/Sales Ratio,5.38,6.00,6.35,5.98,7.98,6.94,6.70,7.07,5.45,5.08,6.07,6.46,9.00,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,106.74,128.54,131.92,131.99,-,74.31,56.75,46.99,31.77,25.00,29.62,31.71,46.56,-,-,-,-,-,-,-
12,EV/EBIT Ratio,-,-7278.25,-6893.45,-,-,140.98,85.12,61.04,38.62,28.94,33.82,36.28,53.36,-,-,-,-,-,-,-
13,EV/FCF Ratio,-31.26,-,-,-,-101.58,-,-,51.88,34.32,59.45,131.42,226.00,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.03,0.03,0.00,0.01,0.00,0.00,0.01,0.01,0.01,0.05,0.08,0.15,0.25,-,0.45,0.44,0.44,-,0.31,0.31
15,Debt / EBITDA Ratio,0.74,0.27,0.06,0.86,-,0.02,0.22,0.16,0.24,0.25,0.41,0.65,0.97,-,1.23,1.08,1.16,-,3.38,1.32
16,Debt / FCF Ratio,-,-,-,-,-0.09,-,-,0.11,0.08,0.59,1.62,4.63,-,-,-387.33,-,-,-,-,-
17,Asset Turnover,0.75,0.65,0.50,0.55,0.58,0.52,0.48,0.60,0.77,0.68,0.73,-,-,-,-,-,-,-,-,
