,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Operating Revenue,338.95,254.53,208.02,190.04,260.85,190.21,197.16,224.43,347.14,271.11,317.74,343.06,412.17,253.95,322.26,295.89,336.54,144.31,176.75
1,Other Revenue,-17.98,17.98,-,35.18,-21.8,21.8,-,28.13,-19.14,19.14,-,-,-23.66,23.66,-,46.58,-21.04,-,31.56
2,Revenue,320.97,272.51,208.02,225.22,239.05,212.01,197.16,252.56,328,290.25,317.74,343.06,388.51,277.61,322.26,342.47,315.5,144.31,208.31
3,Revenue Growth (YoY),34.27%,28.54%,5.51%,-10.82%,-27.12%,-26.96%,-37.95%,-26.38%,-15.57%,4.55%,-1.40%,0.17%,23.14%,92.37%,54.70%,-,-,-,-
4,Cost of Revenue,259.71,219.46,180.06,206.81,173.48,169.04,149.16,204.84,233.3,209.27,223.41,229.02,274.36,213.09,237.7,182.13,300.19,139.27,109.84
5,Gross Profit,61.26,53.05,27.96,18.41,65.57,42.97,47.99,47.71,94.7,80.98,94.34,114.04,114.15,64.52,84.56,160.34,15.31,5.04,98.47
6,"Selling, General & Admin",24.64,22.32,21.28,21.18,24.01,19.35,21.65,22.13,20.28,17.72,18.89,24.81,26.36,14.13,18.35,61.69,-8.24,-,49.53
7,Research & Development,22.05,18.38,16.33,12.14,19.16,14.18,17.16,4.93,17.55,17.82,19.47,21.1,12.81,10.1,14.2,38.92,-15.61,-,29.67
8,Other Operating Expenses,-12.71,2.56,1.52,1.59,-1.09,-0.42,-0.78,13.6,-0.76,-4.24,-1.34,8.2,-0.64,-0.17,0.96,5.97,-2.5,-,3.79
9,Operating Expenses,38.25,45.03,37.92,40.33,42.58,38.64,32.82,45.87,38.11,30.83,35.31,55.06,42.02,18.28,37.44,116.84,-32.34,-,78.63
10,Operating Income,23.01,8.02,-9.96,-21.92,22.99,4.33,15.17,1.84,56.59,50.15,59.03,58.98,72.14,46.24,47.12,43.5,47.65,5.04,19.84
11,Interest Expense,-0.05,-0.25,-0.03,-0.14,-,-0.3,-0.29,-,-0.24,-1.24,-0.52,-1.91,-1.25,-1.75,-1.94,-6.11,-0.23,-,-2.39
12,Interest & Investment Income,2.17,2.33,2.01,1.46,1.33,1.4,2.13,2.68,5.96,1.5,1.12,0.62,0.08,0.09,0.15,0.49,2.25,-,0.33
13,Currency Exchange Gain (Loss),-4.35,4.35,-,7.67,-10.33,10.33,-,31.94,-19.71,19.71,-,4.6,-3.98,3.98,-,-11.89,1.27,-,3.5
14,Other Non Operating Income (Expenses),2.25,-1.26,1.19,-9.78,8,6.25,-6.3,-34.18,34.31,-4.95,4.7,-3.56,3.77,-3.88,3.68,-0.21,0.09,-0.13,2.03
15,EBT Excluding Unusual Items,23.04,13.18,-6.78,-22.71,21.99,22.01,10.71,2.28,76.9,65.17,64.33,58.72,70.76,44.69,49.02,25.78,51.03,4.92,23.31
16,Gain (Loss) on Sale of Assets,0,-,0.01,1.71,-0.03,-,-,1,-,-,-,0.03,0.14,-0.14,-,0.03,0.01,-,0
17,Asset Writedown,-2.65,-0.03,0.03,7.25,-9.31,-1.42,-0.33,4.63,-7.19,2.86,-2.86,-18.92,-5.95,3.09,-3.09,-0.04,0.04,-,-2.11
18,Other Unusual Items,-12.08,3.08,8.99,6.41,-,-,-,14.47,-,-,-,8.04,-,-,-,15.9,-3.93,-,1.08
19,Pretax Income,8.31,16.23,2.25,-7.33,12.65,20.59,10.38,22.38,69.71,68.03,61.46,47.88,64.94,47.65,45.93,41.66,47.14,4.92,22.29
20,Income Tax Expense,0.83,2.37,2.08,0.21,3.27,6.81,0.91,6.77,10,10.57,8.63,8.03,8.64,7.39,6.46,3.91,6.7,1.59,3.97
21,Net Income,7.48,13.86,0.17,-7.54,9.38,13.78,9.47,15.61,59.71,57.46,52.84,39.85,56.3,40.26,39.47,37.75,40.45,3.33,18.32
22,Net Income to Common,7.48,13.86,0.17,-7.54,9.38,13.78,9.47,15.61,59.71,57.46,52.84,39.85,56.3,40.26,39.47,37.75,40.45,3.33,18.32
23,Net Income Growth,-20.29%,0.56%,-98.16%,-,-84.29%,-76.02%,-82.08%,-60.83%,6.07%,42.73%,33.87%,5.57%,39.19%,1108.58%,115.42%,-,-,-,-
24,Shares Outstanding (Basic),589,266,435,449,449,375,399,428,398,381,406,386,355,366,359,360,360,-,360
25,Shares Outstanding (Diluted),589,266,435,449,449,375,399,428,398,381,406,386,355,366,359,360,360,-,360
26,Shares Change (YoY),31.28%,-29.13%,9.03%,4.88%,12.64%,-1.58%,-1.73%,11.02%,12.09%,4.21%,13.27%,7.08%,-1.30%,-,-0.33%,-,-,-,-
27,EPS (Basic),0.01,0.05,0.00,-0.02,0.02,0.04,0.02,0.04,0.15,0.15,0.13,0.10,0.16,0.11,0.11,0.10,0.11,-,0.05
28,EPS (Diluted),0.01,0.05,0.00,-0.02,0.02,0.04,0.02,0.04,0.15,0.15,0.13,0.10,0.16,0.11,0.11,0.10,0.11,-,0.05
29,EPS Growth,-39.28%,41.91%,-98.31%,-,-86.05%,-75.64%,-81.77%,-64.72%,-5.37%,36.96%,18.18%,-1.42%,41.02%,-,116.14%,-,-,-,-
30,Free Cash Flow,-111.99,-58.25,-10.17,3.76,-22.7,-51.74,2.04,22.15,43.71,77.7,45.08,-57.1,-3.84,53.81,-54.52,-,-,-,-
31,Free Cash Flow Per Share,-0.19,-0.22,-0.02,0.01,-0.05,-0.14,0.01,0.05,0.11,0.20,0.11,-0.15,-0.01,0.15,-0.15,-,-,-,-
32,Dividend Per Share,-,-,-,0.025,-,-,-,0.050,-,-,-,0.050,-,-,-,-,-,-,-
33,Dividend Growth,-,-,-,-50.00%,-,-,-,0%,-,-,-,-,-,-,-,-,-,-,-
34,Gross Margin,19.09%,19.47%,13.44%,8.17%,27.43%,20.27%,24.34%,18.89%,28.87%,27.90%,29.69%,33.24%,29.38%,23.24%,26.24%,46.82%,4.85%,3.50%,47.27%
35,Operating Margin,7.17%,2.94%,-4.79%,-9.73%,9.62%,2.04%,7.69%,0.73%,17.25%,17.28%,18.58%,17.19%,18.57%,16.66%,14.62%,12.70%,15.10%,3.50%,9.52%
36,Profit Margin,2.33%,5.08%,0.08%,-3.35%,3.92%,6.50%,4.80%,6.18%,18.21%,19.80%,16.63%,11.62%,14.49%,14.50%,12.25%,11.02%,12.82%,2.31%,8.80%
37,Free Cash Flow Margin,-34.89%,-21.37%,-4.89%,1.67%,-9.50%,-24.40%,1.04%,8.77%,13.33%,26.77%,14.19%,-16.65%,-0.99%,19.38%,-16.92%,-,-,-,-
38,EBITDA,34.93,21,1.96,-10,32.49,15.6,24.67,11.35,65.28,59.45,67.72,67.67,79.56,55.5,54.54,50.9,52.15,9.55,24.35
39,EBITDA Margin,10.88%,7.71%,0.94%,-4.44%,13.59%,7.36%,12.51%,4.49%,19.90%,20.48%,21.31%,19.72%,20.48%,19.99%,16.92%,14.86%,16.53%,6.62%,11.69%
40,D&A For EBITDA,11.92,12.99,11.92,11.92,9.5,11.27,9.5,9.5,8.69,9.3,8.69,8.69,7.42,9.26,7.42,7.4,4.51,4.51,4.51
41,EBIT,23.01,8.02,-9.96,-21.92,22.99,4.33,15.17,1.84,56.59,50.15,59.03,58.98,72.14,46.24,47.12,43.5,47.65,5.04,19.84
42,EBIT Margin,7.17%,2.94%,-4.79%,-9.73%,9.62%,2.04%,7.69%,0.73%,17.25%,17.28%,18.58%,17.19%,18.57%,16.66%,14.62%,12.70%,15.10%,3.50%,9.52%
43,Effective Tax Rate,10.04%,14.62%,92.27%,-,25.84%,33.09%,8.79%,30.25%,14.34%,15.54%,14.04%,16.76%,13.31%,15.50%,14.06%,9.40%,14.20%,32.27%,17.80%
44,Revenue as Reported,320.97,272.51,208.02,225.22,239.05,212.01,197.16,252.56,328,290.25,317.74,343.06,388.51,277.61,322.26,-,-,-,-
