,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+19 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+19 Quarters
0,Cash & Equivalents,729.77,569.31,573.61,-,-,291.85,217.87,326.59,167.59,150.01,154.97,284.51,142.25,130.15,164.69,213.38,99.09,92.74,137.37,175.72,Upgrade
1,Cash & Short-Term Investments,729.77,569.31,573.61,-,-,291.85,217.87,326.59,167.59,150.01,154.97,284.51,142.25,130.15,164.69,213.38,99.09,92.74,137.37,175.72,Upgrade
2,Cash Growth,-,95.07%,163.28%,-,-,94.55%,40.59%,14.79%,17.81%,15.26%,-5.90%,33.33%,43.57%,40.35%,19.88%,21.43%,17.09%,-9.42%,12.51%,37.12%,Upgrade
3,Accounts Receivable,2864,2556,2020,-,-,1331,1012,1023,898.24,837.89,826.43,888.47,840.16,823.86,796.81,850.45,823.8,800.59,736.15,778.47,Upgrade
4,Other Receivables,28,37.37,27.42,-,-,32.14,30.08,32.86,35.69,37.85,36.4,30.71,28.48,33.08,24.22,30.66,34.51,31.99,35.94,32.91,Upgrade
5,Receivables,2892,2593,2048,-,-,1363,1042,1056,933.93,875.74,862.84,919.18,868.64,856.94,821.03,881.11,858.3,832.58,772.09,811.38,Upgrade
6,Inventory,94.11,100.51,46.4,-,-,12.7,34.62,16.06,29.55,13.88,12.54,16.42,21.32,19.44,20.44,23.2,24.5,18.6,17.59,53.1,Upgrade
7,Prepaid Expenses,-,0.05,-,-,-,0.05,-,0.05,-,0.09,-,0.09,-,0.12,-,0.12,-,0.12,-,-,Upgrade
8,Other Current Assets,34.93,16.35,28.23,-,-,6.71,12.09,7.72,11.55,10.19,10.76,6.42,9.22,7.44,6.7,4.98,14.98,13.6,10.62,6.34,Upgrade
9,Total Current Assets,3751,3280,2696,-,-,1674,1307,1407,1143,1050,1041,1227,1041,1014,1013,1123,996.86,957.63,937.68,1047,Upgrade
10,"Property, Plant & Equipment",108.03,86.41,113.85,-,-,120.14,122.07,117.91,121.47,114.29,117.09,121.8,122.98,125.78,121.65,115.47,117.14,120.23,122.71,125.89,Upgrade
11,Long-Term Investments,5.54,5.54,5.54,-,-,5.54,4.67,4.6,4.54,4.36,11.11,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,Upgrade
12,Goodwill,118.73,118.73,118.73,-,-,118.73,118.73,118.73,118.73,109.99,109.99,109.99,109.99,109.99,109.99,109.99,109.99,109.99,109.99,109.99,Upgrade
13,Other Intangible Assets,37.34,61.86,38.64,-,-,38.89,37.38,38.35,37.02,37.73,38.68,39.56,39.96,20.77,25.05,25.45,25.76,25.75,25.86,25.9,Upgrade
14,Long-Term Deferred Tax Assets,81.69,81.34,79,-,-,68.06,64.52,67.11,60.83,62.65,59.82,59.75,56.05,54.61,51.15,50.62,42.43,42.8,40.58,41.23,Upgrade
15,Long-Term Deferred Charges,10.73,11.72,12.19,-,-,14.16,14.72,15.35,14.56,14.99,14.29,15.32,15.12,15.62,16.07,17.81,18.85,20.06,22.08,24.55,Upgrade
16,Other Long-Term Assets,51.08,51.66,51.64,-,-,52.36,50,50.62,51.23,51.85,56.74,53.08,53.7,53.11,49.8,50.38,50.96,51.54,51.86,52.44,Upgrade
17,Total Assets,4164,3697,3115,-,-,2092,1719,1819,1551,1446,1449,1630,1443,1398,1390,1496,1366,1332,1314,1430,Upgrade
18,Accounts Payable,2600,2201,1617,-,-,708.72,385.57,392.64,198.8,132.11,127.58,184.39,113.72,106.27,106.05,159,108.28,108.35,89.6,138.15,Upgrade
19,Accrued Expenses,47.07,43.02,36.9,-,-,51.22,25.28,94.03,25.64,25.26,18.61,75.47,25.92,22.62,20.26,79.64,22.74,22.98,19.37,65.41,Upgrade
20,Short-Term Debt,-,-,1.71,-,-,26.46,43.04,84.7,116.5,133.33,173.64,168.62,113.87,90.71,55.33,71.84,81.71,75.88,61.57,67.98,Upgrade
21,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,13.32,8.55,13.62,77,63.57,57.15,-,-,-,-,0.13,0.13,Upgrade
22,Current Portion of Leases,7.35,7.09,7.27,-,-,6.06,6.45,3.74,-,3.62,-,5.01,-,5.2,-,-,-,-,-,-,Upgrade
23,Current Income Taxes Payable,16.87,5.97,21.76,-,-,5.42,13.57,9.82,9.57,3.42,10.95,9.26,6.43,2.39,10.23,7.04,7.98,3.32,9.85,13.45,Upgrade
24,Current Unearned Revenue,84.86,79.32,86.18,-,-,74.83,65.66,69.68,70.78,50.65,54.92,54.67,57.01,49.9,61.64,48.36,42.8,35.74,38.68,1.47,Upgrade
25,Other Current Liabilities,218.26,204.62,185.99,-,-,141.27,104.67,100.91,89.05,80.41,76.94,77.13,68.75,69.16,56.66,96.89,87.67,88.71,90.3,131.09,Upgrade
26,Total Current Liabilities,2974,2541,1957,-,-,1014,644.23,755.51,523.67,437.35,476.26,651.56,449.26,403.4,310.17,462.76,351.18,334.97,309.52,417.69,Upgrade
27,Long-Term Debt,-,-,-,-,-,-,-,-,-,3.8,3.8,7.6,42.34,47.42,132.03,136.81,149.25,153.11,165.65,169.46,Upgrade
28,Long-Term Leases,7.79,8.88,11.05,-,-,10.93,12.8,8.92,9.26,5.12,5.59,1.63,2.07,2.06,8.39,-,-,-,-,-,Upgrade
29,Long-Term Deferred Tax Liabilities,6,6.24,6.61,-,-,3.21,3.22,6.11,3.03,3.06,3.1,3.13,3.15,3.18,3.21,3.24,3.27,3.3,3.33,3.37,Upgrade
30,Other Long-Term Liabilities,2.52,4.52,2.52,-,-,2.52,2.52,2.52,2.52,4.9,2.96,3.19,2.52,4.04,-,-,-,-,-,-,Upgrade
31,Total Liabilities,2990,2561,1977,-,-,1031,662.78,773.06,538.48,454.24,491.71,667.1,499.35,460.09,453.8,602.81,503.7,491.38,478.49,590.52,Upgrade
32,Common Stock,260.67,260.67,260.67,-,-,260.67,200.52,200.52,200.52,200.52,200.52,200.52,200.52,200.52,143.23,143.23,143.24,143.24,143.32,143.32,Upgrade
33,Additional Paid-In Capital,125.48,124.48,123.48,-,-,119.24,178.4,177.4,176.4,175.4,173.12,172.12,171.12,170.13,226.24,234.1,234.12,233.25,233.05,232.17,Upgrade
34,Retained Earnings,644.84,615.52,624.69,-,-,556.97,555.4,548.45,517.91,502.09,506.26,500.21,483.63,479.14,479.53,469.23,457.35,438.65,425.31,429.07,Upgrade
35,Treasury Stock,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-18.01,-18.01,-18.9,-18.9,Upgrade
36,Comprehensive Income & Other,11.17,10.53,10,-,-,8.49,8.08,8.17,8.8,7.7,7.39,7.49,7.51,7.39,7.67,7.01,6.27,6.41,6.01,6.82,Upgrade
37,Total Common Equity,1042,1011,1019,-,-,945.37,942.4,934.54,903.62,885.71,887.29,880.34,862.79,857.18,856.66,853.57,822.97,803.54,788.78,792.47,Upgrade
38,Minority Interest,131.82,124.73,119.85,-,-,116.27,113.48,111.68,108.9,105.83,69.82,82.28,80.68,80.31,79.72,39.73,38.92,36.69,47.08,47.14,Upgrade
39,Shareholders' Equity,1174,1136,1139,-,-,1062,1056,1046,1013,991.54,957.11,962.62,943.47,937.49,936.38,893.3,861.89,840.23,835.86,839.61,Upgrade
40,Total Liabilities & Equity,4164,3697,3115,-,-,2092,1719,1819,1551,1446,1449,1630,1443,1398,1390,1496,1366,1332,1314,1430,Upgrade
41,Total Debt,15.14,15.96,20.04,-,-,43.45,62.29,97.35,139.08,154.42,196.65,259.86,221.85,202.53,195.75,208.65,230.97,228.99,227.35,237.58,Upgrade
42,Net Cash (Debt),714.62,553.34,553.57,-,-,248.39,155.58,229.23,28.5,-4.41,-41.68,24.64,-79.6,-72.38,-31.06,4.73,-131.88,-136.26,-89.98,-61.86,Upgrade
43,Net Cash Growth,-,122.77%,255.81%,-,-,-,-,830.20%,-,-,-,420.47%,-,-,-,-,-,-,-,-,Upgrade
