,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+19 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+19 Quarters
0,Market Capitalization,2403,2200,2169,2591,2961,3133,3475,2978,2146,2166,2761,3228,3078,2893,2962,2505,2204,2517,2187,2051,1941,Upgrade
1,Market Cap Growth,-29.78%,-29.78%,-37.58%,-12.98%,38.02%,44.69%,25.85%,-7.76%,-30.29%,-25.16%,-6.77%,28.87%,39.64%,14.97%,35.40%,22.14%,13.59%,27.71%,-0.79%,-26.79%,-26.33%,Upgrade
2,Enterprise Value,1821,1771,1735,2088,2727,3001,3433,2860,2226,2276,2873,3286,3238,3046,3072,2676,2375,2690,2324,2244,2134,Upgrade
3,Last Close Price,9.22,8.44,8.32,9.86,11.27,11.93,13.23,11.29,8.14,8.21,10.47,12.20,11.64,10.94,11.20,9.44,8.30,9.48,8.24,7.72,7.30,Upgrade
4,PE Ratio,24.10,34.73,50.38,57.63,-,52.17,51.96,51.76,37.87,50.72,88.03,89.22,76.14,77.65,57.54,45.43,46.70,39.24,29.49,29.24,26.16,Upgrade
5,Forward PE,-,30.39,30.39,30.39,30.39,30.39,30.39,30.39,30.39,30.39,30.39,30.39,30.39,30.39,30.39,30.39,30.39,30.39,30.39,30.39,30.39,Upgrade
6,PS Ratio,0.36,0.47,0.53,0.77,-,1.18,1.74,2.14,1.70,2.24,3.39,3.97,3.66,3.43,3.44,2.84,2.77,3.33,2.89,2.84,2.55,Upgrade
7,PB Ratio,2.31,1.87,1.91,2.28,-,-,3.27,2.82,2.05,2.14,2.78,3.37,3.20,3.07,3.16,2.68,2.47,2.92,2.60,2.45,2.31,Upgrade
8,P/TBV Ratio,2.48,2.48,2.61,3.01,-,-,4.41,3.79,2.76,2.90,3.74,4.37,4.21,4.06,4.08,3.47,3.07,3.66,3.28,3.14,2.96,Upgrade
9,P/FCF Ratio,6.15,20.05,39.77,-,-,8.99,11.92,-,11.20,22.89,-,-,61.66,51.40,-,-,30.14,39.26,-,-,27.56,Upgrade
10,P/OCF Ratio,5.38,18.13,34.10,-,-,8.56,11.08,-,10.20,19.29,-,-,34.69,29.85,-,-,24.69,32.03,-,-,21.14,Upgrade
11,EV/Sales Ratio,0.27,0.38,0.42,0.62,-,1.13,1.72,2.06,1.77,2.35,3.53,4.04,3.85,3.61,3.57,3.04,2.98,3.56,3.07,3.11,2.80,Upgrade
12,EV/EBITDA Ratio,10.68,15.43,18.47,23.81,-,29.43,33.10,30.98,24.22,28.87,46.92,47.66,42.50,42.26,34.19,27.73,28.19,25.06,20.14,20.24,18.51,Upgrade
13,EV/EBIT Ratio,12.52,17.53,21.62,28.19,-,35.80,40.19,38.72,30.37,37.89,67.58,65.07,56.04,56.71,42.95,34.39,36.21,30.33,23.91,24.15,21.84,Upgrade
14,EV/FCF Ratio,4.66,16.14,31.82,-,-,8.61,11.77,-,11.62,24.05,-,-,64.87,54.11,-,-,32.48,41.96,-,-,30.30,Upgrade
15,Debt / Equity Ratio,0.01,0.01,0.01,0.02,-,-,0.04,0.06,0.09,0.14,0.16,0.21,0.27,0.24,0.22,0.21,0.23,0.27,0.27,0.27,0.28,Upgrade
16,Debt / EBITDA Ratio,0.09,0.07,0.13,0.13,-,-,0.47,0.93,0.59,1.09,3.30,3.00,2.42,3.84,2.69,2.07,2.95,1.79,2.49,4.99,1.46,Upgrade
17,Debt / FCF Ratio,0.04,0.14,0.29,-,-,-,0.15,-,0.51,1.47,-,-,5.21,3.94,-,-,2.85,3.60,-,-,3.37,Upgrade
18,Asset Turnover,1.59,1.79,-,-,-,1.62,0.65,1.47,0.86,0.44,0.42,0.85,0.47,0.46,0.52,0.92,0.55,0.54,0.30,0.83,Upgrade,
19,Inventory Turnover,-,60.16,78.37,-,-,-,117.73,38.66,85.98,48.43,31.93,32.57,47.75,23.17,21.21,25.49,36.20,23.58,26.59,7.80,12.40,Upgrade
20,Quick Ratio,1.22,1.22,1.24,1.34,-,-,1.63,1.96,1.83,2.10,2.35,2.14,1.85,2.25,2.45,3.18,2.37,2.73,2.76,2.94,2.36,Upgrade
21,Current Ratio,1.26,1.26,1.29,1.38,-,-,1.65,2.03,1.86,2.18,2.40,2.19,1.88,2.32,2.51,3.27,2.43,2.84,2.86,3.03,2.51,Upgrade
22,Return on Equity (ROE),12.51%,5.74%,-,-,-,6.11%,3.23%,12.84%,6.87%,1.96%,2.87%,7.54%,2.00%,4.06%,5.62%,6.62%,9.87%,6.59%,1.25%,15.82%,Upgrade,
23,Return on Assets (ROA),2.96%,1.59%,-,-,-,2.04%,1.73%,4.50%,4.56%,0.69%,1.90%,2.78%,1.72%,2.15%,3.29%,2.27%,5.11%,3.45%,1.23%,6.52%,Upgrade,
24,Return on Capital (ROIC),9.94%,4.70%,-,-,-,3.49%,2.71%,6.60%,5.95%,0.86%,2.46%,3.57%,2.12%,2.63%,4.25%,2.96%,6.38%,4.28%,1.58%,8.61%,Upgrade,
25,Return on Capital Employed (ROCE),12.21%,8.49%,6.94%,6.39%,-,-,7.92%,6.87%,6.89%,5.85%,4.22%,5.19%,5.91%,5.41%,7.19%,7.20%,6.35%,8.74%,9.75%,9.25%,9.65%,Upgrade
26,Earnings Yield,4.15%,2.88%,1.98%,1.74%,-,1.92%,1.92%,1.93%,2.64%,1.97%,1.14%,1.12%,1.31%,1.29%,1.74%,2.20%,2.14%,2.55%,3.39%,3.42%,3.82%,Upgrade
27,FCF Yield,16.26%,4.99%,2.51%,5.64%,-,11.12%,8.39%,6.10%,8.92%,4.37%,1.69%,0.66%,1.62%,1.95%,2.22%,2.85%,3.32%,2.55%,2.84%,3.74%,3.63%,Upgrade
28,Dividend Yield,0.87%,-,-,-,-,-,-,-,0.57%,-,-,-,0.28%,-,-,-,0.44%,-,-,-,-,Upgrade
29,Payout Ratio,20.98%,-,178.42%,-,-,3.21%,90.30%,6.31%,2.83%,9.23%,243.32%,43.01%,14.66%,50.88%,127.57%,22.97%,21.79%,25.42%,84.73%,226.77%,42.35%,Upgrade
30,Buyback Yield / Dilution,-0.09%,-0.15%,-0.06%,0.06%,-,0.04%,0.16%,-0.06%,0.05%,0.12%,-0.05%,-0.09%,3.65%,-1.71%,0.11%,-1.18%,-1.89%,0.45%,3.44%,-0.30%,1.82%,Upgrade
31,Total Shareholder Return,0.78%,-0.15%,-0.06%,0.06%,-,0.04%,0.16%,-0.06%,0.62%,0.12%,-0.05%,-0.09%,3.93%,-1.71%,0.11%,-1.18%,-1.45%,0.45%,3.44%,-0.30%,1.82%,Upgrade
