,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,9658,5972,6081,8304,9305,9862,13740,-,-,-,-,-
1,Market Cap Growth,-39.45%,-39.45%,-55.74%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,8866,4992,4539,6084,7085,7597,13582,-,-,-,-,-
3,Last Close Price,67.38,41.66,42.14,56.87,63.72,67.54,94.10,-,-,-,-,-
4,PE Ratio,62.33,-,23.89,25.05,27.26,31.00,48.82,-,-,-,-,-
5,PS Ratio,7.63,4.72,7.61,10.04,11.70,13.66,21.49,-,-,-,-,-
6,PB Ratio,3.21,2.05,2.06,2.76,3.11,3.39,4.88,-,-,-,-,-
7,P/TBV Ratio,2.15,2.15,2.16,2.89,3.17,3.40,4.90,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-,-,241.46,-,-,-,-,-
9,P/OCF Ratio,-,-,-,-,-,-,129.61,-,-,-,-,-
10,EV/Sales Ratio,7.02,3.95,5.68,7.35,8.91,10.53,21.24,-,-,-,-,-
11,EV/EBITDA Ratio,72.16,-,19.83,19.02,20.20,21.49,42.62,-,-,-,-,-
12,EV/EBIT Ratio,90.29,-,20.93,19.55,20.64,21.88,43.40,-,-,-,-,-
13,EV/FCF Ratio,-10.09,-,-,-,-,-,238.68,-,-,-,-,-
14,Debt / Equity Ratio,0.34,0.34,0.29,0.12,0.05,0.01,0.02,0.04,0.04,-,-,0.06
15,Debt / EBITDA Ratio,7.99,-,11.19,1.90,0.42,0.10,0.11,0.07,0.07,-,-,0.14
16,Debt / FCF Ratio,-,-,-,-,-,-,0.76,0.36,0.51,-,-,-
17,Asset Turnover,0.59,0.16,0.19,0.26,0.25,0.35,0.57,-,-,-,-,
18,Inventory Turnover,2.20,3.30,0.41,0.67,0.96,1.13,1.02,0.92,-,-,-,-
19,Quick Ratio,1.88,1.88,1.71,3.53,4.18,5.85,5.50,1.53,1.46,-,-,-
20,Current Ratio,2.31,2.31,2.42,4.29,4.92,6.34,5.98,2.05,1.91,-,-,-
21,Return on Equity (ROE),-0.98%,0.99%,6.72%,11.36%,12.87%,21.67%,46.91%,-,-,-,-,
22,Return on Assets (ROA),-1.15%,0.10%,3.05%,4.99%,7.13%,10.75%,18.52%,-,-,-,-,
23,Return on Capital (ROIC),-1.38%,0.11%,3.55%,5.89%,8.38%,13.75%,32.56%,-,-,-,-,
24,Return on Capital Employed (ROCE),3.23%,-,7.03%,10.09%,11.22%,11.81%,10.99%,44.07%,41.53%,-,-,-
25,Earnings Yield,1.60%,2.59%,4.19%,3.99%,3.67%,3.23%,2.05%,-,-,-,-,-
26,FCF Yield,-9.10%,-14.71%,-14.75%,-5.50%,-2.01%,-0.20%,0.41%,-,-,-,-,-
27,Dividend Yield,0.62%,-,1.49%,-,0.65%,-,-,-,-,-,-,-
28,Payout Ratio,65.63%,-,418.38%,10.52%,2.20%,-,-,-,-,-,-,-
29,Buyback Yield / Dilution,-19.70%,1.96%,-19.87%,-33.24%,-33.83%,-30.23%,-14.06%,1.39%,-,-,-,-
30,Total Shareholder Return,-19.07%,1.96%,-18.38%,-33.24%,-33.18%,-30.23%,-14.06%,1.39%,-,-,-,-
