,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,865.31,1114,792.64,766.17,1094,737.31,71.01,70.88,-,-,-
1,Trading Asset Securities,891.1,707.66,1107,1266,1171,1574,110.37,110.32,-,-,-
2,Cash & Short-Term Investments,1756,1821,1900,2033,2265,2312,181.38,181.2,-,-,143.71
3,Cash Growth,-22.45%,-21.21%,947.47%,1021.78%,-,-,26.22%,-,-,-,-
4,Accounts Receivable,1231,785.54,756.51,766.37,706.04,621.84,513.38,486.77,-,-,-
5,Other Receivables,25.34,23.35,28.61,21.12,8.59,5.45,3.21,3.19,-,-,-
6,Receivables,1257,808.89,785.12,787.5,714.63,627.29,516.6,489.96,-,-,-
7,Inventory,512.01,909.29,524.84,455.78,238.09,239.86,207.76,185.67,-,-,-
8,Other Current Assets,165.42,175.37,59.12,49.03,14.4,11.63,26.34,21.3,-,-,-
9,Total Current Assets,3690,3715,3269,3325,3232,3190,932.08,878.12,-,-,-
10,"Property, Plant & Equipment",610.08,589.67,303.02,253.61,164.56,144,115.24,115.2,-,-,-
11,Long-Term Investments,18.8,9.05,9,9,5,5,-,-,-,-,-
12,Goodwill,51.32,51.32,51.32,51.32,-,-,-,-,-,-,-
13,Other Intangible Assets,108.36,108.22,104.44,12.79,4.71,4.84,4.23,3.52,-,-,-
14,Long-Term Deferred Tax Assets,59.46,51.05,36.66,33.14,9.64,8.57,6.76,9.44,-,-,-
15,Long-Term Deferred Charges,25.84,18.71,15.52,15.18,4.65,3.07,3.11,3.33,-,-,-
16,Other Long-Term Assets,77.63,76.7,58.8,33.35,28.64,25.45,23.03,15.2,-,-,-
17,Total Assets,4642,4619,3848,3733,3449,3381,1084,1025,-,-,-
18,Accounts Payable,483.23,547.26,210.06,263.07,143.76,150.4,141.9,137.23,-,-,-
19,Accrued Expenses,67.75,67.48,50.45,66.31,31.6,48.41,28.72,46.56,-,-,-
20,Short-Term Debt,845.08,728.61,299.18,74.89,-,-,-,-,-,-,-
21,Current Portion of Long-Term Debt,-,3.51,-,-,-,-,-,-,-,-,-
22,Current Portion of Leases,34.6,28.47,20.32,18.8,11.73,12.08,6.05,5.39,-,-,-
23,Current Income Taxes Payable,-,9.16,36.33,17.51,43.63,14.02,41.12,27.13,-,-,-
24,Current Unearned Revenue,116.75,88.14,86.48,130.6,171.08,208.42,165.9,168.71,-,-,-
25,Other Current Liabilities,51.39,63.91,58.52,104.06,107.8,100.55,71.65,75.07,-,-,-
26,Total Current Liabilities,1599,1537,761.33,675.24,509.6,533.88,455.33,460.09,-,-,-
27,Long-Term Debt,49.49,43.27,4.88,4.66,-,-,-,-,-,-,-
28,Long-Term Leases,53.12,56.87,45.77,44.62,29.08,30.93,15.51,16.91,-,-,-
29,Long-Term Unearned Revenue,2.86,3.23,2.86,1.05,0.66,0.66,0.67,0.67,-,-,-
30,Long-Term Deferred Tax Liabilities,22.15,22.85,20.07,17.17,1.6,0.63,0.06,3.26,-,-,-
31,Other Long-Term Liabilities,1.04,1.04,0.89,0.8,-,0.31,0.31,0.31,-,-,-
32,Total Liabilities,1727,1664,835.81,743.54,540.94,566.41,471.86,481.24,-,-,-
33,Common Stock,143.89,143.89,120,120,120,120,90,90,-,-,-
34,Additional Paid-In Capital,2208,2207,2231,2230,2229,2224,149.12,147.69,-,-,-
35,Retained Earnings,620.1,658.02,702.44,645.75,555.05,463,371.42,304.38,-,-,-
36,Treasury Stock,-39.78,-34.99,-28.79,-,-,-,-,-,-,-,-
37,Comprehensive Income & Other,0.22,-0.04,0.06,0.08,-0.11,3.43,0.01,-,-,-,-
38,Total Common Equity,2933,2974,3025,2996,2904,2811,610.54,542.07,-,-,331.75
39,Minority Interest,-18.04,-18.68,-12.54,-5.99,4.43,4.28,2.04,1.51,-,-,-
40,Shareholders' Equity,2914,2956,3012,2990,2908,2815,612.58,543.58,-,-,331.5
41,Total Liabilities & Equity,4642,4619,3848,3733,3449,3381,1084,1025,-,-,-
42,Total Debt,982.29,860.73,370.15,142.97,40.8,43.01,21.56,22.3,-,-,20.77
43,Net Cash (Debt),774.12,960.5,1530,1890,2224,2269,159.83,158.9,-,-,122.94
44,Net Cash Growth,-65.19%,-57.66%,857.15%,1089.25%,-,-,30.00%,-,-,-,-
45,Net Cash Per Share,5.54,6.64,10.67,13.16,15.61,18.80,1.49,1.48,-,-,1.13
46,Filing Date Shares Outstanding,139.7,143.34,143.46,143.46,144,144,144,108,109.42,105.79,109.13
47,Total Common Shares Outstanding,139.7,143.34,143.46,144,144,144,108,108,109.42,105.79,109.13
48,Working Capital,2092,2178,2508,2650,2722,2656,476.76,418.03,-,-,-
49,Book Value Per Share,20.99,20.75,21.08,20.80,20.17,19.52,5.65,5.02,-,-,3.08
50,Tangible Book Value,2773,2815,2869,2932,2899,2806,606.32,538.55,-,-,329.14
51,Tangible Book Value Per Share,19.85,19.64,20.00,20.36,20.13,19.48,5.61,4.99,-,-,3.05
52,Buildings,-,38.85,-,38.64,-,4.54,-,4.54,-,-,-
53,Machinery,-,159.85,-,119.86,-,71.59,-,56.49,-,-,-
54,Construction In Progress,-,338.68,-,55.52,-,41.76,-,44.12,-,-,-
