,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,682.16,164.64,183.15,230.63,216.02,194.31,150.78,160.2,132.51,114.94,80.47
1,Other Revenue,-2.66,2.66,-,3.29,-1.53,1.53,-,0.36,-0.2,0.2,-
2,Revenue,679.5,167.3,183.15,233.92,214.49,195.84,150.78,160.56,132.31,115.14,80.47
3,Revenue Growth (YoY),216.80%,-14.58%,21.47%,45.69%,62.11%,70.09%,87.38%,-,-,-,-
4,Cost of Revenue,586.27,73.99,81.82,83.18,67.51,57.14,45.29,50.49,42.61,34.27,26.69
5,Gross Profit,93.24,93.3,101.33,150.74,146.99,138.7,105.49,110.07,89.7,80.87,53.78
6,"Selling, General & Admin",50.45,52.86,38.26,43.22,24.9,26.32,13.16,15.98,10.46,10.14,6.78
7,Research & Development,35.86,20.63,18.08,20.12,19.47,12.96,14.06,10.77,10.7,9.42,8.12
8,Other Operating Expenses,-8.09,5.09,-3.81,8.98,0.7,-4.56,-0.99,2.98,0.76,0.65,-0.53
9,Operating Expenses,114.56,91.68,55.12,79.07,49.62,42.65,27.34,34.46,26.54,20.56,18.33
10,Operating Income,-21.32,1.63,46.21,71.68,97.36,96.05,78.15,75.61,63.16,60.31,35.45
11,Interest Expense,-5.73,-5.71,-1.45,-1.26,-0.45,-0.36,-0.26,-0.26,-0.27,-0.25,-0.23
12,Interest & Investment Income,6.06,18.32,6.88,11.34,10.06,4.85,0.8,0.77,0.62,0.59,0.82
13,Currency Exchange Gain (Loss),0.92,-0.92,-,-0.23,0.21,-0.21,-,-0.11,0.46,-0.46,-
14,Other Non Operating Income (Expenses),2.18,-2.24,-0.92,-0.98,0.39,-0.94,-0.11,0.51,-0.4,-0.13,-0.12
15,EBT Excluding Unusual Items,-17.89,11.08,50.72,80.54,107.57,99.39,78.57,76.52,63.58,60.06,35.92
16,Gain (Loss) on Sale of Investments,3.34,-9.33,9.89,-3.03,6.44,3.85,0.05,-0.07,0.13,0.13,0.05
17,Gain (Loss) on Sale of Assets,0.41,-,0,0.14,0.04,-,-,-0,-,-,-
18,Asset Writedown,-1.21,1.1,-1.1,4.37,-4.37,1.2,-1.2,2.39,-2.39,0.41,-0.41
19,Other Unusual Items,-4.06,4.01,-,11.29,-2.44,2.44,-,-0.38,3.61,-3.61,-
20,Pretax Income,-19.41,6.86,59.51,93.31,107.24,106.88,77.42,78.46,64.93,56.98,35.57
21,Income Tax Expense,-12.2,-0.53,9.07,9.57,15.14,14.04,9.63,10.96,8.76,6.01,5.24
22,Earnings From Continuing Operations,-7.21,7.39,50.44,83.73,92.1,92.84,67.79,67.51,56.17,50.97,30.33
23,Minority Interest in Earnings,-0.64,7.26,6.91,6.75,-0.06,-1.26,-0.54,-0.32,-0.73,-0.39,-0.32
24,Net Income,-7.85,14.65,57.35,90.49,92.04,91.58,67.26,67.19,55.44,50.58,30.01
25,Net Income to Common,-7.85,14.65,57.35,90.49,92.04,91.58,67.26,67.19,55.44,50.58,30.01
26,Net Income Growth,-,-84.00%,-14.73%,34.68%,66.02%,81.06%,124.10%,-,-,-,-
27,Shares Outstanding (Basic),140,145,143,144,142,121,108,107,109,106,109
28,Shares Outstanding (Diluted),140,145,143,144,142,121,108,107,109,106,109
29,Shares Change (YoY),-1.96%,19.87%,33.24%,33.83%,30.23%,14.06%,-1.39%,-,-,-,-
30,EPS (Basic),-0.06,0.10,0.40,0.63,0.65,0.76,0.63,0.63,0.51,0.48,0.28
31,EPS (Diluted),-0.06,0.10,0.40,0.63,0.65,0.76,0.63,0.63,0.51,0.48,0.28
32,EPS Growth,-,-86.65%,-36.00%,0.63%,27.48%,58.74%,127.27%,-,-,-,-
33,Free Cash Flow,-25.72,-429.66,-265.21,-157.92,-44.16,10.89,3.73,9.89,32.39,14.66,-13.24
34,Free Cash Flow Per Share,-0.18,-2.97,-1.85,-1.10,-0.31,0.09,0.03,0.09,0.30,0.14,-0.12
35,Dividend Per Share,-,0.210,-,0.417,-,-,-,-,-,-,-
36,Gross Margin,13.72%,55.77%,55.33%,64.44%,68.53%,70.82%,69.96%,68.55%,67.80%,70.23%,66.83%
37,Operating Margin,-3.14%,0.97%,25.23%,30.64%,45.39%,49.05%,51.83%,47.09%,47.74%,52.38%,44.05%
38,Profit Margin,-1.15%,8.76%,31.31%,38.68%,42.91%,46.76%,44.61%,41.85%,41.90%,43.93%,37.30%
39,Free Cash Flow Margin,-3.79%,-256.83%,-144.81%,-67.51%,-20.59%,5.56%,2.47%,6.16%,24.48%,12.73%,-16.46%
40,EBITDA,-18.83,7.23,48.7,74.17,98.78,98.21,79.56,77.02,63.9,61.44,36.19
41,EBITDA Margin,-2.77%,4.32%,26.59%,31.71%,46.05%,50.15%,52.77%,47.97%,48.29%,53.36%,44.97%
42,D&A For EBITDA,2.49,5.6,2.49,2.49,1.41,2.16,1.41,1.41,0.74,1.13,0.74
43,EBIT,-21.32,1.63,46.21,71.68,97.36,96.05,78.15,75.61,63.16,60.31,35.45
44,EBIT Margin,-3.14%,0.97%,25.23%,30.64%,45.39%,49.05%,51.83%,47.09%,47.74%,52.38%,44.05%
45,Effective Tax Rate,-,-,15.24%,10.26%,14.12%,13.14%,12.43%,13.96%,13.49%,10.55%,14.73%
