,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,380,385,510,500,375,550,590,745,810,1595,950
1,Market Cap Growth,-23.00%,-23.00%,36.00%,-9.09%,-36.44%,-26.17%,-27.16%,-53.29%,-14.74%,76.24%,-
2,Enterprise Value,670,519,863,725,809,833,1017,1038,1129,1814,957
3,Last Close Price,0.76,0.77,1.02,1.00,0.75,1.10,1.18,1.49,1.62,3.19,1.90
4,PE Ratio,2.05,2.08,3.13,4.01,3.90,6.94,12.43,32.74,-,48.65,26.47
5,PS Ratio,0.95,0.96,1.30,1.38,1.16,1.86,2.12,3.04,3.86,8.93,5.13
6,PB Ratio,0.40,0.40,0.59,0.64,0.52,0.78,0.87,1.16,1.33,2.81,1.71
7,P/TBV Ratio,0.40,0.40,0.59,0.64,0.52,0.78,0.87,1.16,1.33,2.82,1.72
8,P/FCF Ratio,4.81,-,4.74,-,5.64,-,12.30,-,-16.20,-,-
9,P/OCF Ratio,1.59,-,1.95,-,1.56,-,4.03,-,8.68,-,18.44
10,EV/Sales Ratio,1.67,1.30,2.21,2.00,2.50,2.82,3.66,4.23,5.37,10.15,5.16
11,EV/EBITDA Ratio,2.82,2.21,3.83,3.68,4.94,6.20,10.14,14.13,18.39,35.46,18.83
12,EV/EBIT Ratio,3.52,2.73,4.83,4.68,6.54,8.75,16.58,26.61,36.76,68.57,32.92
13,EV/FCF Ratio,8.48,-,8.02,-,12.17,-,21.21,-,-22.57,-,-
14,Debt / Equity Ratio,0.39,0.39,0.43,0.52,0.63,0.77,0.71,0.81,0.78,0.83,0.85
15,Debt / FCF Ratio,4.71,-,3.48,-,6.82,-,9.97,-,-9.49,-,-
16,Return on Capital Employed (ROCE),15.57%,15.57%,15.21%,13.81%,12.03%,8.69%,5.66%,3.57%,2.89%,2.60%,3.13%
17,Earnings Yield,48.78%,48.14%,31.98%,24.94%,25.63%,14.42%,8.05%,3.05%,2.48%,2.06%,3.78%
18,FCF Yield,20.78%,20.51%,21.10%,15.02%,17.73%,1.40%,8.13%,-5.24%,-6.17%,-19.70%,-36.29%
19,Buyback Yield / Dilution,-,-,-,-,-,-,-,0.02%,-2.40%,-33.36%,
20,Total Shareholder Return,-,-,-,-,-,-,-,0.02%,-2.40%,-33.36%,
