,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,20426,16113,22565,34136,65574,117754,157195,270524,153803,99127,71161
1,Market Cap Growth,-52.80%,-52.80%,-65.59%,-71.01%,-58.29%,-56.47%,2.21%,172.91%,116.13%,105.67%,128.81%
2,Enterprise Value,12287,7060,14660,27143,56769,108825,136444,255712,144403,90264,64176
3,Last Close Price,6.11,4.82,6.34,9.51,17.41,31.31,41.36,74.30,46.30,31.78,23.06
4,PE Ratio,-,-24.25,-,18.38,-,22.36,31.75,64.56,48.21,41.66,38.08
5,Forward PE,6.03,3.90,4.34,5.69,9.20,15.39,21.14,46.08,37.31,37.55,34.05
6,PS Ratio,0.44,0.35,0.48,0.75,1.40,2.69,4.44,10.77,8.30,7.29,6.60
7,PB Ratio,0.52,0.38,0.53,0.77,1.45,2.50,3.34,7.37,8.01,13.32,11.20
8,P/TBV Ratio,1.13,1.13,1.67,2.46,5.04,10.62,15.54,14.64,15.44,19.75,16.88
9,P/FCF Ratio,8.93,7.04,5.22,12.53,21.99,21.96,42.07,71.35,39.20,30.78,20.03
10,P/OCF Ratio,5.57,5.57,4.44,9.98,17.46,19.15,37.58,64.77,35.84,29.74,19.53
11,PEG Ratio,0.54,0.54,0.33,1.05,0.49,0.43,0.51,1.15,0.98,1.26,0.93
12,EV/Sales Ratio,0.27,0.15,0.31,0.60,1.21,2.49,3.85,10.18,7.79,6.63,5.95
13,EV/EBITDA Ratio,3.70,2.18,3.35,3.66,7.21,12.69,17.81,45.45,34.47,29.27,29.10
14,EV/EBIT Ratio,9.30,4.45,-,4.83,9.41,15.61,21.13,51.31,37.46,31.54,31.25
15,EV/FCF Ratio,5.37,3.09,3.39,9.96,19.04,20.29,36.52,67.45,36.80,28.03,18.06
16,Debt / Equity Ratio,0.08,0.08,0.08,0.10,0.11,0.08,0.16,0.19,0.24,0.51,0.01
17,Debt / FCF Ratio,1.55,1.55,0.79,1.69,1.71,0.71,2.08,1.85,1.19,1.17,0.01
18,Return on Capital Employed (ROCE),3.06%,3.38%,-,11.31%,11.84%,13.47%,12.52%,12.60%,19.13%,37.14%,31.42%
19,Earnings Yield,-3.25%,-4.12%,1.43%,5.44%,3.35%,4.47%,3.15%,1.55%,2.07%,2.40%,2.63%
20,FCF Yield,11.20%,14.20%,19.16%,7.98%,4.55%,4.55%,2.38%,1.40%,2.55%,3.25%,4.99%
21,Buyback Yield / Dilution,0.71%,0.89%,0.52%,-0.20%,-3.40%,-10.72%,-14.53%,-11.36%,-4.45%,-1.41%,-6.74%
22,Total Shareholder Return,6.00%,0.89%,0.52%,-0.20%,-3.40%,-10.72%,-14.53%,-11.36%,-4.45%,-1.41%,-6.74%
