,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jan '24 Jan 1, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,180868,196958,172069,173882,181850,209863,207532,193559,185755,225472,192061,189405,194528,259205,217466,294938,250800,279568,262529,277800,Upgrade
1,Revenue Growth (YoY),-0.54%,-6.15%,-17.09%,-10.17%,-2.10%,-6.92%,8.06%,2.19%,-4.51%,-13.01%,-11.68%,-35.78%,-22.44%,-7.28%,-17.17%,6.17%,-11.30%,5.07%,5.38%,4.62%,Upgrade
2,Cost of Revenue,151423,158324,137868,138278,150772,170013,173342,154530,153789,187127,158215,146847,159939,211587,181134,254862,216669,243943,226275,241395,Upgrade
3,Gross Profit,29446,38634,34202,35605,31078,39850,34190,39029,31966,38345,33846,42558,34589,47619,36332,40077,34130,35625,36254,36406,Upgrade
4,"Selling, General & Admin",17938,23490,20790,22185,16451,24663,23325,24629,18286,22533,20979,27322,24718,29621,23130,24351,20979,21617,23048,22721,Upgrade
5,Operating Expenses,17938,23490,20790,22185,16451,24663,23325,24629,18286,22533,20979,27322,24718,29621,23130,24351,20979,21617,23048,22721,Upgrade
6,Operating Income,11508,15144,13412,13420,14627,15187,10865,14400,13680,15812,12867,15236,9872,17998,13202,15725,13151,14008,13206,13685,Upgrade
7,Interest Expense,-,-,-,-105.45,-258.43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
8,Interest & Investment Income,131.77,1619,1368,1188,-,2239,2305,2378,2575,2085,1733,1657,1809,1130,820.63,873.84,970.84,966.88,790.87,788.66,Upgrade
9,Currency Exchange Gain (Loss),1651,-,-,-,1566,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
10,Other Non Operating Income (Expenses),744.84,-284.44,387.29,521.36,45,249.78,251.07,344.51,-770.82,241.52,230.31,202.46,163.46,307.58,98.06,259.16,264.6,303.97,9.17,131.89,Upgrade
11,EBT Excluding Unusual Items,14035,16479,15167,15024,15980,17676,13421,17122,15484,18138,14831,17096,11844,19436,14120,16858,14386,15279,14006,14606,Upgrade
12,Gain (Loss) on Sale of Assets,154.88,-,-,-,789.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
13,Pretax Income,14190,16479,15167,15024,16769,17676,13421,17122,15484,18138,14831,17096,11844,19436,14120,16858,14386,15279,14006,14606,Upgrade
14,Income Tax Expense,3084,3539,3476,3161,3549,3843,2897,3491,3568,3741,3031,3506,2507,3931,2985,3424,3028,3078,2938,3005,Upgrade
15,Net Income,11106,12940,11691,11863,13220,13833,10525,13631,11916,14398,11800,13590,9337,15505,11135,13434,11358,12200,11068,11600,Upgrade
16,Preferred Dividends & Other Adjustments,10586,-,-,-,8828,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
17,Net Income to Common,519.82,12940,11691,11863,4391,13833,10525,13631,11916,14398,11800,13590,9337,15505,11135,13434,11358,12200,11068,11600,Upgrade
