,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,64189,48960,63845,62741,84459,92812,102408,143111,140925,182998,136693,Upgrade
1,Market Cap Growth,-39.73%,-21.97%,-24.41%,-32.40%,-17.53%,-35.15%,-27.33%,-21.80%,3.10%,82.20%,110.43%,Upgrade
2,Enterprise Value,70394,55894,66382,68838,90167,97596,114126,154568,146103,189007,139402,Upgrade
3,Last Close Price,3.53,2.64,3.40,3.32,4.38,4.69,5.10,7.10,6.95,8.97,6.68,Upgrade
4,PE Ratio,28.30,15.10,-,46.13,-,9.84,5.71,11.89,42.82,65.21,44.25,Upgrade
5,Forward PE,19.61,15.71,17.78,14.97,20.62,16.53,12.33,27.10,33.15,48.27,34.76,Upgrade
6,PS Ratio,2.18,2.87,-,4.07,-,2.86,3.11,4.69,5.02,6.85,5.04,Upgrade
7,PB Ratio,1.82,1.08,1.52,1.59,1.97,2.05,2.21,3.83,5.29,4.02,5.94,Upgrade
8,P/TBV Ratio,1.53,1.53,1.96,2.15,2.59,2.79,2.84,5.23,7.22,16.38,8.70,Upgrade
9,P/FCF Ratio,10.39,17.06,-,30.29,-,15.17,22.84,25.31,30.42,80.21,31.53,Upgrade
10,P/OCF Ratio,7.04,14.80,-,21.74,-,11.35,15.55,19.49,22.28,49.45,22.95,Upgrade
11,PEG Ratio,1.36,1.02,1.33,-,-,11.19,0.62,1.27,3.97,2.38,2.10,Upgrade
12,EV/Sales Ratio,2.36,3.28,-,4.46,-,3.01,3.46,5.07,5.20,7.07,5.14,Upgrade
13,EV/EBITDA Ratio,10.31,13.17,-,17.56,-,14.96,17.05,21.83,21.73,27.23,19.86,Upgrade
14,EV/EBIT Ratio,11.97,14.99,-,20.97,-,17.46,20.07,27.66,30.02,34.55,25.16,Upgrade
15,EV/FCF Ratio,11.39,19.48,-,33.23,-,15.95,25.46,27.34,31.54,82.84,32.16,Upgrade
16,Debt / Equity Ratio,0.23,0.23,0.33,0.32,0.37,0.31,0.32,0.44,0.63,0.36,0.42,Upgrade
17,Debt / FCF Ratio,1.68,3.62,-,6.03,-,2.30,3.36,2.90,3.64,7.10,2.22,Upgrade
18,Return on Capital Employed (ROCE),13.12%,7.75%,-,7.84%,-,9.81%,10.25%,10.39%,11.30%,8.62%,16.85%,Upgrade
19,Earnings Yield,6.85%,6.62%,-,2.17%,-,10.16%,17.51%,8.41%,2.34%,1.53%,2.26%,Upgrade
20,FCF Yield,9.63%,5.86%,-,3.30%,-,6.59%,4.38%,3.95%,3.29%,1.25%,3.17%,Upgrade
21,Dividend Yield,1.70%,1.13%,-,0.60%,-,2.08%,1.57%,1.10%,1.05%,0.67%,0.80%,Upgrade
22,Buyback Yield / Dilution,2.25%,0.83%,-,2.92%,-,0.86%,-2.57%,-2.57%,-0.32%,0.43%,-0.50%,Upgrade
23,Total Shareholder Return,3.95%,1.97%,-,3.52%,-,2.94%,-1.00%,-1.47%,0.73%,1.10%,0.30%,Upgrade
