,Fiscal Quarter,Q4 2024,Q3 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+4 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+4 Quarters
0,Revenue,70511,48403,39922,49384,50852,47017,37515,79915,61017,63075,59747,83505,45785,46657,48654,110423,42985,45450,90669,58314,Upgrade
1,Revenue Growth (YoY),38.66%,2.95%,6.42%,-38.20%,-16.66%,-25.46%,-37.21%,-4.30%,33.27%,35.19%,22.80%,-24.38%,6.52%,2.66%,-46.34%,89.36%,-13.91%,-7.22%,16.01%,19.46%,Upgrade
2,Cost of Revenue,61388,42302,32709,34883,42561,38007,31572,66156,51916,54165,52903,70187,39795,40224,41732,95248,36174,38264,74113,48041,Upgrade
3,Gross Profit,9123,6101,7213,14501,8291,9010,5943,13758,9101,8910,6844,13318,5990,6434,6922,15175,6810,7186,16556,10273,Upgrade
4,"Selling, General & Admin",2489,2897,2982,3117,3375,4092,3247,5209,3306,3365,3342,4124,2815,4172,4476,4241,1751,2007,3036,2502,Upgrade
5,Operating Expenses,2489,2897,2982,3117,3375,4092,3247,5209,3306,3365,3342,4124,2815,4172,4476,4241,1751,2007,3036,2502,Upgrade
6,Operating Income,6634,3204,4230,11383,4916,4918,2696,8549,5794,5544,3502,9194,3175,2262,2447,10934,5059,5179,13520,7771,Upgrade
7,Interest Expense,-1064,-893.38,-1068,-1143,-1017,-1634,-1797,-1820,-1294,-1125,-969.07,-972.65,-1060,-930.73,-842.24,-321.77,-225.14,-112.57,-,-,Upgrade
8,Interest & Investment Income,11.39,49.96,59.95,100.77,81.61,407.07,274.85,1492,256.36,308.61,304.69,331.5,-,331.01,309.99,406.86,275.1,268.76,275.89,275.81,Upgrade
9,Currency Exchange Gain (Loss),-17.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
10,Other Non Operating Income (Expenses),980.32,681.07,912.06,482.53,-8.09,997.69,1577,494.51,1230,1221,995.34,1055,1279,1192,1329,916.34,889.62,754.14,331.27,472.12,Upgrade
11,Pretax Income,6544,3042,4134,10824,3973,4689,2751,8716,5986,5949,3833,9608,3395,2854,3244,11936,5998,6090,14127,8519,Upgrade
12,Income Tax Expense,1314,662.83,832.25,2169,878.43,966.73,555.24,1756,1202,1194,766.56,1934,678.97,591.11,658.92,2433,1207,1223,2833,1736,Upgrade
13,Net Income,5231,2379,3302,8655,3094,3722,2196,6959,4784,4755,3066,7674,2716,2262,2585,9503,4791,4866,11294,6783,Upgrade
14,Net Income to Common,5231,2379,3302,8655,3094,3722,2196,6959,4784,4755,3066,7674,2716,2262,2585,9503,4791,4866,11294,6783,Upgrade
15,Net Income Growth,69.05%,-36.08%,50.36%,24.36%,-35.33%,-21.72%,-28.38%,-9.31%,76.16%,110.17%,18.63%,-19.25%,-43.32%,-53.51%,-77.12%,40.10%,20.53%,27.35%,66.27%,125.52%,Upgrade
16,Shares Outstanding (Basic),12,12,12,12,12,12,12,-,-,12,-,-,-,-,-,-,-,-,11,11,Upgrade
17,Shares Outstanding (Diluted),12,12,12,12,12,12,12,-,-,12,-,-,-,-,-,-,-,-,11,11,Upgrade
18,Shares Change (YoY),-0.00%,-0.00%,-0.00%,-,-,-0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
19,EPS (Basic),454.75,206.83,287.08,752.41,269.00,323.59,190.93,-,-,413.38,-,-,-,-,-,-,-,-,1005.55,603.90,Upgrade
20,EPS (Diluted),454.75,206.83,287.08,752.41,269.00,323.59,190.93,-,-,413.38,-,-,-,-,-,-,-,-,1005.55,603.90,Upgrade
21,EPS Growth,69.05%,-36.08%,50.36%,-,-,-21.72%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
22,Free Cash Flow,-2533,-,-17134,2374,-7546,27903,7443,-13008,-14654,-,-5087,-,-4498,-18822,-18822,-,-1001,-1001,-1618,-,Upgrade
23,Free Cash Flow Per Share,-220.25,-,-1489.58,206.39,-656.05,2425.80,647.11,-,-,-,-,-,-,-,-,-,-,-,-144.04,-,Upgrade
24,Gross Margin,12.94%,12.60%,18.07%,29.36%,16.30%,19.16%,15.84%,17.22%,14.91%,14.13%,11.45%,15.95%,13.08%,13.79%,14.23%,13.74%,15.84%,15.81%,18.26%,17.62%,Upgrade
25,Operating Margin,9.41%,6.62%,10.60%,23.05%,9.67%,10.46%,7.19%,10.70%,9.50%,8.79%,5.86%,11.01%,6.94%,4.85%,5.03%,9.90%,11.77%,11.40%,14.91%,13.33%,Upgrade
26,Profit Margin,7.42%,4.92%,8.27%,17.53%,6.08%,7.92%,5.85%,8.71%,7.84%,7.54%,5.13%,9.19%,5.93%,4.85%,5.31%,8.61%,11.15%,10.71%,12.46%,11.63%,Upgrade
