,Fiscal Quarter,Q4 2024,Q3 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+4 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+4 Quarters
0,Cash & Equivalents,3957,917.38,1401,1958,1061,363.4,253.04,2985,-,1220,-,2194,-,-,-,8911,595.99,-,2597,4213,Upgrade
1,Short-Term Investments,8180,5100,2900,1900,3150,9150,9150,9150,-,4500,-,-,-,-,-,-,-,-,-,-,Upgrade
2,Cash & Short-Term Investments,12137,6018,4301,3859,4211,9513,9403,12135,-,5720,-,2194,-,-,-,8911,595.99,2597,2597,4213,Upgrade
3,Cash Growth,188.21%,-36.75%,-54.26%,-68.20%,-,66.31%,-,453.15%,-,-,-,-75.38%,-,-,-,111.51%,-,87.40%,87.40%,-,Upgrade
4,Accounts Receivable,127628,108817,99684,90907,85498,63195,87887,99455,-,99478,-,85555,-,-,-,103254,65986,-,72447,50726,Upgrade
5,Other Receivables,1229,1370,4139,3886,3995,6829,9406,15637,-,19963,-,20598,-,-,-,17949,16715,-,16398,16357,Upgrade
6,Receivables,128857,110187,103822,94793,89494,70024,97294,115093,-,119441,-,106154,-,-,-,121203,82702,-,88844,67083,Upgrade
7,Inventory,83506,90515,88588,87649,85484,87837,85015,78684,-,44081,-,43556,-,-,-,27288,25027,-,20562,23268,Upgrade
8,Prepaid Expenses,159.37,118.18,213.96,292.98,151.47,263.4,359.93,398.9,-,634.9,-,456.61,-,-,-,407.98,61.26,-,60.06,49.38,Upgrade
