,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Cash & Equivalents,2628,2775,2812,-,-,2883,2985,2599,2303,1994,1593,1474,1234,1224,2585,2413,1434,1273,989.08,1482,Upgrade
1,Short-Term Investments,-,-,-,-,-,-,-,400,-,1000,-,600,-,-,-,-,-,100,-,-,Upgrade
2,Trading Asset Securities,-,-,-,-,-,-,-,-,-,-,418.41,418.41,795.85,830.99,1074,1101,1983,2089,2247,2092,Upgrade
3,Cash & Short-Term Investments,2628,2775,2812,-,-,2883,2985,2999,2303,2994,2011,2492,2030,2055,3659,3514,3417,3462,3236,3574,Upgrade
4,Cash Growth,-,-3.77%,-5.80%,-,-,-3.68%,48.45%,20.34%,13.46%,45.69%,-45.05%,-29.09%,-40.59%,-40.65%,13.08%,-1.66%,-3.95%,30.54%,26.11%,147.37%,Upgrade
5,Accounts Receivable,252.25,224.5,178.44,-,-,235.91,283.85,369.86,271.27,294.08,379.46,369.85,334.21,416.4,325.19,378.32,448.71,476.44,756.5,921.94,Upgrade
6,Other Receivables,323.89,-100.73,323.04,-,-,322.99,332.15,321.25,331.64,333.67,330.5,335.76,485.91,483.54,488.52,468.96,84.53,0.1,723.73,30.2,Upgrade
7,Receivables,576.14,123.77,501.48,-,-,558.9,616,691.12,602.91,627.74,709.96,705.61,820.12,899.95,813.71,847.28,533.24,476.54,1480,952.14,Upgrade
8,Inventory,210.73,203.77,200.22,-,-,235.08,234.43,250.89,322.05,274.49,270.12,300.02,308.73,279.94,291.06,312.97,291.93,295.38,239.1,331.68,Upgrade
9,Prepaid Expenses,-,0,-,-,-,-,-,1.5,-,-,-,-,-,-,-,-,-,3.88,-,-,Upgrade
10,Other Current Assets,13.06,440.94,13.51,-,-,20.36,19.07,15.19,720.09,31.37,1066,64.99,410.38,86.94,110.03,124.8,88.08,159.02,49.42,153.71,Upgrade
11,Total Current Assets,3428,3543,3527,-,-,3698,3855,3958,3948,3927,4057,3563,3569,3322,4874,4799,4330,4397,5005,5011,Upgrade
12,"Property, Plant & Equipment",792.78,776.43,783.1,-,-,698.71,702.13,708.63,683.2,694.21,692.13,707.24,689.1,673.14,665.19,664.44,644.69,638.55,608.23,608.85,Upgrade
13,Long-Term Investments,524.53,526.84,532.92,-,-,539.76,543.81,548.23,558.38,560.27,559.87,962.12,561.3,1564,459.48,460.32,463.92,365.47,363.73,151.42,Upgrade
14,Goodwill,289.71,289.71,289.71,-,-,198.3,198.3,198.3,198.3,198.3,198.3,198.3,212.51,212.51,212.51,212.51,850.51,850.51,23.11,23.11,Upgrade
15,Other Intangible Assets,170.46,175.46,179.77,-,-,205.03,209.82,214.88,261.96,269.66,278.46,285,259.64,185.54,191.08,196.85,252.09,259.1,114.22,50.24,Upgrade
16,Long-Term Deferred Tax Assets,22.28,17.41,14.71,-,-,24.63,22.83,24.65,26.67,30.87,37.97,31.06,69.91,84.53,48.05,49.73,27.35,29.28,64.87,64.35,Upgrade
17,Long-Term Deferred Charges,16.59,15.25,15.51,-,-,18.79,13.8,14.71,15.62,16.44,18.49,19.77,5.99,6.4,4.13,4.14,20.6,18.59,2.06,2.53,Upgrade
18,Other Long-Term Assets,55.42,20.86,14.7,-,-,9.18,9.06,8.92,10.17,9.71,12.89,11.79,713.32,17.61,11.98,12.04,43.73,14.33,10.59,16.05,Upgrade
19,Total Assets,5300,5365,5358,-,-,5392,5555,5676,5703,5707,5855,5778,6081,6065,6467,6399,6633,6573,6192,5928,Upgrade
20,Accounts Payable,11.7,12,12.07,-,-,130.86,136.13,140.81,31.5,21.16,20.91,31.3,45.23,14.99,18.31,53.59,34.19,52.86,27.08,33.04,Upgrade
21,Accrued Expenses,10.49,53.09,8.71,-,-,61.33,11.46,99.55,8.39,48.11,11.37,97.91,8.13,268.17,9,158.51,2.89,52.6,1.22,46.35,Upgrade
22,Short-Term Debt,0.47,0.63,0.76,-,-,-,-,-,-,-,-,-,-,-,-,-,19,28.52,-,-,Upgrade
23,Current Portion of Leases,1.12,1.43,1.54,-,-,2.15,2.15,2.17,2.06,1.99,2.51,5.27,6.43,6.2,-,-,-,-,-,-,Upgrade
24,Current Income Taxes Payable,4.21,3.05,8.99,-,-,1.77,11.73,1.76,5.89,1.32,16.69,2.91,20.93,38.55,6.59,-,33.7,1.05,32.83,2.75,Upgrade
25,Current Unearned Revenue,0.2,2.19,6.97,-,-,0.58,2.52,28.19,7.52,4.73,1.82,26.96,11.78,11.99,26.98,27.29,40.62,16.82,14.76,-,Upgrade
26,Other Current Liabilities,63.22,29.24,73.89,-,-,46.12,109.68,62.32,126.3,80.97,252.54,85.76,284.69,113.73,362.04,173.63,628.49,457.06,364.36,216.64,Upgrade
27,Total Current Liabilities,91.4,101.63,112.93,-,-,242.81,273.67,334.81,181.67,158.29,305.84,250.12,377.18,453.64,422.91,413.03,758.9,608.91,440.25,298.77,Upgrade
28,Long-Term Leases,16.13,4.99,4.7,-,-,6.59,6.53,6.9,5.06,5.72,8.09,7.09,4.54,6.33,-,-,-,-,-,-,Upgrade
29,Long-Term Unearned Revenue,6.48,6.87,7.26,-,-,8.46,8.9,9.34,9.78,10.22,10.66,11.1,10.03,10.42,10.46,10.84,11.23,11.61,11.99,12.38,Upgrade
30,Long-Term Deferred Tax Liabilities,20.58,18.94,20.99,-,-,18.91,18.27,19.93,15.57,16.45,17.01,19.33,15.22,15.67,17.04,17.5,19.62,20.06,-,-,Upgrade
31,Other Long-Term Liabilities,5,5,5,-,-,5,21.08,21.18,5,5,20.23,20.41,5,5,5,5,5,5,5,5,Upgrade
32,Total Liabilities,139.6,137.43,150.88,-,-,281.77,328.45,392.16,217.07,195.68,361.82,308.05,411.96,491.06,455.41,446.37,794.74,645.58,457.24,316.15,Upgrade
33,Common Stock,869.08,869.08,869.08,-,-,877.61,930.52,930.52,936.92,936.92,936.92,945.61,945.61,945.61,945.61,945.61,945.61,945.61,945.61,945.61,Upgrade
34,Additional Paid-In Capital,405.94,405.94,405.94,-,-,411.71,539.08,539.08,544.51,544.51,544.51,565.14,563.97,563.97,563.97,563.97,563.97,707.04,707.04,707.04,Upgrade
35,Retained Earnings,3966,3968,3941,-,-,3864,3873,3871,3984,3984,3949,3918,4100,4078,4509,4445,4400,4343,4252,4160,Upgrade
36,Treasury Stock,-59.95,-,-,-,-,-15.77,-107.46,-48.87,-53.9,-27.6,-27.6,-56.92,-56.92,-56.92,-56.92,-56.92,-200,-200,-200,-200,Upgrade
37,Comprehensive Income & Other,-2.13,-2.13,-2.03,-,-,0.42,0.61,0.54,0.46,0.24,0.04,-,0.11,0.08,0.02,-,-,-,-,-,Upgrade
38,Total Common Equity,5179,5241,5214,-,-,5138,5236,5293,5412,5438,5403,5372,5553,5531,5962,5897,5709,5795,5704,5613,Upgrade
39,Minority Interest,-18.63,-13.02,-7.02,-,-,-27.39,-9.91,-8.63,73.25,73.04,90.36,97.88,116.05,43.18,49.49,55.67,129.02,132,29.99,-1.22,Upgrade
40,Shareholders' Equity,5160,5228,5207,-,-,5110,5226,5284,5486,5511,5493,5470,5669,5574,6011,5953,5838,5927,5734,5612,Upgrade
41,Total Liabilities & Equity,5300,5365,5358,-,-,5392,5555,5676,5703,5707,5855,5778,6081,6065,6467,6399,6633,6573,6192,5928,Upgrade
42,Total Debt,17.72,7.06,6.99,-,-,8.74,8.68,9.07,7.12,7.71,10.6,12.36,10.96,12.52,-,-,19,28.52,-,-,Upgrade
43,Net Cash (Debt),2610,2768,2805,-,-,2875,2977,2990,2296,2986,2000,2480,2019,2042,3659,3514,3398,3434,3236,3574,Upgrade
44,Net Cash Growth,-,-3.72%,-5.76%,-,-,-3.72%,48.80%,20.58%,13.72%,46.20%,-45.34%,-29.44%,-40.58%,-40.52%,13.08%,-1.66%,-4.48%,29.46%,26.11%,148.71%,Upgrade
45,Net Cash Per Share,1.17,1.28,1.30,-,-,1.35,1.28,1.39,1.03,1.34,0.89,1.10,0.90,0.91,1.64,1.58,1.53,1.55,1.46,1.61,Upgrade
46,Filing Date Shares Outstanding,2239,2165,2165,-,2102,2125,2324,2216,2225,2218,2239,922,2236,2218,2236,2222,2218,2218,2218,2218,Upgrade
47,Total Common Shares Outstanding,2239,2165,2165,-,2102,2125,2324,2216,2225,2218,2239,922,2236,2218,2236,2222,2218,2218,2218,2218,Upgrade
48,Working Capital,3337,3442,3414,-,-,3455,3581,3623,3767,3769,3751,3313,3192,2868,4451,4386,3571,3788,4565,4712,Upgrade
49,Book Value Per Share,2.31,2.42,2.41,-,-,2.42,2.25,2.39,2.43,2.45,2.41,5.83,2.48,2.49,2.67,2.65,2.57,2.61,2.57,2.53,Upgrade
50,Tangible Book Value,4719,4776,4744,-,-,4734,4828,4879,4952,4970,4926,4889,5081,5133,5558,5488,4607,4686,5567,5540,Upgrade
51,Tangible Book Value Per Share,2.11,2.21,2.19,-,-,2.23,2.08,2.20,2.23,2.24,2.20,5.30,2.27,2.31,2.49,2.47,2.08,2.11,2.51,2.50,Upgrade
52,Buildings,-,724.54,-,-,-,577.27,-,561.5,-,551.95,-,402.97,-,392.84,-,392.79,-,413.33,-,408.01,Upgrade
53,Machinery,-,383.82,-,-,-,364.11,-,360.82,-,356.93,-,359.36,-,340.1,-,334.56,-,327.44,-,311.38,Upgrade
54,Construction In Progress,-,42.64,-,-,-,77.06,-,79.58,-,50.04,-,180.94,-,152.27,-,142.27,-,87.83,-,51.71,Upgrade
