,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Market Capitalization,8140,6603,4503,6248,7046,9200,6515,7564,8229,6831,7622,8395,9027,9049,10069,9138,9825,13640,13751,11799,13950,Upgrade
1,Market Cap Growth,-28.23%,-28.23%,-30.88%,-17.39%,-14.39%,34.68%,-14.52%,-9.90%,-8.83%,-24.51%,-24.31%,-8.13%,-8.13%,-33.66%,-26.77%,-22.56%,-29.57%,-21.05%,-18.64%,-62.73%,-31.73%,Upgrade
2,Enterprise Value,5511,3822,1691,3413,4210,6298,3529,5341,6006,3918,5712,6492,7124,7050,6459,5869,6556,10338,10545,8241,10393,Upgrade
3,Last Close Price,3.76,3.05,2.08,2.90,3.27,4.27,2.94,3.41,3.71,3.08,3.45,3.80,4.07,4.08,4.54,3.96,4.26,5.91,5.96,5.11,6.04,Upgrade
4,PE Ratio,273.26,-,56.94,-,-,-177.92,-,-100.14,-,-58.92,-80.52,-91.93,-,53.35,49.19,35.53,34.53,57.29,49.57,38.35,-,Upgrade
5,Forward PE,-,25.96,25.96,25.96,25.96,25.96,25.96,25.96,25.96,25.96,25.96,25.96,25.96,25.96,25.96,25.96,25.96,25.63,25.83,22.64,27.35,Upgrade
6,PS Ratio,15.86,18.63,12.42,20.74,-,18.80,13.36,14.74,14.42,10.70,11.79,11.73,12.29,14.21,15.73,12.98,10.20,11.28,8.77,6.69,7.86,Upgrade
7,PB Ratio,1.63,1.28,0.86,1.20,-,-,1.27,1.45,1.56,1.25,1.38,1.53,1.65,1.60,1.81,1.52,1.65,2.34,2.32,2.06,2.49,Upgrade
8,P/TBV Ratio,1.40,1.40,0.94,1.32,-,-,1.38,1.57,1.69,1.38,1.53,1.70,1.85,1.78,1.96,1.64,1.79,2.96,2.93,2.12,2.52,Upgrade
9,P/FCF Ratio,-,-,-,-99.60,-,-,-,473.84,87.40,-87.90,-,-82.61,-,-,-,22.72,-,-,9.33,7.50,9.34,Upgrade
10,P/OCF Ratio,-,-,-,73.95,-,57.42,55.76,93.21,50.89,230.28,-,446.69,-,-,43.63,17.38,11.87,14.78,8.96,7.24,8.95,Upgrade
11,EV/Sales Ratio,10.65,10.78,4.66,11.33,-,12.87,7.24,10.41,10.52,6.14,8.83,9.07,9.70,11.07,10.09,8.33,6.81,8.55,6.73,4.67,5.86,Upgrade
12,EV/EBITDA Ratio,215.70,-,53.65,-,-,-59.89,-,-52.23,-,65.48,-,68.85,58.30,-,36.21,23.26,-,44.95,36.37,26.26,-,Upgrade
13,EV/EBIT Ratio,-,-,-55.09,-,-,-,-,-,-,-,-,332.88,-,-,57.46,30.98,-,58.98,44.50,31.21,-,Upgrade
14,EV/FCF Ratio,-43.85,-,-,-54.40,-,-,-,334.58,63.79,-50.42,-,-63.88,-,-,-,14.59,-,-,7.15,5.24,6.96,Upgrade
15,Debt / Equity Ratio,0.00,0.00,0.00,0.00,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,0.00,0.00,-,-,Upgrade
16,Debt / EBITDA Ratio,0.69,-,0.05,-,-,-,-,0.14,-,0.31,5.89,0.06,0.21,-,0.06,-,-,0.08,0.06,-,-,Upgrade
17,Debt / FCF Ratio,-,-,-,-0.11,-,-,-,0.54,0.10,-0.09,-,-0.10,-,-,-,-,-,-,0.02,-,-,Upgrade
18,Asset Turnover,0.08,0.11,-,-,-,0.06,0.10,0.11,0.08,0.08,0.13,0.15,0.08,0.12,0.13,0.08,0.08,0.15,0.31,0.25,Upgrade,
19,Inventory Turnover,-,0.75,0.96,-,-,-,0.74,0.96,2.63,0.60,0.73,1.09,1.18,0.66,0.83,0.85,0.69,0.86,0.83,1.74,1.57,Upgrade
20,Quick Ratio,35.06,35.06,28.52,29.34,-,-,14.18,13.16,11.02,16.00,22.88,8.90,12.78,7.56,6.51,10.58,10.56,5.20,6.47,10.71,15.15,Upgrade
21,Current Ratio,37.50,37.50,34.87,31.24,-,-,15.23,14.09,11.82,21.73,24.81,13.26,14.24,9.46,7.32,11.53,11.62,5.71,7.22,11.37,16.77,Upgrade
22,Return on Equity (ROE),-0.59%,1.61%,-,-,-,-2.08%,0.04%,-14.48%,0.06%,1.29%,1.67%,-14.44%,1.05%,2.22%,3.88%,2.72%,3.67%,6.07%,6.42%,-0.14%,Upgrade,
23,Return on Assets (ROA),-1.20%,0.71%,-,-,-,-1.27%,-0.32%,-6.27%,-0.60%,-1.03%,1.23%,-0.46%,-1.10%,1.15%,2.28%,-0.78%,1.71%,4.14%,4.26%,-3.34%,Upgrade,
24,Return on Capital (ROIC),-1.23%,0.73%,-,-,-,-1.34%,-0.34%,-6.62%,-0.62%,-1.08%,1.30%,-0.49%,-1.19%,1.24%,2.46%,-0.86%,1.91%,4.52%,4.55%,-3.52%,Upgrade,
25,Return on Capital Employed (ROCE),-,-,-0.58%,-,-,-,-,-,-,-,-,0.35%,-,-,2.00%,3.13%,-,2.98%,3.97%,4.59%,-,Upgrade
26,Earnings Yield,0.37%,0.12%,1.76%,0.68%,-,-0.56%,-1.84%,-1.00%,-0.57%,-1.70%,-1.24%,-1.09%,-0.64%,1.87%,2.03%,2.81%,2.90%,1.75%,2.02%,2.61%,2.42%,Upgrade
27,FCF Yield,-1.54%,-1.85%,-1.93%,-1.00%,-,-0.03%,0.65%,0.21%,1.14%,-1.14%,-1.82%,-1.21%,-0.94%,0.68%,1.03%,4.40%,7.30%,6.00%,10.72%,13.34%,10.71%,Upgrade
28,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.93%,-,-,-,-,Upgrade
29,Payout Ratio,0.32%,-,0.08%,-,-,-,-,-,-,-,-,-,-,-,1224.41%,-,-,0.99%,-,-,-,Upgrade
30,Buyback Yield / Dilution,-0.27%,-6.52%,-1.90%,7.30%,-,5.75%,4.83%,-3.82%,3.95%,0.29%,0.47%,-0.10%,-1.07%,-0.62%,-1.23%,-0.87%,-0.16%,-0.17%,0.09%,-0.02%,0.17%,Upgrade
31,Total Shareholder Return,-0.27%,-6.52%,-1.90%,7.30%,-,5.75%,4.83%,-3.82%,3.95%,0.29%,0.47%,-0.10%,-1.07%,-0.62%,-1.23%,-0.87%,4.77%,-0.17%,0.09%,-0.02%,0.17%,Upgrade
