,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Operating Revenue,106.81,146.41,101.25,-,115.14,84.85,135.16,154.12,112.62,111.18,192.82,216.94,125.69,175.59,211.59,122.71,125.02,243.42,470.32,366.56,Upgrade
1,Other Revenue,-0.66,0.66,-,-,-0.8,0.8,-,0.11,-0,0,-,4.67,-4.64,4.64,-,1.39,-0.86,0.86,-,4.02,Upgrade
2,Revenue,106.16,147.07,101.25,-,114.33,85.65,135.16,154.23,112.62,111.18,192.82,221.61,121.05,180.23,211.59,124.11,124.16,244.28,470.32,370.58,Upgrade
3,Revenue Growth (YoY),-7.15%,71.71%,-25.09%,-,1.52%,-22.96%,-29.90%,-30.40%,-6.96%,-38.31%,-8.87%,78.56%,-2.50%,-26.22%,-55.01%,-66.51%,-74.27%,-44.60%,-2.21%,-42.43%,Upgrade
4,Cost of Revenue,39.08,48.52,49.03,-,34.96,43.25,58.22,188.23,44.39,49.49,77.34,89.46,48.64,59.18,64.15,52.37,62.93,55.22,123.87,137.3,Upgrade
5,Gross Profit,67.08,98.55,52.22,-,79.37,42.4,76.94,-34,68.24,61.69,115.48,132.15,72.41,121.05,147.44,71.74,61.23,189.06,346.45,233.28,Upgrade
6,"Selling, General & Admin",69.7,72.95,60.44,-,73.21,51.66,67.69,91.13,64.53,74.21,73.75,127.28,71.26,77.46,66.89,57.73,13.4,66.35,221.75,267.65,Upgrade
7,Research & Development,13.49,11.78,10.88,-,11.43,14.35,11.91,17.59,11.58,11.61,10.72,15.13,18.02,15.11,18.8,20.93,13.34,6.21,15.57,28.52,Upgrade
8,Other Operating Expenses,2.44,2.82,3.08,-,2.75,0.96,3.12,2.06,1.42,2.61,1.95,8.75,2.06,-1.31,2.8,7.85,2.09,0.46,6.95,20.9,Upgrade
9,Operating Expenses,92.65,83.27,85.01,-,92.55,70.2,84.09,108.74,81.89,85.51,86.97,143.09,99.2,92.34,88.66,92.01,16.04,83.35,243.13,312.21,Upgrade
10,Operating Income,-25.57,15.28,-32.79,-,-13.18,-27.8,-7.15,-142.74,-13.65,-23.82,28.51,-10.94,-26.78,28.71,58.78,-20.27,45.19,105.71,103.32,-78.93,Upgrade
11,Interest Expense,-0.09,-0.09,-0.1,-,-0.07,-0.06,-0.18,-0.46,-,-0.22,-0.08,-0.51,-,-0.22,-,-,-0.3,-0.34,-,-,Upgrade
12,Interest & Investment Income,16.73,17.31,17.05,-,78.85,15.9,18.55,8.12,16.19,48.42,14.11,15.02,36.12,21.17,12.6,50.77,37.66,8.07,22.09,49.34,Upgrade
13,Earnings From Equity Investments,7.86,-6.08,-1.78,-,8.47,-4.04,-4.42,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
14,Currency Exchange Gain (Loss),-0,0,-,-,3.99,-3.99,-,-3.46,0,-0,-,-0.23,0.09,-0.09,-,-0.3,-0,0,-,-0.02,Upgrade
15,Other Non Operating Income (Expenses),3.96,-3.15,-0.89,-,3.88,-6.3,0.17,-6.82,1.4,-3.5,-1.18,-161.27,4.44,-6.47,-1.39,2.29,0.37,-6.01,-1.11,-10.34,Upgrade
16,EBT Excluding Unusual Items,2.88,23.27,-18.51,-,81.94,-26.29,6.96,-145.36,3.95,20.88,41.38,-157.93,13.87,43.1,69.99,32.49,82.92,107.44,124.29,-39.95,Upgrade
17,Impairment of Goodwill,-,-,-,-,-,-,-,-,-,-,-,-14.2,-,-,-,-,-,-,-,-,Upgrade
18,Gain (Loss) on Sale of Investments,-10.16,-,-,-,-,-,-,-,-,1.87,-1.87,-,0.11,-0.88,0.77,0.92,-,-,-,-,Upgrade
19,Gain (Loss) on Sale of Assets,-0.93,-0,-,-,-0,-,-,2.31,-2.06,0.01,0.07,-,-,0.01,0.01,-0.15,-,-,-,-0.14,Upgrade
20,Asset Writedown,0.46,-0.89,-0.02,-,-13.73,-0.66,0.23,-41.98,0.7,10,-10.69,-0.31,0.08,-0.08,-,-2.42,0.09,-0.01,-,-,Upgrade
21,Other Unusual Items,0.89,1.01,1.05,-,-2.53,2.53,-,-1.34,2.89,-1.83,-,8.36,-,-,-,3.68,-8.89,8.89,-,21.77,Upgrade
22,Pretax Income,-6.86,23.39,-17.49,-,65.68,-24.41,7.19,-186.37,5.47,30.93,28.89,-164.08,14.06,42.14,70.77,34.52,74.12,116.33,124.29,-18.33,Upgrade
23,Income Tax Expense,0.82,2.42,4.13,-,0.94,2.49,6.61,8.59,4.64,13.19,5.96,36.98,-0.7,10.04,12.78,-5.62,20.14,27.87,33.23,-16.34,Upgrade
24,Earnings From Continuing Operations,-7.68,20.96,-21.61,-,64.74,-26.91,0.58,-194.96,0.83,17.74,22.93,-201.06,14.76,32.11,58,40.14,53.98,88.46,91.06,-1.98,Upgrade
25,Minority Interest in Earnings,5.62,5.99,4.81,-,4.19,17.48,1.28,81.88,-0.22,17.33,7.52,19,7.13,6.3,6.19,5.01,2.98,2.42,0.5,0.67,Upgrade
26,Net Income,-2.06,26.96,-16.81,-,68.93,-9.42,1.86,-113.08,0.61,35.07,30.45,-182.06,21.89,38.41,64.18,45.14,56.96,90.88,91.56,-1.31,Upgrade
27,Net Income to Common,-2.06,26.96,-16.81,-,68.93,-9.42,1.86,-113.08,0.61,35.07,30.45,-182.06,21.89,38.41,64.18,45.14,56.96,90.88,91.56,-1.31,Upgrade
28,Net Income Growth,-,-,-,-,11162.41%,-,-93.89%,-,-97.20%,-8.70%,-52.56%,-,-61.58%,-57.73%,-29.90%,-,-40.85%,-24.98%,-24.21%,-,Upgrade
29,Shares Outstanding (Basic),2239,2166,2154,-,2102,2125,2324,2157,2230,2233,2239,2246,2236,2244,2236,2222,2223,2216,2217,2218,Upgrade
30,Shares Outstanding (Diluted),2239,2166,2154,-,2102,2125,2324,2157,2230,2233,2239,2246,2236,2244,2236,2222,2223,2216,2217,2218,Upgrade
31,Shares Change (YoY),6.52%,1.90%,-7.30%,-,-5.75%,-4.83%,3.82%,-3.95%,-0.29%,-0.47%,0.10%,1.07%,0.62%,1.23%,0.87%,0.16%,0.17%,-0.09%,0.02%,-0.17%,Upgrade
32,EPS (Basic),-0.00,0.01,-0.01,-,0.03,-0.00,0.00,-0.05,0.00,0.02,0.01,-0.08,0.01,0.02,0.03,0.02,0.03,0.04,0.04,-0.00,Upgrade
33,EPS (Diluted),-0.00,0.01,-0.01,-,0.03,-0.00,0.00,-0.05,0.00,0.02,0.01,-0.08,0.01,0.02,0.03,0.02,0.03,0.04,0.04,-0.00,Upgrade
34,EPS Growth,-,-,-,-,11868.98%,-,-94.12%,-,-97.20%,-8.28%,-52.61%,-,-61.81%,-58.25%,-30.51%,-,-40.95%,-24.91%,-24.22%,-,Upgrade
35,Free Cash Flow,-72.72,-51.71,2.05,-,-37.41,-27.38,36.24,25.5,7.82,-53.6,114.44,-146.37,-53.16,-16.52,131.55,-0.47,-10.6,281.69,446.62,100.26,Upgrade
36,Free Cash Flow Per Share,-0.03,-0.02,0.00,-,-0.02,-0.01,0.02,0.01,0.00,-0.02,0.05,-0.07,-0.02,-0.01,0.06,-0.00,-0.00,0.13,0.20,0.05,Upgrade
37,Dividend Per Share,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.210,-,-,-,-,Upgrade
38,Gross Margin,63.19%,67.01%,51.57%,-,69.42%,49.50%,56.93%,-22.04%,60.59%,55.49%,59.89%,59.63%,59.82%,67.16%,69.68%,57.80%,49.32%,77.39%,73.66%,62.95%,Upgrade
39,Operating Margin,-24.09%,10.39%,-32.39%,-,-11.53%,-32.46%,-5.29%,-92.55%,-12.12%,-21.43%,14.79%,-4.94%,-22.13%,15.93%,27.78%,-16.33%,36.40%,43.27%,21.97%,-21.30%,Upgrade
40,Profit Margin,-1.94%,18.33%,-16.60%,-,60.29%,-11.00%,1.38%,-73.31%,0.54%,31.54%,15.79%,-82.15%,18.08%,21.31%,30.33%,36.38%,45.88%,37.20%,19.47%,-0.35%,Upgrade
41,Free Cash Flow Margin,-68.51%,-35.16%,2.02%,-,-32.72%,-31.96%,26.81%,16.54%,6.94%,-48.21%,59.35%,-66.05%,-43.92%,-9.17%,62.17%,-0.38%,-8.53%,115.31%,94.96%,27.05%,Upgrade
42,EBITDA,-5.5,35.21,-12.72,-,9.02,-8.7,15.06,-120.53,5.76,-2.54,48.04,8.58,-9.64,47.32,75.93,-3.13,58.25,121.27,116.38,-65.87,Upgrade
43,EBITDA Margin,-5.18%,23.94%,-12.56%,-,7.89%,-10.16%,11.14%,-78.15%,5.12%,-2.28%,24.91%,3.87%,-7.96%,26.25%,35.88%,-2.52%,46.91%,49.64%,24.74%,-17.78%,Upgrade
44,D&A For EBITDA,20.07,19.93,20.07,-,22.21,19.1,22.21,22.21,19.41,21.28,19.52,19.52,17.14,18.61,17.14,17.14,13.06,15.55,13.06,13.06,Upgrade
45,EBIT,-25.57,15.28,-32.79,-,-13.18,-27.8,-7.15,-142.74,-13.65,-23.82,28.51,-10.94,-26.78,28.71,58.78,-20.27,45.19,105.71,103.32,-78.93,Upgrade
46,EBIT Margin,-24.09%,10.39%,-32.39%,-,-11.53%,-32.46%,-5.29%,-92.55%,-12.12%,-21.43%,14.79%,-4.94%,-22.13%,15.93%,27.78%,-16.33%,36.40%,43.27%,21.97%,-21.30%,Upgrade
47,Effective Tax Rate,-,10.36%,-,-,1.43%,-,91.90%,-,84.85%,42.64%,20.62%,-,-,23.82%,18.05%,-,27.17%,23.96%,26.73%,-,Upgrade
48,Revenue as Reported,106.16,147.07,101.25,-,114.33,85.65,135.16,154.23,112.62,111.18,192.82,221.61,121.05,180.23,211.59,124.11,124.16,244.28,470.32,370.58,Upgrade
