,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,485.89,613.78,638.94,-,-,698.64,-,-,-,-,-,126.52,126.52
1,Trading Asset Securities,52,0.43,-,-,-,-,-,-,-,-,-,26.03,26.03
2,Cash & Short-Term Investments,537.89,614.22,638.94,-,-,698.64,-,-,-,-,-,152.56,152.56
3,Cash Growth,-,-12.08%,-,-,-,-,-,-,-,-,-,-,-
4,Accounts Receivable,163.52,147.2,133.58,-,-,133.65,-,-,-,-,-,112.03,112.03
5,Other Receivables,3.21,5.52,4.6,-,-,3.97,-,-,-,-,-,13.97,13.97
6,Receivables,166.74,152.72,138.18,-,-,137.62,-,-,-,-,-,126,126
7,Inventory,202.45,188.7,157.61,-,-,92.7,-,-,-,-,-,115.08,115.08
8,Other Current Assets,12.95,11.53,12.99,-,-,9.78,-,-,-,-,-,11.69,11.69
9,Total Current Assets,920.03,967.17,947.72,-,-,938.74,-,-,-,-,-,405.33,405.33
10,"Property, Plant & Equipment",444.61,431.94,414.72,-,-,366.88,-,-,-,-,-,221.31,221.31
11,Long-Term Investments,-,-,-,-,-,-,-,-,-,-,-,9.8,9.8
12,Goodwill,2.06,2.06,2.06,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,62.88,62.43,62.74,-,-,62.95,-,-,-,-,-,65.5,65.5
14,Long-Term Deferred Tax Assets,10.56,12.98,11.76,-,-,7.98,-,-,-,-,-,2.92,2.92
15,Long-Term Deferred Charges,0.94,1.06,0.42,-,-,0.69,-,-,-,-,-,1.77,1.77
16,Other Long-Term Assets,20.29,21.55,36.92,-,-,26.03,-,-,-,-,-,18.09,18.09
17,Total Assets,1461,1499,1476,-,-,1403,-,-,-,-,-,724.73,724.73
18,Accounts Payable,113.35,140.11,87.8,-,-,78.9,-,-,-,-,-,95.34,95.34
19,Accrued Expenses,9.31,11.2,8.63,-,-,9.88,-,-,-,-,-,13.62,13.62
20,Short-Term Debt,-,23.45,23.45,-,-,-,-,-,-,-,-,39,39
21,Current Portion of Long-Term Debt,-,-,-,-,-,28.36,-,-,-,-,-,26.2,26.2
22,Current Portion of Leases,0.44,0.43,-,-,-,0.7,-,-,-,-,-,0.64,0.64
