,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,2161,1996,1889,1933,2440,2764,3011,-,-,-,-,-,-,-
1,Market Cap Growth,-27.80%,-27.80%,-37.27%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1660,1444,1313,1274,1780,2105,3015,-,-,-,-,-,-,-
3,Last Close Price,29.23,26.86,25.09,25.12,31.69,35.91,39.12,-,-,-,-,-,-,-
4,PE Ratio,30.41,36.02,34.80,30.19,-,34.30,35.66,-,-,-,-,-,-,-
5,PS Ratio,2.57,3.09,3.33,3.60,-,4.08,4.38,-,-,-,-,-,-,-
6,PB Ratio,1.72,1.59,1.51,1.52,-,-,2.43,-,-,-,-,-,-,-
7,P/TBV Ratio,1.67,1.67,1.60,1.60,-,-,2.56,-,-,-,-,-,-,-
8,P/FCF Ratio,16.00,-,285.75,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,9.55,-,22.46,-14.09,-,-37.72,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,1.96,2.23,2.32,2.37,-,3.10,4.38,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,22.85,21.52,19.66,16.67,-,18.94,25.84,-,-,-,-,-,-,-
12,EV/EBIT Ratio,39.95,31.35,27.69,21.49,-,23.35,31.81,-,-,-,-,-,-,-
13,EV/FCF Ratio,12.29,-,198.60,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.03,0.03,0.05,0.05,-,-,0.03,-,-,-,-,-,0.38,0.38
15,Debt / EBITDA Ratio,0.51,0.41,0.63,0.74,-,-,0.27,-,-,-,-,-,1.60,1.60
16,Debt / FCF Ratio,0.28,-,9.08,-,-,-,-,-,-,-,-,-,-,-
17,Asset Turnover,0.64,0.61,-,-,-,-,-,-,-,-,-,0.81,-,
18,Inventory Turnover,-,3.51,3.92,-,-,-,-,-,-,-,-,-,3.66,-
19,Quick Ratio,5.06,5.06,4.10,5.61,-,-,6.47,-,-,-,-,-,1.27,1.27
20,Current Ratio,6.61,6.61,5.17,6.84,-,-,7.26,-,-,-,-,-,1.85,1.85
21,Return on Equity (ROE),4.78%,6.93%,-,-,-,-,-,-,-,-,-,15.98%,-,
22,Return on Assets (ROA),2.81%,2.55%,-,-,-,-,-,-,-,-,-,7.40%,-,
23,Return on Capital (ROIC),3.20%,2.87%,-,-,-,-,-,-,-,-,-,9.49%,-,
24,Return on Capital Employed (ROCE),3.14%,3.48%,3.61%,4.43%,-,-,7.44%,-,-,-,-,-,8.49%,4.25%
25,Earnings Yield,3.31%,2.78%,2.87%,3.31%,-,2.92%,2.80%,-,-,-,-,-,-,-
26,FCF Yield,6.25%,-1.84%,0.35%,-12.05%,-,-7.03%,-5.84%,-,-,-,-,-,-,-
27,Payout Ratio,32.49%,-,99.71%,2.18%,-,0.40%,4.89%,12.94%,17.33%,17.33%,3.38%,3.38%,7.97%,7.97%
28,Buyback Yield / Dilution,-17.32%,7.86%,-16.11%,-35.78%,-,-35.12%,-11.14%,0.67%,0.22%,0.22%,-,-,-,-
29,Total Shareholder Return,-16.31%,7.86%,-16.11%,-35.78%,-,-35.12%,-11.14%,0.67%,0.22%,0.22%,-,-,-,-
