,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,512.85,382.15,362.88,419.84,429.72,370.26,254.84,216.31,352.47,377.18,415.05,456.95,432.51,435.19,359.43,424.17,424.94,423.52,230.4
1,Other Revenue,-6.87,6.87,-,9.4,-5.31,5.31,-,11.35,-6.82,6.82,-,5.55,-4.16,4.16,-,6.42,3.21,1.95,-
2,Revenue,505.97,389.02,362.88,429.24,424.41,375.58,254.84,227.66,345.64,384,415.05,462.5,428.35,439.36,359.43,430.59,428.15,425.46,230.4
3,Revenue Growth (YoY),19.22%,3.58%,42.40%,88.54%,22.79%,-2.19%,-38.60%,-50.78%,-19.31%,-12.60%,15.48%,7.41%,0.05%,3.27%,56.00%,-,-,-,-
4,Cost of Revenue,432.94,351.81,316.79,396.61,367.6,329.43,255.92,251,333.04,355.99,365.76,423.77,376.78,388.26,314.35,381.24,370,350.31,191.08
5,Gross Profit,73.03,37.2,46.09,32.63,56.8,46.15,-1.07,-23.33,12.6,28.01,49.29,38.73,51.57,51.09,45.08,49.35,58.15,75.16,39.32
6,"Selling, General & Admin",19.94,19.87,19.57,23.48,20.15,16.22,16.98,10.98,17.3,14.55,14.57,13.74,14.28,14.17,13.81,10.1,6.75,13.88,11.76
7,Research & Development,17,12.93,12.58,15.58,12.93,11.1,14.17,15.96,15.69,16.8,20.81,20.02,16.11,15.76,15.13,14.8,13.77,12.05,9.53
8,Other Operating Expenses,0.14,3.01,1.55,-1.16,1.13,-3.42,1.4,5.66,0.08,-0.04,-1.14,5.73,0.26,-0.29,1.49,5.91,3.61,0.16,0.91
