,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,255.98,98.41,141.02,82.55,131.15,178.25,174.26,136.72,134.79,134.39,-,143.86,123.46,45.71,437.36,22.56,22.56,33.45,-
1,Trading Asset Securities,50.04,140.26,97.76,120.14,147.47,160.46,154.99,208.74,191.37,-,-,-,40,165.99,1.4,7.17,7.17,10.14,-
2,Cash & Short-Term Investments,306.01,238.67,238.78,202.68,278.62,338.71,329.25,345.46,326.17,134.39,143.86,143.86,163.46,211.7,438.76,29.73,29.73,43.59,74.6
3,Cash Growth,9.83%,-29.54%,-27.48%,-41.33%,-14.58%,152.04%,128.87%,140.13%,99.54%,-36.52%,-67.21%,383.87%,449.78%,385.64%,488.13%,-,-,-,-
4,Accounts Receivable,623.59,505.22,485.2,563.77,570.43,477.71,361.27,412.85,670.62,677.74,-,710.43,667.32,643.87,648.65,666.81,666.81,567.8,-
5,Other Receivables,18.77,16.59,17.13,11.11,11.13,9.56,9.68,7.55,10.11,10.57,-,18.38,11.15,12.07,8.62,11.78,11.78,9.73,-
6,Receivables,642.36,521.81,502.33,574.88,581.56,487.27,370.95,420.4,680.73,688.32,-,728.81,678.47,655.95,657.27,678.58,678.58,577.53,-
7,Inventory,406.42,377.99,496.26,461.82,435.61,386.3,354.82,339.88,416.91,464.5,-,392.57,417.22,431.44,400.57,356.47,356.47,274.62,-
8,Other Current Assets,62.54,76.06,64.67,66.64,57.89,31.88,18.19,11.45,13.79,24.04,-,13.93,19.85,15.26,15.13,16.99,16.99,16.21,-
9,Total Current Assets,1417,1215,1302,1306,1354,1244,1073,1117,1438,1311,-,1279,1279,1314,1512,1082,1082,911.96,-
10,"Property, Plant & Equipment",1253,1224,1091,1065,993.9,941.6,888.17,883.63,899.57,878.43,-,818.15,759.75,634.05,578.78,554.11,554.11,426.21,-
11,Long-Term Investments,1.99,1.99,1.98,1.98,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-
12,Other Intangible Assets,68.57,69.13,69.73,70.07,70.99,71.61,69.9,67.43,67.92,68.39,-,68.55,69.06,69.58,46.7,46.6,46.6,47.18,-
13,Long-Term Accounts Receivable,-,-,-,-,-,2.07,-,-,-,2.07,-,-,-,-,-,4.77,4.77,-,-
14,Long-Term Deferred Tax Assets,24.72,22.94,24.97,25.07,40.71,36.8,28.02,23.64,31.14,27.37,-,25.67,18.67,19.49,17.16,17.34,17.34,15.02,-
15,Long-Term Deferred Charges,12.98,13.62,13.31,11.34,14.12,14.22,3.15,4.28,5.91,5.92,-,2.57,1.19,1.38,1.33,2.26,2.26,2.39,-
16,Other Long-Term Assets,30.65,10.4,10.12,9.39,13.3,23.43,9.86,10.68,15.68,11.35,-,17.99,12.21,48.74,0.13,1.2,1.2,6.05,-
17,Total Assets,2810,2556,2513,2489,2489,2336,2072,2107,2458,2305,-,2212,2140,2088,2156,1708,1708,1409,-
