,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,4199,3384,3485,1835,2459,2266,2076,2138,1785,1832,2394,2265,2834,2558,3580,5016,-,-,-,-
1,Market Cap Growth,49.31%,49.31%,67.85%,-14.20%,37.80%,23.70%,-13.29%,-5.59%,-37.03%,-28.38%,-33.11%,-54.84%,-,-,-,-,-,-,-,-
2,Enterprise Value,4418,3718,3553,2033,2658,2389,2136,2408,2054,2187,2710,2439,3008,2574,3340,5151,-,-,-,-
3,Last Close Price,23.39,18.85,21.39,11.56,15.49,14.28,13.08,13.47,11.24,11.54,15.08,14.18,17.74,16.02,22.41,31.07,-,-,-,-
4,PE Ratio,-,-3271.65,-886.28,-193.11,-,-,-,-,-,-,40.88,38.18,44.62,37.55,47.81,53.71,-,-,-,-
5,PS Ratio,2.11,2.01,2.17,1.15,1.66,1.77,1.72,1.76,1.30,1.14,1.42,1.30,1.68,1.54,2.16,3.05,-,-,-,-
6,PB Ratio,3.04,2.45,2.85,1.63,2.19,2.00,1.83,1.88,1.54,1.54,2.15,2.07,2.59,2.37,3.37,4.64,-,-,-,-
7,P/TBV Ratio,2.58,2.58,3.02,1.74,2.34,2.14,1.96,2.01,1.64,1.64,2.31,2.22,2.78,2.54,3.61,4.85,-,-,-,-
8,P/FCF Ratio,42.54,34.29,-,-17.42,-19.06,-,-,12.32,15.53,-17.59,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,11.11,11.11,31.22,19.95,52.75,-,-,7.07,6.45,18.87,-2245.89,-42.21,-,-,-,166.99,-,-,-,-
10,EV/Sales Ratio,2.62,2.20,2.21,1.28,1.79,1.86,1.77,1.99,1.50,1.36,1.60,1.40,1.78,1.55,2.01,3.13,-,-,-,-
11,EV/EBITDA Ratio,32.82,27.41,28.97,15.10,31.31,68.50,-150.50,-,-,-,28.88,23.55,29.76,21.95,25.64,33.74,-,-,-,-
12,EV/EBIT Ratio,136.45,87.01,107.37,41.32,-,-54.45,-24.59,-,-,-,-,44.78,-,34.87,38.72,46.01,-,-,-,-
13,EV/FCF Ratio,44.77,37.67,-,-19.31,-20.60,-,-,13.87,17.88,-21.00,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.38,0.38,0.47,0.27,0.43,0.42,0.40,0.34,0.37,0.50,0.43,0.38,0.38,0.31,0.21,0.18,0.25,0.25,0.20,0.24
15,Debt / EBITDA Ratio,3.88,2.32,5.31,2.05,6.42,2.73,2.77,-,-,-,4.60,3.63,5.57,2.76,1.71,1.90,1.55,0.97,0.56,1.24
16,Debt / FCF Ratio,5.29,5.29,-,-2.88,-3.78,-,-,2.21,3.72,-5.66,-,-,-,-,-,-,-,-,-,8.77
17,Asset Turnover,0.75,0.61,0.58,0.69,0.70,0.68,0.49,0.40,0.58,-,-,0.85,0.81,0.83,-,-,1.10,-,-,
18,Inventory Turnover,3.56,4.42,3.22,2.65,3.54,3.58,3.56,2.95,2.65,3.02,-,-,4.19,3.55,3.73,-,-,4.69,-,-
19,Quick Ratio,0.73,0.73,0.72,0.73,0.78,0.86,0.97,1.18,1.26,1.13,0.78,-,0.88,0.85,0.91,1.10,0.74,0.74,0.87,-
20,Current Ratio,1.10,1.10,1.15,1.28,1.31,1.35,1.45,1.81,1.83,1.62,1.24,-,1.29,1.29,1.38,1.51,1.13,1.13,1.27,-
21,Return on Equity (ROE),0.35%,0.36%,1.19%,-2.82%,-0.83%,-1.66%,-7.71%,-17.57%,-3.34%,7.06%,4.62%,3.43%,6.25%,7.56%,-,-,14.31%,25.54%,-,
22,Return on Assets (ROA),3.16%,0.03%,1.46%,-0.62%,2.52%,1.87%,-3.80%,-5.79%,-1.96%,-,-,-0.22%,2.41%,2.40%,-,-,5.26%,-,-,
23,Return on Capital (ROIC),4.58%,0.05%,2.40%,-0.96%,3.80%,2.64%,-5.11%,-7.84%,-2.77%,-0.42%,2.58%,-0.32%,3.77%,3.97%,-,-,11.06%,15.62%,-,
24,Return on Capital Employed (ROCE),2.13%,2.82%,2.21%,3.29%,-,-2.96%,-5.87%,-,-,-,-,-,-,6.44%,7.62%,9.69%,15.34%,13.08%,9.51%,-
25,Earnings Yield,-0.02%,-0.03%,-0.11%,-0.52%,-1.42%,-3.48%,-4.15%,-2.93%,-1.56%,1.78%,2.45%,2.62%,2.24%,2.66%,2.09%,1.86%,-,-,-,-
26,FCF Yield,2.35%,2.92%,-2.11%,-5.74%,-5.25%,-0.12%,6.24%,8.12%,6.44%,-5.68%,-11.14%,-20.12%,-15.72%,-16.39%,-8.23%,-2.33%,-,-,-,-
27,Dividend Yield,0.18%,-,-,-,0.27%,-,-,-,-,-,-,-,0.47%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,337.53%,582.73%,38.65%,-,-,-,-,-,-,80.88%,14.95%,24.20%,5.04%,201.26%,6.28%,5.75%,3.65%,2.23%,8.52%
29,Buyback Yield / Dilution,4.76%,-25.45%,-6.06%,-2.51%,9.75%,-9.37%,6.94%,0.51%,0.58%,2.77%,-11.28%,-20.89%,-39.16%,-32.15%,-26.90%,-8.51%,-,-,-,-
30,Total Shareholder Return,4.93%,-25.45%,-6.06%,-2.51%,10.02%,-9.37%,6.94%,0.51%,0.58%,2.77%,-11.28%,-20.89%,-38.69%,-32.15%,-26.90%,-8.51%,-,-,-,-
