,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,1738,1557,991,1172,1840,2628,2992,2965,3019,2078,2054,Upgrade
1,Market Cap Growth,32.76%,32.76%,-46.15%,-55.38%,-38.51%,-11.39%,-0.90%,42.74%,46.99%,2.16%,-14.08%,Upgrade
2,Enterprise Value,2194,1940,1456,1675,2211,3408,3931,3734,3838,2759,2510,Upgrade
3,Last Close Price,0.86,0.75,0.45,0.52,0.79,0.76,0.84,0.81,0.79,0.53,0.50,Upgrade
4,PE Ratio,8.81,7.86,5.84,5.86,4.76,10.13,-,5.39,6.78,7.22,8.21,Upgrade
5,PS Ratio,0.58,0.52,0.34,0.41,0.60,1.60,-,0.75,0.87,0.70,0.71,Upgrade
6,PB Ratio,1.71,1.53,1.00,1.28,1.96,1.57,1.76,1.89,1.78,1.64,1.75,Upgrade
7,P/TBV Ratio,1.53,1.53,1.00,1.28,1.97,1.57,1.77,1.89,1.79,1.65,1.76,Upgrade
8,P/FCF Ratio,9.05,8.10,4.32,2.92,4.25,20.76,-,3.42,6.14,-,-,Upgrade
9,P/OCF Ratio,7.21,7.21,3.11,1.97,2.96,12.10,-,2.90,5.35,-68.18,-,Upgrade
10,EV/Sales Ratio,0.73,0.65,0.50,0.58,0.72,2.07,-,0.95,1.11,0.94,0.86,Upgrade
11,EV/EBITDA Ratio,5.56,5.13,4.31,5.16,6.61,21.66,-,3.54,4.69,5.61,5.75,Upgrade
12,EV/EBIT Ratio,7.26,6.43,5.51,6.93,8.96,31.55,-,3.85,5.18,6.44,6.53,Upgrade
13,EV/FCF Ratio,11.42,10.10,6.36,4.18,5.10,26.93,-,4.31,7.80,-,-,Upgrade
14,Debt / Equity Ratio,0.65,0.65,0.54,0.74,0.71,0.59,0.72,0.71,0.54,0.75,0.81,Upgrade
15,Debt / FCF Ratio,3.46,3.46,2.33,1.71,1.53,7.82,-,1.29,1.87,-,-,Upgrade
16,Return on Capital Employed (ROCE),25.33%,25.33%,22.21%,23.77%,21.03%,5.13%,-,40.79%,31.80%,21.37%,19.09%,Upgrade
17,Earnings Yield,11.39%,12.72%,17.13%,17.07%,20.99%,9.88%,-,18.54%,14.75%,13.86%,12.19%,Upgrade
18,FCF Yield,11.05%,12.34%,23.13%,34.21%,23.55%,4.82%,-,29.24%,16.29%,-6.82%,-3.27%,Upgrade
19,Dividend Yield,7.56%,8.70%,12.23%,5.81%,6.97%,5.26%,-,14.24%,13.95%,17.12%,18.07%,Upgrade
20,Buyback Yield / Dilution,-0.15%,-0.01%,-0.30%,-0.19%,-,0.19%,-,-0.64%,-0.29%,-0.04%,-0.04%,Upgrade
21,Total Shareholder Return,7.40%,8.70%,11.93%,5.63%,6.97%,5.45%,-,13.60%,13.66%,17.08%,18.03%,Upgrade
