,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,227150651,202985688,198421195,166469744,190903207,145526776,144412806,141769643,140327918,130956704,111493414,125670378,155946607,162914946,146094818,196223420,149494693,128643627,98856391,80239368,64042558,Upgrade
1,Market Cap Growth,39.48%,39.48%,37.40%,17.42%,36.04%,11.13%,29.53%,12.81%,-10.02%,-19.62%,-23.68%,-35.96%,4.32%,26.64%,47.78%,144.55%,133.43%,65.31%,25.53%,10.51%,-23.39%,Upgrade
2,Last Close Price,42300.00,37800.00,36950.00,31000.00,35550.00,27100.00,26892.43,26400.22,26131.74,24386.64,20762.21,23402.23,29040.24,30337.88,26555.96,35667.73,27173.80,23383.68,17715.42,14379.18,11476.66,Upgrade
3,PE Ratio,8.96,8.01,9.19,8.23,9.52,7.31,9.18,9.32,9.57,9.02,8.24,9.93,15.19,13.51,9.89,13.40,9.36,10.80,11.19,8.91,8.89,Upgrade
4,PS Ratio,4.18,3.74,4.02,3.57,4.14,3.20,3.35,3.36,3.42,3.25,2.92,3.50,4.75,4.68,3.87,5.21,3.89,3.88,3.39,2.73,2.34,Upgrade
5,PB Ratio,1.54,1.35,1.41,1.22,1.46,1.16,1.18,1.20,1.24,1.21,1.05,1.22,1.59,1.74,1.53,2.11,1.63,1.51,1.19,0.99,0.81,Upgrade
6,P/FCF Ratio,-,-,-,-2.07,-,-,-,-,-,-1.77,-1.01,-,-,-,-,-,-,-,-,-,-1.04,Upgrade
7,P/OCF Ratio,-,-,-,-2.09,-,-,-,-,-,-1.78,-1.02,-,-,-,-,-,-,-,-,-,-1.05,Upgrade
8,Debt / Equity Ratio,2.21,1.24,1.80,1.15,1.11,1.30,1.09,1.37,1.50,1.52,1.71,1.86,1.84,1.85,1.91,1.35,1.22,1.11,0.83,0.72,0.83,Upgrade
9,Debt / FCF Ratio,-,-,-,-1.94,-,-,-,-,-,-2.23,-1.65,-,-,-,-,-,-,-,-,-,-1.06,Upgrade
10,Return on Equity (ROE),27.14%,15.00%,16.23%,15.60%,19.54%,12.98%,18.23%,17.47%,15.99%,12.71%,18.62%,19.58%,12.61%,10.45%,9.93%,29.20%,25.73%,11.40%,18.07%,12.32%,Upgrade,
11,Return on Assets (ROA),1.71%,0.95%,1.02%,0.97%,1.24%,0.83%,1.14%,1.06%,0.96%,0.77%,1.12%,1.18%,0.80%,0.68%,0.65%,1.93%,1.67%,0.75%,1.17%,0.78%,Upgrade,
12,Earnings Yield,11.16%,12.48%,10.88%,12.15%,10.51%,13.68%,12.57%,12.43%,12.16%,12.92%,13.96%,11.69%,7.88%,8.65%,11.34%,8.38%,11.88%,10.67%,11.11%,13.90%,14.60%,Upgrade
13,FCF Yield,-29.24%,-32.63%,-55.40%,-48.37%,-118.91%,-157.12%,-81.58%,-64.46%,9.31%,-56.57%,-99.07%,-170.42%,-159.38%,-108.75%,-123.94%,-68.87%,-94.70%,-85.08%,-112.18%,-114.60%,-96.12%,Upgrade
14,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.37%,-,-,-,Upgrade
15,Payout Ratio,0.00%,-,-,-,-,-,-,-,-,-,-,-,82.43%,-,-,0.95%,-,34.13%,-,0.55%,-,Upgrade
16,Buyback Yield / Dilution,-,0.00%,0.00%,0.00%,0.00%,-,-,-,-,-,0.00%,0.00%,0.00%,0.00%,-,-,-,-,-,-,Upgrade,
17,Total Shareholder Return,-,0.00%,0.00%,0.00%,0.00%,-,-,-,-,-,0.00%,0.00%,0.00%,0.00%,-,-,2.37%,-,-,-,Upgrade,
