,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,2898,2802,3360,5546,4736,4528,4584,2848,3515,5932
1,Short-Term Investments,1303,1039,913.95,1849,2415,2678,2329,3409,2805,415.75
2,Trading Asset Securities,2818,2443,2787,119.33,4.5,-,-,-,-,-
3,Cash & Short-Term Investments,7019,6283,7061,7514,7155,7206,6912,6257,6320,6348
4,Cash Growth,-0.60%,-16.38%,-1.31%,4.26%,3.51%,15.18%,9.37%,-1.43%,-2.94%,-28.06%
5,Accounts Receivable,2128,1988,1821,2049,2541,2747,3358,3296,2362,3366
6,Other Receivables,907.35,960.05,757.87,843.16,694.39,583.16,-,318.15,313.52,251.32
7,Receivables,3035,2948,2579,2899,3259,3330,3358,3614,2676,3617
8,Inventory,716.59,743.66,752.38,760.27,738.27,653.76,581.44,571.83,551.05,606.04
9,Other Current Assets,1137,1248,1192,1303,1395,1540,1623,1057,2483,1619
10,Total Current Assets,11908,11223,11584,12476,12547,12730,12475,11500,12030,12191
11,"Property, Plant & Equipment",292.75,336,347.19,316,294.53,326.59,137,122.87,107.72,134.15
12,Long-Term Investments,4122,3614,2402,1879,2017,2256,2005,1514,1247,1421
13,Goodwill,6633,6633,6633,6633,6633,6633,6633,6637,6637,10653
14,Other Intangible Assets,694.61,697.32,780.43,788.83,804.17,822.69,851.05,1039,1018,1515
15,Long-Term Deferred Tax Assets,488.75,394.12,342.92,312.28,244.72,271.82,239.27,188.52,311.19,190.77
16,Other Long-Term Assets,292.51,291.61,284.32,329.64,234.46,256.72,269.2,314.09,109.03,145.02
17,Total Assets,24431,23188,22374,22734,22775,23297,22609,21316,21460,26250
18,Accounts Payable,1222,1120,1032,1204,1189,1127,1078,1040,906.33,1021
19,Accrued Expenses,804.65,675.23,458.37,653.38,496.71,657.24,-,528.45,380.28,564.44
20,Short-Term Debt,10,10,-,417.88,594.88,492.78,532.87,309.53,1049,1103
21,Current Portion of Long-Term Debt,-,-,-,-,-,300,200,244.91,190.49,200
22,Current Portion of Leases,81.74,74.92,61.71,65.51,83.76,72.57,57.36,50.39,41.02,55.56
23,Current Income Taxes Payable,237.43,266.44,228.31,275.78,160.82,338.6,199.34,184.46,179.96,205.41
24,Current Unearned Revenue,1145,879.25,698.44,619.13,679.04,669.76,811.09,880.33,829.28,717.71
25,Other Current Liabilities,1416,577.58,724.33,748.22,1110,853.19,1640,979.44,547.47,2047
26,Total Current Liabilities,4916,3603,3204,3984,4314,4512,4519,4217,4124,5914
27,Long-Term Debt,-,-,-,-,-,382.54,487.61,691.49,624.78,-
28,Long-Term Leases,119.87,153.18,178.87,134.6,164.12,201.85,35.91,34.83,29.83,34.37
29,Long-Term Unearned Revenue,23.08,24.23,25.39,26.54,27.69,28.85,30,31.35,32.5,33.46
30,Long-Term Deferred Tax Liabilities,132.14,134.52,137.27,139.56,144.01,149.29,156.11,187.6,194.55,322.63
31,Other Long-Term Liabilities,8.13,248.98,265.39,495.3,494.46,836.31,999.03,1055,22.34,535.08
32,Total Liabilities,5200,4164,3811,4780,5145,6110,6228,6217,5028,6839
33,Common Stock,0.65,0.65,0.65,0.64,0.65,0.65,0.65,0.65,0.65,0.64
34,Additional Paid-In Capital,16375,16313,16311,16223,16403,16413,16460,16260,16365,16162
35,Retained Earnings,1059,1006,173.74,201.6,-178.04,-406.59,-1352,-2253,-1065,2231
36,Treasury Stock,-16.51,-,-,-,-,-,-,-,-,-
37,Comprehensive Income & Other,1815,1705,2078,1532,1405,1180,1271,1086,1133,1003
38,Total Common Equity,19233,19025,18563,17957,17630,17186,16379,15094,16433,19397
39,Minority Interest,-0.92,-0.54,0.09,-2.62,0.47,0.52,2.7,5,-0.41,14.24
40,Shareholders' Equity,19232,19024,18564,17955,17631,17187,16382,15099,16433,19411
41,Total Liabilities & Equity,24431,23188,22374,22734,22775,23297,22609,21316,21460,26250
42,Total Debt,211.61,238.1,240.58,617.98,842.77,1450,1314,1331,1935,1393
43,Net Cash (Debt),6807,6045,6821,6896,6312,5757,5599,4926,4385,4955
44,Net Cash Growth,-0.19%,-12.34%,8.05%,19.79%,12.75%,16.87%,27.68%,-0.58%,-7.10%,-21.71%
45,Net Cash Per Share,6.67,5.92,6.72,6.73,6.22,5.65,5.52,4.92,4.39,4.93
46,Filing Date Shares Outstanding,1025,1023,1007,1010,1023,1022,1006,1016,1016,1012
47,Total Common Shares Outstanding,1025,1023,1007,1010,1023,1022,1006,1016,1016,1012
48,Working Capital,6992,7620,8380,8492,8233,8219,7956,7283,7906,6277
49,Book Value Per Share,18.76,18.59,18.44,17.77,17.23,16.82,16.29,14.86,16.18,19.16
50,Tangible Book Value,11905,11695,11150,10536,10193,9731,8895,7417,8778,7228
51,Tangible Book Value Per Share,11.62,11.43,11.08,10.43,9.96,9.52,8.85,7.30,8.64,7.14
