,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,193,470,410,826,977,1363,1092,483,412,417,895,Upgrade
1,Market Cap Growth,-43.07%,-43.07%,-58.02%,-39.42%,-10.58%,182.28%,165.33%,15.79%,-53.99%,-46.97%,47.61%,Upgrade
2,Enterprise Value,3631,4471,3192,4119,3240,3998,3630,3055,2729,2772,3384,Upgrade
3,Last Close Price,0.03,0.08,0.07,0.14,0.16,0.24,0.19,0.09,0.07,0.08,0.16,Upgrade
4,PE Ratio,-,-,-,-,-,2.58,2.35,25.84,-,-,-,Upgrade
5,Forward PE,-,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,Upgrade
6,PS Ratio,0.06,0.15,0.13,0.26,0.27,0.34,0.29,0.16,0.16,0.19,0.41,Upgrade
7,PB Ratio,0.23,0.56,0.41,0.80,0.81,1.10,1.08,2.33,18.72,2.91,3.43,Upgrade
8,P/TBV Ratio,0.62,0.62,0.44,0.87,0.88,1.11,1.08,2.35,20.54,2.95,3.46,Upgrade
9,P/FCF Ratio,1.21,2.96,65.44,-,-,-21.48,-,-43.76,-,-,-10.41,Upgrade
10,P/OCF Ratio,6.19,6.19,-,2.03,1.21,1.34,2.04,3.46,-,4.03,23.06,Upgrade
11,EV/Sales Ratio,1.15,1.42,1.00,1.30,0.89,1.01,0.96,1.03,1.09,1.26,1.54,Upgrade
12,EV/EBITDA Ratio,12.45,15.65,9.81,9.89,3.53,3.85,4.25,6.10,15.47,31.06,-21.07,Upgrade
13,EV/EBIT Ratio,31.87,-,21.63,18.96,4.78,4.92,5.88,11.65,-,-,-,Upgrade
14,EV/FCF Ratio,22.84,28.12,509.49,-,-,-63.00,-,-276.81,-,-,-39.39,Upgrade
15,Debt / Equity Ratio,4.18,4.18,4.05,2.97,2.96,2.38,3.11,12.48,117.65,16.20,9.06,Upgrade
16,Debt / FCF Ratio,21.99,21.99,649.05,-,-,-46.20,-,-234.56,-,-,-27.52,Upgrade
17,Return on Capital Employed (ROCE),5.88%,-,6.75%,8.60%,24.05%,31.47%,29.98%,40.47%,-,-,-,Upgrade
18,Earnings Yield,-99.81%,-40.95%,-40.94%,-16.71%,23.33%,38.81%,42.62%,3.87%,-69.76%,-133.26%,-91.48%,Upgrade
19,FCF Yield,82.41%,33.81%,1.53%,-45.51%,-6.81%,-4.65%,-25.64%,-2.29%,-15.24%,10.82%,-9.60%,Upgrade
20,Buyback Yield / Dilution,-0.32%,-,57.20%,62.71%,-45.95%,-94.72%,-75.85%,-51.25%,-12.91%,-27.69%,-13.09%,Upgrade
21,Total Shareholder Return,-0.32%,-,57.20%,62.71%,-45.95%,-94.72%,-75.85%,-51.25%,-12.91%,-27.69%,-13.09%,Upgrade
