,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Market Capitalization,2772235,2743318,3020664,2966401,2574498,2894073,2598088,2587126,2356916,3069472,3222945,4659019,4779606,4483621,3366396,2347799,2795434,2621861,1954976,1388581,2265580,Upgrade
1,Market Cap Growth,-5.21%,-5.21%,16.26%,14.66%,9.23%,-5.71%,-19.39%,-44.47%,-50.69%,-31.54%,-4.26%,98.44%,70.98%,71.01%,72.20%,69.08%,23.39%,13.89%,-14.06%,-32.44%,19.81%,Upgrade
2,Enterprise Value,2515822,2565811,2678850,2784772,2364350,2621713,2445119,2418401,2110379,2983440,3041203,4438360,4521834,4268563,3115221,2198097,2495927,2347180,1718211,1152074,2016807,Upgrade
3,PE Ratio,10.20,11.98,10.63,10.30,8.92,10.62,10.39,10.60,9.75,12.19,14.66,21.42,22.08,22.92,15.98,12.05,16.88,13.25,11.06,8.10,12.79,Upgrade
4,PS Ratio,0.43,0.51,0.56,0.56,0.50,0.57,0.51,0.52,0.49,0.65,0.75,1.12,1.16,1.11,0.82,0.58,0.69,0.66,0.50,0.36,0.62,Upgrade
5,PB Ratio,1.01,1.00,1.11,1.09,0.97,1.12,1.05,1.04,0.98,1.30,1.41,1.94,2.05,1.97,1.52,0.99,1.21,1.17,0.89,0.60,0.99,Upgrade
6,P/FCF Ratio,-,-,-,-18.34,-,-,-,-,-,-,-,9.85,9.02,9.27,-,7.70,10.01,-,-,4.91,16.65,Upgrade
7,P/OCF Ratio,-,-,-29.36,-19.43,-,-,-,-,-,-,-,9.53,8.83,8.83,-,7.26,9.37,-,-,4.42,13.44,Upgrade
8,EV/Sales Ratio,0.46,0.47,0.50,0.53,0.46,0.51,0.48,0.49,0.44,0.63,0.70,1.06,1.10,1.06,0.76,0.55,0.61,0.59,0.44,0.30,0.56,Upgrade
