,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Premiums & Annuity Revenue,1216055,1229884,1217728,1199202,1113248,1147033,1066017,1198536,1114287,1071953,893714,1037538,791268,934368,806354,998048,853803,841693,894475,959583,Upgrade
1,Total Interest & Dividend Income,148358,51353,77341,37838,210917,70701,63268,30568,123241,63176,57311,26295,69827,58535,80810,38253,74564,72150,48163,34719,Upgrade
2,Gain (Loss) on Sale of Investments,-,-,-,3315,-,-,-,-13537,-,-,-,88024,-,-,-,36956,-,-,-,-12593,Upgrade
3,Non-Insurance Activities Revenue,2915,3360,3041,3210,3427,3506,3279,3376,3293,3045,3115,3670,2164,3228,3243,3032,3198,3241,2598,3281,Upgrade
4,Other Revenue,68376,48478,56591,47557,43649,44302,59454,70007,59398,53257,49242,51695,50445,52293,44722,55151,51674,46681,50051,27554,Upgrade
5,Total Revenue,1435704,1333075,1354701,1291123,1371243,1265542,1192018,1288952,1300219,1191431,1003382,1207223,913703,1048425,935128,1131440,983239,963765,995287,1012543,Upgrade
6,Revenue Growth (YoY),4.70%,5.34%,13.65%,0.17%,5.46%,6.22%,18.80%,6.77%,42.30%,13.64%,7.30%,6.70%,-7.07%,8.78%,-6.04%,11.74%,3.36%,7.63%,29.14%,31.07%,Upgrade
7,Policy Benefits,477838,453211,406288,273972,473445,402801,404930,310438,387114,298262,286046,418762,241748,302256,300899,389043,325800,222128,317925,285601,Upgrade
8,Policy Acquisition & Underwriting Costs,223458,226981,230483,213706,194578,211182,195901,221168,199662,208320,167413,193463,172546,157116,152207,168110,147123,154923,166475,154976,Upgrade
9,Depreciation & Amortization,-,-,-,4617,-,-,-,4334,-,-,-,5014,-,-,-,-,-,-,-,5737,Upgrade
