,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Revenue,110.75,139.08,151.54,202.93,204.78
1,Revenue Growth (YoY),-26.91%,-31.46%,-26.00%,-,-
2,Cost of Revenue,70.35,82.68,83.63,106.51,106.38
3,Gross Profit,40.4,56.4,67.91,96.42,98.4
4,"Selling, General & Admin",15.61,14.65,16,5.47,13.94
5,Other Operating Expenses,-0.7,-4.42,-4.4,-1.93,-4.07
6,Operating Expenses,18.93,-7.84,10.47,-17.91,5.52
7,Operating Income,21.48,64.24,57.44,114.33,92.88
8,Interest Expense,-34.85,-29.37,-32.74,-33.6,-36.66
9,Interest & Investment Income,3.95,2.07,2.85,0.71,3.14
10,Currency Exchange Gain (Loss),-,0.53,3.76,-,-
11,Other Non Operating Income (Expenses),-0.32,-0.4,-0.4,-0.38,-0.38
12,Pretax Income,-9.74,37.08,30.91,81.07,58.99
13,Income Tax Expense,1.41,2.82,7.25,20.5,14.5
14,Earnings From Continuing Operations,-11.15,34.26,23.67,60.57,44.49
15,Minority Interest in Earnings,3.47,-13.2,-7.24,-22.57,-15.08
16,Net Income,-7.68,21.06,16.43,38,29.41
17,Net Income to Common,-7.68,21.06,16.43,38,29.41
18,Net Income Growth,-,-44.57%,-44.14%,-,-
19,Shares Outstanding (Basic),264,263,259,198,198
20,Shares Outstanding (Diluted),264,263,259,198,198
21,Shares Change (YoY),2.13%,32.64%,30.56%,-,-
22,EPS (Basic),-0.03,0.08,0.06,0.19,0.15
23,EPS (Diluted),-0.03,0.08,0.06,0.19,0.15
24,EPS Growth,-,-60.12%,-57.22%,-,-
25,Free Cash Flow,55.18,22.01,76.77,-150.31,8.56
26,Free Cash Flow Per Share,0.21,0.08,0.30,-0.76,0.04
27,Operating Margin,19.39%,46.19%,37.91%,56.34%,45.36%
28,Profit Margin,-6.93%,15.14%,10.84%,18.72%,14.36%
29,Free Cash Flow Margin,49.82%,15.83%,50.66%,-74.07%,4.18%
30,EBITDA,47.66,94.85,83.99,143.86,122.36
31,D&A For EBITDA,26.18,30.61,26.55,29.54,29.48
32,EBIT,21.48,64.24,57.44,114.33,92.88
