,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,871,224,158,169,-,-
1,Market Cap Growth,32.81%,32.81%,-,-,-,-
2,Enterprise Value,2124,1165,1070,1096,-,-
3,Last Close Price,3.30,0.85,0.58,0.62,-,-
4,PE Ratio,65.37,-,3.84,2.87,-,-
5,PS Ratio,3.24,0.84,0.49,0.44,-,-
6,PB Ratio,1.76,0.32,0.22,0.25,-,-
7,P/TBV Ratio,0.45,0.45,0.30,0.34,-,-
8,P/FCF Ratio,10.50,2.71,1.46,-2.13,-,-
9,P/OCF Ratio,1.51,1.51,0.69,0.68,-,-
10,EV/Sales Ratio,7.91,4.34,3.34,2.86,-,-
11,EV/EBITDA Ratio,13.56,7.61,5.43,4.45,-,-
12,EV/EBIT Ratio,23.07,12.65,7.98,5.91,-,-
13,EV/FCF Ratio,25.61,14.05,9.83,-13.79,-,-
14,Debt / Equity Ratio,2.39,2.39,1.51,1.32,1.66,-
15,Debt / FCF Ratio,20.08,20.08,10.20,-11.36,-,-
16,Return on Capital Employed (ROCE),4.06%,4.06%,10.05%,14.16%,11.46%,-
17,Earnings Yield,1.65%,6.41%,26.07%,34.81%,-,-
18,FCF Yield,9.52%,36.96%,68.70%,-47.03%,-,-
19,Buyback Yield / Dilution,-15.36%,-2.13%,-32.64%,-30.56%,-,-
20,Total Shareholder Return,-14.43%,-2.13%,-32.64%,-30.56%,-,-
