,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H1 2019
,Period Ending,"Mar '25 Mar 7, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","May '19 May 31, 2019"
0,Market Capitalization,126,293,200,272,513,626,4611,6439,5690,-,-
1,Market Cap Growth,7.55%,7.55%,-61.00%,-56.56%,-88.86%,-90.27%,-18.96%,-,-,-,-
2,Enterprise Value,5495,7069,7218,9514,11785,13665,15659,20809,19399,-,-
3,Last Close Price,0.12,0.28,0.20,0.27,0.50,0.61,4.49,6.27,5.69,-,-
4,PE Ratio,-,-,-,-,-,1.28,7.69,10.38,5.57,-,-
5,Forward PE,-,0.41,0.41,0.41,0.73,0.85,4.60,4.11,-,-,-
6,PS Ratio,0.01,0.02,0.01,0.02,0.03,0.03,0.25,0.41,0.36,-,-
7,PB Ratio,0.08,0.16,0.07,0.06,0.08,0.05,0.35,0.55,0.52,-,-
8,P/TBV Ratio,0.18,0.18,0.08,0.07,0.12,0.07,0.48,0.72,0.66,-,-
9,P/FCF Ratio,-,-,-,0.12,0.16,0.14,0.68,1.21,-,-,-
10,P/OCF Ratio,-,-,-,0.12,0.16,0.14,0.68,1.21,-,-,-
11,PEG Ratio,0.22,0.22,0.22,0.22,1.48,1.48,1.48,0.16,-,-,-
12,EV/Sales Ratio,0.32,0.41,0.35,0.60,0.75,0.68,0.85,1.33,1.24,-,-
13,EV/EBITDA Ratio,12.06,18.19,13.28,-2.50,-,7.87,9.37,11.12,6.90,-,-
14,EV/EBIT Ratio,13.71,20.70,14.31,-2.47,-,8.08,9.64,11.34,7.00,-,-
15,EV/FCF Ratio,-1.94,-,-,4.21,3.68,3.05,2.31,3.91,-,-,-
16,Debt / Equity Ratio,3.18,3.18,2.69,1.92,1.67,0.95,1.11,1.49,1.54,-,-
17,Debt / FCF Ratio,-,-,-,3.84,3.21,2.69,2.17,3.30,-,-,-
18,Return on Capital Employed (ROCE),7.75%,7.75%,8.74%,-38.12%,-,7.83%,6.80%,7.46%,11.54%,-,-
19,Earnings Yield,-1604.00%,-692.25%,-725.68%,-1748.72%,-913.67%,78.26%,13.00%,9.64%,17.96%,-,-
20,FCF Yield,-2238.48%,-966.08%,149.48%,830.90%,623.26%,714.65%,146.74%,82.71%,-,-,-
21,Buyback Yield / Dilution,-,-,-,0.00%,-0.07%,-31.65%,-36.83%,-,-,-,
22,Total Shareholder Return,-,-,-,0.00%,-0.07%,-31.65%,-36.83%,-,-,-,
